Borough,2010 Census COUNTYFP,2010 Census Tract,NTA,NTA Name
Brooklyn,047,000100,BK09,Brooklyn Heights-Cobble Hill
Brooklyn,047,000301,BK09,Brooklyn Heights-Cobble Hill
Brooklyn,047,000501,BK09,Brooklyn Heights-Cobble Hill
Brooklyn,047,000502,BK09,Brooklyn Heights-Cobble Hill
Brooklyn,047,000700,BK09,Brooklyn Heights-Cobble Hill
Brooklyn,047,000900,BK09,Brooklyn Heights-Cobble Hill
Brooklyn,047,057000,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,057200,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,058600,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,059000,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,059200,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,059401,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,059402,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,059600,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,059800,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,060000,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,060600,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,060800,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,061200,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,061600,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,062000,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,062200,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,062600,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,062800,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,063200,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Brooklyn,047,036001,BK19,Brighton Beach
Brooklyn,047,036002,BK19,Brighton Beach
Brooklyn,047,036200,BK19,Brighton Beach
Brooklyn,047,036400,BK19,Brighton Beach
Brooklyn,047,036600,BK19,Brighton Beach
Brooklyn,047,037000,BK19,Brighton Beach
Brooklyn,047,061002,BK19,Brighton Beach
Brooklyn,047,061003,BK19,Brighton Beach
Brooklyn,047,061004,BK19,Brighton Beach
Brooklyn,047,032600,BK21,Seagate-Coney Island
Brooklyn,047,032800,BK21,Seagate-Coney Island
Brooklyn,047,033000,BK21,Seagate-Coney Island
Brooklyn,047,033600,BK21,Seagate-Coney Island
Brooklyn,047,034000,BK21,Seagate-Coney Island
Brooklyn,047,034200,BK21,Seagate-Coney Island
Brooklyn,047,034800,BK21,Seagate-Coney Island
Brooklyn,047,035200,BK21,Seagate-Coney Island
Brooklyn,047,035000,BK23,West Brighton
Brooklyn,047,035400,BK23,West Brighton
Brooklyn,047,035601,BK23,West Brighton
Brooklyn,047,035602,BK23,West Brighton
Brooklyn,047,038800,BK25,Homecrest
Brooklyn,047,039000,BK25,Homecrest
Brooklyn,047,039200,BK25,Homecrest
Brooklyn,047,039400,BK25,Homecrest
Brooklyn,047,039600,BK25,Homecrest
Brooklyn,047,041401,BK25,Homecrest
Brooklyn,047,041402,BK25,Homecrest
Brooklyn,047,041600,BK25,Homecrest
Brooklyn,047,041800,BK25,Homecrest
Brooklyn,047,042000,BK25,Homecrest
Brooklyn,047,042200,BK25,Homecrest
Brooklyn,047,055400,BK25,Homecrest
Brooklyn,047,055600,BK25,Homecrest
Brooklyn,047,058200,BK25,Homecrest
Brooklyn,047,058400,BK25,Homecrest
Brooklyn,047,058800,BK25,Homecrest
Brooklyn,047,030600,BK26,Gravesend
Brooklyn,047,030800,BK26,Gravesend
Brooklyn,047,031400,BK26,Gravesend
Brooklyn,047,037401,BK26,Gravesend
Brooklyn,047,037402,BK26,Gravesend
Brooklyn,047,038200,BK26,Gravesend
Brooklyn,047,038600,BK26,Gravesend
Brooklyn,047,039800,BK26,Gravesend
Brooklyn,047,016800,BK27,Bath Beach
Brooklyn,047,017000,BK27,Bath Beach
Brooklyn,047,017200,BK27,Bath Beach
Brooklyn,047,017400,BK27,Bath Beach
Brooklyn,047,017600,BK27,Bath Beach
Brooklyn,047,017800,BK27,Bath Beach
Brooklyn,047,018000,BK27,Bath Beach
Brooklyn,047,028000,BK27,Bath Beach
Brooklyn,047,028200,BK27,Bath Beach
Brooklyn,047,028600,BK27,Bath Beach
Brooklyn,047,029200,BK27,Bath Beach
Brooklyn,047,018200,BK28,Bensonhurst West
Brooklyn,047,018400,BK28,Bensonhurst West
Brooklyn,047,018600,BK28,Bensonhurst West
Brooklyn,047,018800,BK28,Bensonhurst West
Brooklyn,047,019000,BK28,Bensonhurst West
Brooklyn,047,024800,BK28,Bensonhurst West
Brooklyn,047,025000,BK28,Bensonhurst West
Brooklyn,047,025200,BK28,Bensonhurst West
Brooklyn,047,025400,BK28,Bensonhurst West
Brooklyn,047,025600,BK28,Bensonhurst West
Brooklyn,047,025800,BK28,Bensonhurst West
Brooklyn,047,026000,BK28,Bensonhurst West
Brooklyn,047,026200,BK28,Bensonhurst West
Brooklyn,047,026400,BK28,Bensonhurst West
Brooklyn,047,026600,BK28,Bensonhurst West
Brooklyn,047,026800,BK28,Bensonhurst West
Brooklyn,047,027000,BK28,Bensonhurst West
Brooklyn,047,027200,BK28,Bensonhurst West
Brooklyn,047,027400,BK28,Bensonhurst West
Brooklyn,047,027600,BK28,Bensonhurst West
Brooklyn,047,027800,BK28,Bensonhurst West
Brooklyn,047,028400,BK28,Bensonhurst West
Brooklyn,047,028800,BK28,Bensonhurst West
Brooklyn,047,029000,BK28,Bensonhurst West
Brooklyn,047,029400,BK28,Bensonhurst West
Brooklyn,047,029600,BK28,Bensonhurst West
Brooklyn,047,029800,BK29,Bensonhurst East
Brooklyn,047,030000,BK29,Bensonhurst East
Brooklyn,047,030200,BK29,Bensonhurst East
Brooklyn,047,030400,BK29,Bensonhurst East
Brooklyn,047,040000,BK29,Bensonhurst East
Brooklyn,047,040200,BK29,Bensonhurst East
Brooklyn,047,040400,BK29,Bensonhurst East
Brooklyn,047,040600,BK29,Bensonhurst East
Brooklyn,047,040800,BK29,Bensonhurst East
Brooklyn,047,041000,BK29,Bensonhurst East
Brooklyn,047,041200,BK29,Bensonhurst East
Brooklyn,047,042400,BK29,Bensonhurst East
Brooklyn,047,042600,BK29,Bensonhurst East
Brooklyn,047,042800,BK29,Bensonhurst East
Brooklyn,047,043000,BK29,Bensonhurst East
Brooklyn,047,043200,BK29,Bensonhurst East
Brooklyn,047,043400,BK29,Bensonhurst East
Brooklyn,047,043600,BK29,Bensonhurst East
Brooklyn,047,012801,BK30,Dyker Heights
Brooklyn,047,013200,BK30,Dyker Heights
Brooklyn,047,014000,BK30,Dyker Heights
Brooklyn,047,014800,BK30,Dyker Heights
Brooklyn,047,015000,BK30,Dyker Heights
Brooklyn,047,015200,BK30,Dyker Heights
Brooklyn,047,016600,BK30,Dyker Heights
Brooklyn,047,019400,BK30,Dyker Heights
Brooklyn,047,019600,BK30,Dyker Heights
Brooklyn,047,019800,BK30,Dyker Heights
Brooklyn,047,020000,BK30,Dyker Heights
Brooklyn,047,020200,BK30,Dyker Heights
Brooklyn,047,020400,BK30,Dyker Heights
Brooklyn,047,020600,BK30,Dyker Heights
Brooklyn,047,020800,BK30,Dyker Heights
Brooklyn,047,021000,BK30,Dyker Heights
Brooklyn,047,021200,BK30,Dyker Heights
Brooklyn,047,003000,BK31,Bay Ridge
Brooklyn,047,003400,BK31,Bay Ridge
Brooklyn,047,003600,BK31,Bay Ridge
Brooklyn,047,003800,BK31,Bay Ridge
Brooklyn,047,004400,BK31,Bay Ridge
Brooklyn,047,004600,BK31,Bay Ridge
Brooklyn,047,005000,BK31,Bay Ridge
Brooklyn,047,005201,BK31,Bay Ridge
Brooklyn,047,005202,BK31,Bay Ridge
Brooklyn,047,005400,BK31,Bay Ridge
Brooklyn,047,005601,BK31,Bay Ridge
Brooklyn,047,005602,BK31,Bay Ridge
Brooklyn,047,005800,BK31,Bay Ridge
Brooklyn,047,006000,BK31,Bay Ridge
Brooklyn,047,006200,BK31,Bay Ridge
Brooklyn,047,006400,BK31,Bay Ridge
Brooklyn,047,006600,BK31,Bay Ridge
Brooklyn,047,006800,BK31,Bay Ridge
Brooklyn,047,007000,BK31,Bay Ridge
Brooklyn,047,012600,BK31,Bay Ridge
Brooklyn,047,013000,BK31,Bay Ridge
Brooklyn,047,013400,BK31,Bay Ridge
Brooklyn,047,013600,BK31,Bay Ridge
Brooklyn,047,013800,BK31,Bay Ridge
Brooklyn,047,014200,BK31,Bay Ridge
Brooklyn,047,016000,BK31,Bay Ridge
Brooklyn,047,016200,BK31,Bay Ridge
Brooklyn,047,016400,BK31,Bay Ridge
Brooklyn,047,000200,BK32,Sunset Park West
Brooklyn,047,001800,BK32,Sunset Park West
Brooklyn,047,002000,BK32,Sunset Park West
Brooklyn,047,002200,BK32,Sunset Park West
Brooklyn,047,007200,BK32,Sunset Park West
Brooklyn,047,007400,BK32,Sunset Park West
Brooklyn,047,007600,BK32,Sunset Park West
Brooklyn,047,007800,BK32,Sunset Park West
Brooklyn,047,008000,BK32,Sunset Park West
Brooklyn,047,008200,BK32,Sunset Park West
Brooklyn,047,008400,BK32,Sunset Park West
Brooklyn,047,010100,BK32,Sunset Park West
Brooklyn,047,012200,BK32,Sunset Park West
Brooklyn,047,014500,BK32,Sunset Park West
Brooklyn,047,014700,BK32,Sunset Park West
Brooklyn,047,004500,BK33,Carroll Gardens-Columbia Street-Red Hook
Brooklyn,047,004700,BK33,Carroll Gardens-Columbia Street-Red Hook
Brooklyn,047,004900,BK33,Carroll Gardens-Columbia Street-Red Hook
