,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,Popo_Density_Per_Hector
0,"Census Tract 4, Allegany County, Maryland",2854.00,1246.00,666.00,14.00,46.50,2.26,3.14,5.20,0.00,12.70,19.00,4.50,13.40,78.40,0.00,100.00,1.40,19.00,1.50,32.10,21.80,11.50,3.10,4.10,0.00,7.90,16.60,6.90,3.00,71030.00,40.80,1.40,15.20,5.70,33099.00,55192.00,35329.00,69.10,69.10,3.40,8.70,35.50,41.20,1493.00,83.50,0.00,6.40,1493.00,24,001,000400,4.00,0.00,0.00,1.60,1246.00,60.00,498.00,2.38,5.10,16.50,28.60,25.90,15.20,0.80,1310.00,788.00,4.10,26.00,3.20,0.00,93.20,2854.00,964,1,0.33777154870357395
1,"Census Tract 7501.01, Anne Arundel County, Maryland",4264.00,1556.00,932.00,18.40,40.10,2.72,3.50,8.30,18.00,0.00,21.00,8.10,6.90,92.30,1.40,90.30,10.70,6.70,6.90,26.30,25.80,11.30,3.10,14.80,0.00,6.90,9.60,15.60,2.00,70388.00,32.60,3.10,16.70,1.10,34909.00,53018.00,35139.00,60.20,60.20,6.20,12.30,0.00,25.40,1635.00,95.20,0.60,5.30,1635.00,24,003,750101,0.00,0.00,0.40,1.40,1556.00,72.30,431.00,2.75,1.30,38.80,13.10,11.10,18.60,0.80,1416.00,1115.00,7.00,13.70,4.80,0.90,72.30,4264.00,134,37,0.03142589118198874
2,"Census Tract 7502.01, Anne Arundel County, Maryland",3436.00,1215.00,893.00,20.00,26.50,2.73,3.09,6.90,146.00,10.80,10.80,12.30,5.60,80.40,0.00,89.00,14.60,5.80,7.70,28.80,26.50,10.30,3.70,15.50,0.00,7.80,9.20,14.90,3.50,70568.00,37.50,3.00,28.50,2.50,32181.00,52018.00,34869.00,48.90,48.90,16.20,10.60,0.00,0.00,1269.00,95.70,0.00,7.00,1269.00,24,003,750201,6.40,0.60,2.60,0.00,1215.00,76.00,292.00,2.86,5.60,20.00,2.00,7.60,13.20,0.00,1647.00,927.00,9.20,23.70,0.00,0.00,55.30,3436.00,328,2,0.09545983701979045
3,"Census Tract 7313.08, Anne Arundel County, Maryland",3640.00,1348.00,954.00,9.60,29.20,2.70,3.18,5.90,20.00,7.20,0.00,6.00,11.10,92.30,0.00,95.40,3.50,16.10,2.80,32.90,10.70,8.40,6.80,8.10,0.00,5.00,4.00,14.30,7.60,103856.00,40.40,1.70,5.20,8.60,52692.00,59141.00,57191.00,79.50,79.50,4.30,2.20,0.00,26.20,1515.00,89.00,2.30,0.00,1515.00,24,003,731308,0.00,0.00,0.00,0.00,1348.00,92.90,96.00,2.71,3.10,26.30,0.00,1.80,6.90,9.20,1815.00,1404.00,5.70,22.10,1.20,0.00,95.70,3640.00,163,1,0.04478021978021978
4,"Census Tract 7509, Anne Arundel County, Maryland",3058.00,1321.00,710.00,12.30,46.30,2.31,3.14,7.00,0.00,0.00,36.80,5.40,5.60,91.90,0.00,94.50,8.00,23.20,3.60,30.10,23.60,13.30,2.80,13.20,0.00,6.00,9.00,10.30,3.40,83501.00,34.30,2.40,9.90,4.80,42227.00,55885.00,52672.00,65.60,65.60,4.20,8.90,60.00,22.30,1321.00,100.00,0.00,0.00,1321.00,24,003,750900,16.70,0.00,0.90,1.50,1321.00,57.80,557.00,2.54,7.00,28.00,1.40,5.20,14.80,0.00,1744.00,866.00,6.30,17.90,2.80,1.00,89.80,3058.00,291,1,0.09516023544800523
5,"Census Tract 7301, Anne Arundel County, Maryland",11584.00,4441.00,3182.00,8.50,28.30,2.60,3.05,5.00,11.00,0.00,0.00,5.30,9.80,84.90,0.00,93.00,6.40,17.20,1.60,43.70,12.90,11.20,9.50,14.50,0.00,1.20,2.30,16.90,13.00,128417.00,22.20,1.10,3.60,12.90,59846.00,80324.00,58861.00,90.30,90.30,2.00,0.90,3.90,16.70,4589.00,96.80,0.00,0.00,4589.00,24,003,730100,1.70,11.30,0.00,0.00,4441.00,89.30,474.00,2.58,6.80,25.70,0.00,1.70,2.80,7.20,2098.00,1917.00,7.40,15.00,1.60,0.00,79.60,11584.00,2395,2,0.2067506906077348
6,"Census Tract 7311.03, Anne Arundel County, Maryland",5796.00,1879.00,1502.00,8.60,20.10,3.02,3.32,5.40,41.00,17.40,12.60,2.30,9.00,92.10,1.50,95.70,5.00,17.10,6.40,53.20,14.00,9.80,6.90,14.60,0.00,0.40,3.00,13.60,12.40,120209.00,25.70,0.40,2.20,15.50,49488.00,81333.00,57148.00,89.10,89.10,4.30,1.20,6.40,10.50,1994.00,94.20,2.60,0.00,1994.00,24,003,731103,0.80,0.90,0.00,0.00,1879.00,87.40,236.00,3.01,1.50,33.80,0.50,0.00,2.40,31.00,2287.00,2020.00,6.00,15.70,0.90,0.50,88.70,5796.00,856,1,0.147688060731539
7,"Census Tract 7501.02, Anne Arundel County, Maryland",2722.00,905.00,648.00,25.50,28.40,3.01,3.53,6.50,8.00,0.00,10.30,14.90,9.20,90.20,1.90,92.40,8.90,19.70,6.10,27.00,24.00,16.50,2.60,11.40,0.50,9.40,7.30,21.20,0.70,67876.00,32.40,6.10,17.20,0.00,35495.00,44632.00,36526.00,59.90,59.90,5.80,12.70,3.10,38.90,954.00,94.90,2.10,0.00,954.00,24,003,750102,0.00,0.80,0.00,3.90,905.00,69.20,279.00,3.20,2.80,37.50,11.50,38.80,29.20,0.00,1353.00,1315.00,9.00,14.30,3.40,0.00,76.60,2722.00,78,8,0.028655400440852314
8,"Census Tract 7502.02, Anne Arundel County, Maryland",3458.00,1194.00,844.00,13.80,29.30,2.87,3.28,9.10,132.00,68.80,0.00,14.70,12.50,93.50,0.00,92.70,14.60,15.40,8.10,30.60,26.40,10.80,5.40,9.80,0.00,4.00,6.60,16.20,8.00,95165.00,38.60,7.00,16.00,11.40,33049.00,53910.00,54444.00,59.50,59.50,2.40,2.10,0.00,0.00,1288.00,92.70,0.00,17.70,1288.00,24,003,750202,0.00,0.00,0.00,0.00,1194.00,84.00,191.00,2.74,1.60,24.80,0.00,9.40,24.50,0.00,1682.00,1597.00,6.70,17.80,1.60,0.00,74.30,3458.00,253,1,0.07316367842683633
9,"Census Tract 4032.02, Baltimore County, Maryland",2103.00,827.00,582.00,19.50,29.60,2.54,3.05,3.80,0.00,0.00,4.90,3.00,4.50,93.40,0.60,89.30,8.80,2.80,7.20,34.90,24.20,8.30,7.20,6.30,0.00,4.10,6.40,22.70,2.70,75394.00,36.30,2.20,6.50,3.80,38668.00,63460.00,58194.00,75.50,75.50,6.20,5.00,0.00,10.80,881.00,93.90,1.40,26.70,881.00,24,005,403202,0.00,0.00,0.00,0.30,827.00,96.00,33.00,2.61,2.40,23.70,0.50,6.50,35.50,0.40,1563.00,854.00,4.60,26.50,0.00,0.00,9.20,2103.00,116,6,0.05515929624346172
10,"Census Tract 4205, Baltimore County, Maryland",3490.00,1365.00,701.00,5.50,48.60,2.56,3.52,10.20,38.00,4.70,0.00,17.90,2.50,95.10,0.30,83.80,26.80,10.00,3.10,23.20,20.40,11.70,6.60,14.70,0.00,7.20,6.80,14.10,2.20,75924.00,29.10,4.90,16.60,2.30,30672.00,42047.00,32417.00,63.00,63.00,10.30,2.30,0.00,0.00,1428.00,95.60,0.00,0.00,1428.00,24,005,420500,0.00,0.00,0.60,0.90,1365.00,77.40,309.00,2.29,2.40,26.20,16.40,44.70,22.50,0.00,1240.00,1303.00,8.10,19.30,0.00,0.00,87.00,3490.00,85,8,0.024355300859598854
11,"Census Tract 4207.02, Baltimore County, Maryland",1975.00,750.00,488.00,10.40,34.90,2.63,3.37,3.50,32.00,0.00,0.00,14.80,6.90,95.00,0.00,87.20,19.40,13.30,4.50,16.10,19.50,19.70,4.20,12.30,0.00,6.80,10.10,12.30,0.00,63698.00,41.10,2.30,17.50,0.00,32125.00,50000.00,32381.00,57.70,57.70,4.10,8.40,15.60,61.30,859.00,87.30,5.20,0.00,859.00,24,005,420702,0.00,0.00,0.00,0.60,750.00,80.90,143.00,2.57,3.70,32.90,7.20,32.90,39.40,0.00,1373.00,997.00,6.20,20.50,0.30,1.50,87.50,1975.00,64,7,0.03240506329113924
12,"Census Tract 4302, Baltimore County, Maryland",2653.00,1056.00,728.00,27.10,31.10,2.51,2.99,5.70,0.00,0.00,33.30,14.30,4.50,96.80,0.00,92.00,11.30,21.00,11.00,23.60,29.20,8.40,0.60,8.40,0.00,15.90,16.60,15.10,1.20,72608.00,33.00,8.20,26.00,1.80,30000.00,50817.00,32778.00,59.70,59.70,9.00,21.20,80.40,64.80,1125.00,93.90,0.00,11.90,1125.00,24,005,430200,11.00,0.00,0.00,4.90,1056.00,58.00,443.00,2.56,1.90,29.60,4.10,6.40,63.80,0.00,1484.00,1067.00,4.70,16.20,0.00,0.40,76.40,2653.00,166,9,0.06257067470787787
13,"Census Tract 4407.01, Baltimore County, Maryland",7431.00,2456.00,1591.00,20.90,35.20,2.85,3.54,7.30,29.00,0.00,0.00,6.40,9.10,80.90,3.20,70.30,33.80,6.10,7.50,34.00,22.20,16.00,1.90,12.20,0.00,3.50,7.10,19.10,1.70,72332.00,22.20,1.10,13.80,2.10,32479.00,52578.00,36897.00,59.00,59.00,18.30,4.80,8.40,0.00,2629.00,93.40,0.00,11.00,2629.00,24,005,440701,1.00,0.60,0.30,0.50,2456.00,42.80,1404.00,2.81,6.60,24.60,4.80,3.10,26.20,0.20,1771.00,1193.00,12.90,11.00,0.70,0.00,44.60,7431.00,390,2,0.05248284214775938
14,"Census Tract 4505.04, Baltimore County, Maryland",5818.00,2453.00,1397.00,28.30,43.00,2.37,3.22,4.50,0.00,14.00,0.00,20.10,7.00,66.20,0.00,82.30,18.40,4.40,3.80,13.50,24.20,14.10,6.90,8.70,0.00,9.00,15.10,7.00,1.70,50362.00,21.00,6.70,41.20,2.90,32277.00,32914.00,37614.00,39.70,39.70,13.10,15.70,37.80,29.30,2851.00,86.00,0.00,12.40,2851.00,24,005,450504,2.40,0.00,2.10,9.30,2453.00,9.40,2222.00,2.33,3.40,13.80,10.00,61.90,7.40,0.00,1165.00,990.00,9.70,9.80,1.00,0.00,33.90,5818.00,116,1,0.019938123066345823
15,"Census Tract 4023.03, Baltimore County, Maryland",7103.00,2623.00,1803.00,21.90,31.30,2.68,3.05,10.30,18.00,0.00,0.00,5.20,7.90,89.90,0.50,86.40,9.90,4.20,4.60,36.50,18.50,9.60,5.50,13.50,0.00,2.40,6.80,12.80,5.50,77762.00,32.10,1.30,12.40,2.40,33542.00,48545.00,44063.00,74.10,74.10,7.60,4.80,20.10,8.40,2725.00,96.30,0.00,5.70,2725.00,24,005,402303,1.60,0.00,0.80,0.80,2623.00,65.10,916.00,2.79,2.30,21.30,3.30,16.80,27.80,0.00,1416.00,1138.00,6.40,24.40,0.50,0.00,9.30,7103.00,286,1,0.04026467689708574
16,"Census Tract 4304, Baltimore County, Maryland",4288.00,1566.00,1113.00,9.90,28.90,2.68,3.11,6.80,57.00,63.90,10.90,5.40,5.80,94.50,0.60,93.60,8.20,22.30,3.50,39.20,14.70,7.20,5.00,12.50,0.00,1.80,4.70,24.10,4.00,88202.00,26.10,0.90,10.00,5.70,40096.00,56006.00,51188.00,78.20,78.20,3.90,6.60,15.40,27.40,1703.00,92.00,0.00,6.20,1703.00,24,005,430400,0.50,0.00,0.40,0.80,1566.00,80.70,302.00,2.73,2.90,21.10,1.60,6.30,17.50,0.00,1710.00,1219.00,5.90,17.40,0.40,1.00,87.40,4288.00,720,56,0.16791044776119404
17,"Census Tract 4006, Baltimore County, Maryland",3049.00,1183.00,673.00,12.50,43.10,2.52,3.16,11.60,0.00,0.00,15.70,2.60,6.40,89.50,1.30,91.30,10.30,13.80,3.00,48.60,11.10,5.50,6.50,17.80,0.40,3.80,4.40,18.30,6.70,106713.00,22.80,0.00,6.30,10.10,55538.00,68261.00,63333.00,78.40,78.40,5.90,2.70,0.00,11.50,1266.00,93.40,0.00,10.60,1266.00,24,005,400600,8.30,0.00,0.90,1.40,1183.00,68.70,370.00,2.68,8.70,20.80,1.00,0.90,39.10,1.50,1624.00,1085.00,7.30,14.00,0.40,1.20,68.50,3049.00,96,2,0.03148573302722204
18,"Census Tract 4023.02, Baltimore County, Maryland",5552.00,1846.00,1367.00,23.00,25.90,3.00,3.57,3.10,30.00,17.10,3.40,2.10,8.80,84.60,0.20,82.70,14.40,1.10,5.40,37.80,23.40,9.00,10.70,10.40,0.30,3.90,6.30,16.40,9.90,89225.00,30.30,3.60,14.40,12.10,40255.00,49028.00,46575.00,68.00,68.00,5.50,5.30,0.00,0.00,1946.00,94.90,0.00,6.40,1946.00,24,005,402302,0.40,0.00,0.00,0.00,1846.00,66.00,628.00,2.98,5.40,26.70,2.10,5.30,21.30,2.70,2110.00,1277.00,7.70,18.30,0.30,0.00,10.50,5552.00,290,1,0.05223342939481268
19,"Census Tract 4402, Baltimore County, Maryland",2414.00,1077.00,623.00,9.30,42.20,2.23,2.84,7.70,39.00,0.00,100.00,5.20,5.60,83.30,0.00,84.80,16.40,17.90,7.30,41.20,21.80,15.80,7.80,11.20,0.00,2.50,9.70,13.80,0.70,81995.00,37.70,1.90,11.20,1.30,47670.00,51985.00,50658.00,78.10,78.10,2.90,5.80,62.20,0.00,1173.00,91.80,3.20,5.00,1173.00,24,005,440200,8.20,0.00,0.80,0.00,1077.00,61.40,416.00,2.42,3.20,24.50,1.40,3.30,44.30,0.00,1626.00,1293.00,3.20,27.70,0.60,2.60,67.80,2414.00,187,3,0.07746478873239436
