,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,Countyfp,Tractce,Statefp
2134,"Census Tract 4, Allegany County, Maryland",14.0,46.5,5.2,0.0,12.7,19.0,4.5,13.4,78.4,0.0,100.0,1.4,19.0,1.5,32.1,21.8,11.5,3.1,4.1,0.0,7.9,16.6,6.9,3.0,40.8,1.4,15.2,5.7,69.1,69.1,3.4,8.7,35.5,41.2,83.5,0.0,6.4,4.0,0.0,0.0,1.6,60.0,2.38,5.1,16.5,28.6,25.9,15.2,0.8,4.1,26.0,3.2,0.0,93.2,low,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,001,000400,24
2135,"Census Tract 7501.01, Anne Arundel County, Maryland",18.4,40.1,8.3,18.0,0.0,21.0,8.1,6.9,92.3,1.4,90.3,10.7,6.7,6.9,26.3,25.8,11.3,3.1,14.8,0.0,6.9,9.6,15.6,2.0,32.6,3.1,16.7,1.1,60.2,60.2,6.2,12.3,0.0,25.4,95.2,0.6,5.3,0.0,0.0,0.4,1.4,72.3,2.75,1.3,38.8,13.1,11.1,18.6,0.8,7.0,13.7,4.8,0.9,72.3,low,82.16613168494234,88.31531188249723,72.66692516479254,80.67226890756302,79.92115401845713,89.86774856420254,100.0,99.08925318761383,107.32081257186661,003,750101,24
2136,"Census Tract 7502.01, Anne Arundel County, Maryland",20.0,26.5,6.9,146.0,10.8,10.8,12.3,5.6,80.4,0.0,89.0,14.6,5.8,7.7,28.8,26.5,10.3,3.7,15.5,0.0,7.8,9.2,14.9,3.5,37.5,3.0,28.5,2.5,48.9,48.9,16.2,10.6,0.0,0.0,95.7,0.0,7.0,6.4,0.6,2.6,0.0,76.0,2.86,5.6,20.0,2.0,7.6,13.2,0.0,9.2,23.7,0.0,0.0,55.3,low,75.74517413140249,86.64955097332492,72.1085692128732,93.83278735222903,66.44565899112983,72.41688181674483,100.0,99.45355191256829,94.74894595630509,003,750201,24
2137,"Census Tract 7313.08, Anne Arundel County, Maryland",9.6,29.2,5.9,20.0,7.2,0.0,6.0,11.1,92.3,0.0,95.4,3.5,16.1,2.8,32.9,10.7,8.4,6.8,8.1,0.0,5.0,4.0,14.3,7.6,40.4,1.7,5.2,8.6,79.5,79.5,4.3,2.2,0.0,26.2,89.0,2.3,0.0,0.0,0.0,0.0,0.0,92.9,2.71,3.1,26.3,0.0,1.8,6.9,9.2,5.7,22.1,1.2,0.0,95.7,low,124.02239567856377,98.51476592935924,118.27013054155357,103.40407349380429,100.63614371472089,76.71637072553875,100.0,98.3606557377049,97.50862399386737,003,731308,24
2138,"Census Tract 7509, Anne Arundel County, Maryland",12.3,46.3,7.0,0.0,0.0,36.8,5.4,5.6,91.9,0.0,94.5,8.0,23.2,3.6,30.1,23.6,13.3,2.8,13.2,0.0,6.0,9.0,10.3,3.4,34.3,2.4,9.9,4.8,65.6,65.6,4.2,8.9,60.0,22.3,100.0,0.0,0.0,16.7,0.0,0.9,1.5,57.8,2.54,7.0,28.0,1.4,5.2,14.8,0.0,6.3,17.9,2.8,1.0,89.8,low,99.39067984359508,93.09104840909423,108.92490629442936,99.35906566016237,62.07329092375235,64.45018177986195,100.0,84.15300546448086,96.28210042161747,003,750900,24
2139,"Census Tract 7301, Anne Arundel County, Maryland",8.5,28.3,5.0,11.0,0.0,0.0,5.3,9.8,84.9,0.0,93.0,6.4,17.2,1.6,43.7,12.9,11.2,9.5,14.5,0.0,1.2,2.3,16.9,13.0,22.2,1.1,3.6,12.9,90.3,90.3,2.0,0.9,3.9,16.7,96.8,0.0,0.0,1.7,11.3,0.0,0.0,89.3,2.58,6.8,25.7,0.0,1.7,2.8,7.2,7.4,15.0,1.6,0.0,79.6,low,140.86093319250222,133.80057926835616,121.72366550342511,119.52713288705313,137.40704237971508,244.14352705622005,100.0,94.71766848816029,93.52242238405518,003,730100,24
2140,"Census Tract 7311.03, Anne Arundel County, Maryland",8.6,20.1,5.4,41.0,17.4,12.6,2.3,9.0,92.1,1.5,95.7,5.0,17.1,6.4,53.2,14.0,9.8,6.9,14.6,0.0,0.4,3.0,13.6,12.4,25.7,0.4,2.2,15.5,89.1,89.1,4.3,1.2,6.4,10.5,94.2,2.6,0.0,0.8,0.9,0.0,0.0,87.4,3.01,1.5,33.8,0.5,0.0,2.4,31.0,6.0,15.7,0.9,0.5,88.7,low,116.48106576597516,135.48133202571103,118.18120718624789,130.29482979632533,144.7898933787295,122.15606723220402,100.0,110.0182149362477,101.80145649674203,003,731103,24
2141,"Census Tract 7501.02, Anne Arundel County, Maryland",25.5,28.4,6.5,8.0,0.0,10.3,14.9,9.2,90.2,1.9,92.4,8.9,19.7,6.1,27.0,24.0,16.5,2.6,11.4,0.5,9.4,7.3,21.2,0.7,32.4,6.1,17.2,0.0,59.9,59.9,5.8,12.7,3.1,38.9,94.9,2.1,0.0,0.0,0.8,0.0,3.9,69.2,3.2,2.8,37.5,11.5,38.8,29.2,0.0,9.0,14.3,3.4,0.0,76.6,low,83.54541362276285,74.34624089817828,75.53522036965232,77.0830366044723,94.25678702625213,57.36867063596607,100.0,109.65391621129324,108.24070525105402,003,750102,24
2142,"Census Tract 7502.02, Anne Arundel County, Maryland",13.8,29.3,9.1,132.0,68.8,0.0,14.7,12.5,93.5,0.0,92.7,14.6,15.4,8.1,30.6,26.4,10.8,5.4,9.8,0.0,4.0,6.6,16.2,8.0,38.6,7.0,16.0,11.4,59.5,59.5,2.4,2.1,0.0,0.0,92.7,0.0,17.7,0.0,0.0,0.0,0.0,84.0,2.74,1.6,24.8,0.0,9.4,24.5,0.0,6.7,17.8,1.6,0.0,74.3,low,77.78820608025609,89.80117061347892,112.58937572702598,95.82680529839054,114.47002956724307,72.88055218926182,100.0,104.55373406193075,100.57493292449213,003,750202,24
2143,"Census Tract 4032.02, Baltimore County, Maryland",19.5,29.6,3.8,0.0,0.0,4.9,3.0,4.5,93.4,0.6,89.3,8.8,2.8,7.2,34.9,24.2,8.3,7.2,6.3,0.0,4.1,6.4,22.7,2.7,36.3,2.2,6.5,3.8,75.5,75.5,6.2,5.0,0.0,10.8,93.9,1.4,26.7,0.0,0.0,0.0,0.3,96.0,2.61,2.4,23.7,0.5,6.5,35.5,0.4,4.6,26.5,0.0,0.0,9.2,low,93.94386642614627,110.44839430139098,122.8897621620999,94.75076465239316,71.11705012007127,56.212183801909944,100.0,95.74231131671382,92.15767064963603,005,403202,24
