,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,crime,ALAND,Popo_Density_Per_Hector
0,"Census Tract 4, Allegany County, Maryland",2854,1246,666,14.0,46.5,2.26,3.14,5.2,0,12.7,19.0,4.5,13.4,78.4,0.0,100.0,1.4,19.0,1.5,32.1,21.8,11.5,3.1,4.1,0.0,7.9,16.6,6.9,3.0,71030,40.8,1.4,15.2,5.7,33099,55192,35329,69.1,69.1,3.4,8.7,35.5,41.2,1493,83.5,0.0,6.4,1493,24,001,000400,4.0,0.0,0.0,1.6,1246,60.0,498,2.38,5.1,16.5,28.6,25.9,15.2,0.8,1310,788,4.1,26.0,3.2,0.0,93.2,2854,964,1,low,9642972,0.3378
1,"Census Tract 7501.01, Anne Arundel County, Maryland",4264,1556,932,18.4,40.1,2.72,3.5,8.3,18,0.0,21.0,8.1,6.9,92.3,1.4,90.3,10.7,6.7,6.9,26.3,25.8,11.3,3.1,14.8,0.0,6.9,9.6,15.6,2.0,70388,32.6,3.1,16.7,1.1,34909,53018,35139,60.2,60.2,6.2,12.3,0.0,25.4,1635,95.2,0.6,5.3,1635,24,003,750101,0.0,0.0,0.4,1.4,1556,72.3,431,2.75,1.3,38.8,13.1,11.1,18.6,0.8,1416,1115,7.0,13.7,4.8,0.9,72.3,4264,134,26,low,1345542,0.0314
2,"Census Tract 7502.01, Anne Arundel County, Maryland",3436,1215,893,20.0,26.5,2.73,3.09,6.9,146,10.8,10.8,12.3,5.6,80.4,0.0,89.0,14.6,5.8,7.7,28.8,26.5,10.3,3.7,15.5,0.0,7.8,9.2,14.9,3.5,70568,37.5,3.0,28.5,2.5,32181,52018,34869,48.9,48.9,16.2,10.6,0.0,0.0,1269,95.7,0.0,7.0,1269,24,003,750201,6.4,0.6,2.6,0.0,1215,76.0,292,2.86,5.6,20.0,2.0,7.6,13.2,0.0,1647,927,9.2,23.7,0.0,0.0,55.3,3436,328,2,low,3287938,0.0955
3,"Census Tract 7313.08, Anne Arundel County, Maryland",3640,1348,954,9.6,29.2,2.7,3.18,5.9,20,7.2,0.0,6.0,11.1,92.3,0.0,95.4,3.5,16.1,2.8,32.9,10.7,8.4,6.8,8.1,0.0,5.0,4.0,14.3,7.6,103856,40.4,1.7,5.2,8.6,52692,59141,57191,79.5,79.5,4.3,2.2,0.0,26.2,1515,89.0,2.3,0.0,1515,24,003,731308,0.0,0.0,0.0,0.0,1348,92.9,96,2.71,3.1,26.3,0.0,1.8,6.9,9.2,1815,1404,5.7,22.1,1.2,0.0,95.7,3640,163,1,low,1634461,0.0448
4,"Census Tract 7509, Anne Arundel County, Maryland",3058,1321,710,12.3,46.3,2.31,3.14,7.0,0,0.0,36.8,5.4,5.6,91.9,0.0,94.5,8.0,23.2,3.6,30.1,23.6,13.3,2.8,13.2,0.0,6.0,9.0,10.3,3.4,83501,34.3,2.4,9.9,4.8,42227,55885,52672,65.6,65.6,4.2,8.9,60.0,22.3,1321,100.0,0.0,0.0,1321,24,003,750900,16.7,0.0,0.9,1.5,1321,57.8,557,2.54,7.0,28.0,1.4,5.2,14.8,0.0,1744,866,6.3,17.9,2.8,1.0,89.8,3058,291,1,low,2910023,0.0952
5,"Census Tract 7301, Anne Arundel County, Maryland",11584,4441,3182,8.5,28.3,2.6,3.05,5.0,11,0.0,0.0,5.3,9.8,84.9,0.0,93.0,6.4,17.2,1.6,43.7,12.9,11.2,9.5,14.5,0.0,1.2,2.3,16.9,13.0,128417,22.2,1.1,3.6,12.9,59846,80324,58861,90.3,90.3,2.0,0.9,3.9,16.7,4589,96.8,0.0,0.0,4589,24,003,730100,1.7,11.3,0.0,0.0,4441,89.3,474,2.58,6.8,25.7,0.0,1.7,2.8,7.2,2098,1917,7.4,15.0,1.6,0.0,79.6,11584,2395,2,low,23954156,0.2068
6,"Census Tract 7311.03, Anne Arundel County, Maryland",5796,1879,1502,8.6,20.1,3.02,3.32,5.4,41,17.4,12.6,2.3,9.0,92.1,1.5,95.7,5.0,17.1,6.4,53.2,14.0,9.8,6.9,14.6,0.0,0.4,3.0,13.6,12.4,120209,25.7,0.4,2.2,15.5,49488,81333,57148,89.1,89.1,4.3,1.2,6.4,10.5,1994,94.2,2.6,0.0,1994,24,003,731103,0.8,0.9,0.0,0.0,1879,87.4,236,3.01,1.5,33.8,0.5,0.0,2.4,31.0,2287,2020,6.0,15.7,0.9,0.5,88.7,5796,856,1,low,8562084,0.1477
7,"Census Tract 7501.02, Anne Arundel County, Maryland",2722,905,648,25.5,28.4,3.01,3.53,6.5,8,0.0,10.3,14.9,9.2,90.2,1.9,92.4,8.9,19.7,6.1,27.0,24.0,16.5,2.6,11.4,0.5,9.4,7.3,21.2,0.7,67876,32.4,6.1,17.2,0.0,35495,44632,36526,59.9,59.9,5.8,12.7,3.1,38.9,954,94.9,2.1,0.0,954,24,003,750102,0.0,0.8,0.0,3.9,905,69.2,279,3.2,2.8,37.5,11.5,38.8,29.2,0.0,1353,1315,9.0,14.3,3.4,0.0,76.6,2722,78,8,low,785173,0.0287
8,"Census Tract 7502.02, Anne Arundel County, Maryland",3458,1194,844,13.8,29.3,2.87,3.28,9.1,132,68.8,0.0,14.7,12.5,93.5,0.0,92.7,14.6,15.4,8.1,30.6,26.4,10.8,5.4,9.8,0.0,4.0,6.6,16.2,8.0,95165,38.6,7.0,16.0,11.4,33049,53910,54444,59.5,59.5,2.4,2.1,0.0,0.0,1288,92.7,0.0,17.7,1288,24,003,750202,0.0,0.0,0.0,0.0,1194,84.0,191,2.74,1.6,24.8,0.0,9.4,24.5,0.0,1682,1597,6.7,17.8,1.6,0.0,74.3,3458,253,1,low,2530562,0.0732
9,"Census Tract 4032.02, Baltimore County, Maryland",2103,827,582,19.5,29.6,2.54,3.05,3.8,0,0.0,4.9,3.0,4.5,93.4,0.6,89.3,8.8,2.8,7.2,34.9,24.2,8.3,7.2,6.3,0.0,4.1,6.4,22.7,2.7,75394,36.3,2.2,6.5,3.8,38668,63460,58194,75.5,75.5,6.2,5.0,0.0,10.8,881,93.9,1.4,26.7,881,24,005,403202,0.0,0.0,0.0,0.3,827,96.0,33,2.61,2.4,23.7,0.5,6.5,35.5,0.4,1563,854,4.6,26.5,0.0,0.0,9.2,2103,116,2,low,1165728,0.0552
