,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,crime,Popo_Density_Per_Hector
0,"Census Tract 3109, Cook County, Illinois",5391.00,1685.00,1123.00,24.50,33.40,3.20,3.80,10.50,60.00,0.00,46.40,17.10,3.40,97.20,0.00,66.00,75.00,3.50,11.10,26.50,23.40,9.90,3.60,9.40,0.00,7.30,14.20,10.30,1.20,57481.00,14.80,8.20,16.80,1.20,26763.00,36508.00,35990.00,47.00,47.00,16.80,26.00,0.00,43.20,1818.00,92.70,0.00,5.20,1818.00,17,031,310900,0.00,0.00,1.20,0.70,1685.00,35.40,1088.00,3.28,2.90,17.30,8.50,13.10,17.80,0.00,1677.00,976.00,6.30,12.90,0.00,0.40,50.70,5391.00,48,183,low,0.01
1,"Census Tract 4205, Cook County, Illinois",1659.00,799.00,369.00,23.80,53.80,2.08,3.15,4.00,0.00,0.00,23.50,10.10,14.40,92.90,0.00,93.50,14.40,0.00,25.80,41.10,30.80,9.00,3.30,22.90,1.00,16.80,15.40,15.40,0.00,45341.00,41.30,6.10,30.40,0.00,29367.00,49018.00,29495.00,45.00,45.00,7.50,11.40,25.80,25.30,1136.00,70.30,14.70,12.50,1136.00,17,031,420500,37.10,4.50,2.20,2.50,799.00,18.90,648.00,1.80,1.30,24.00,2.60,21.20,39.10,0.00,1205.00,939.00,5.20,24.20,1.00,0.00,1.00,1659.00,24,234,high,0.01
2,"Census Tract 4304, Cook County, Illinois",2756.00,1087.00,537.00,39.60,50.60,2.43,3.81,1.90,70.00,10.50,0.00,7.70,7.90,80.80,0.00,96.90,2.10,2.00,16.70,29.50,30.80,5.20,7.20,7.90,0.00,27.00,8.40,7.30,0.00,42317.00,24.00,3.30,39.50,0.00,30331.00,34407.00,31659.00,40.70,40.70,5.20,26.10,18.20,28.30,1430.00,76.00,20.40,15.90,1430.00,17,031,430400,8.40,0.00,2.40,7.80,1087.00,27.40,789.00,2.55,14.40,15.50,36.90,18.50,17.40,0.00,1511.00,946.00,5.90,13.70,0.00,0.00,4.00,2756.00,54,336,high,0.02
3,"Census Tract 4306, Cook County, Illinois",1920.00,753.00,439.00,37.80,41.70,2.53,3.51,2.70,62.00,0.00,5.30,3.80,9.70,91.10,0.30,97.10,3.00,1.70,25.00,37.00,21.40,2.10,12.40,8.50,0.00,18.50,23.60,2.00,4.80,60571.00,42.10,5.80,30.70,8.20,26369.00,70517.00,44569.00,49.30,49.30,4.70,16.60,41.20,28.20,883.00,85.30,0.00,15.20,883.00,17,031,430600,14.60,0.00,0.00,13.30,753.00,35.70,484.00,3.75,1.50,16.70,8.60,16.40,5.90,11.20,2164.00,748.00,7.10,26.30,0.90,0.00,6.00,1920.00,33,280,high,0.02
4,"Census Tract 4409, Cook County, Illinois",2547.00,932.00,588.00,40.90,36.90,2.73,3.51,5.30,217.00,0.00,19.40,12.70,8.50,90.00,0.00,97.90,0.90,0.00,10.50,32.50,28.10,5.50,2.40,10.10,0.00,15.10,17.00,3.40,1.70,55120.00,40.00,5.20,50.60,0.00,36157.00,43125.00,45139.00,42.60,42.60,10.50,24.10,0.00,38.20,1168.00,79.80,0.00,10.00,1168.00,17,031,440900,0.80,0.00,0.00,1.80,932.00,44.10,521.00,2.64,1.10,23.10,19.00,44.80,23.60,0.00,1195.00,897.00,7.20,20.70,0.00,0.00,0.10,2547.00,74,276,high,0.03
5,"Census Tract 4601, Cook County, Illinois",3424.00,1118.00,704.00,31.50,37.00,3.06,3.85,8.70,42.00,0.00,23.00,9.50,8.50,91.50,0.00,85.10,21.30,0.10,28.50,18.10,36.50,1.80,7.40,14.80,0.00,11.10,12.40,7.70,1.70,41686.00,27.50,3.80,42.60,1.00,26431.00,29816.00,37098.00,35.30,35.30,13.20,24.60,0.00,37.90,1776.00,63.00,10.90,3.80,1776.00,17,031,460100,8.00,0.00,0.00,2.60,1118.00,38.10,692.00,2.71,2.10,18.50,42.50,33.30,7.50,0.00,1265.00,1056.00,5.40,12.30,0.20,0.40,11.70,3424.00,296,377,high,0.09
6,"Census Tract 4805, Cook County, Illinois",2938.00,1100.00,676.00,28.60,38.50,2.67,3.34,8.70,0.00,32.60,47.80,7.90,7.60,87.80,0.00,87.70,13.30,0.50,12.10,21.80,34.60,13.00,6.80,6.10,0.00,10.10,18.30,8.70,1.50,58209.00,30.70,6.40,28.20,2.50,24306.00,27228.00,35473.00,50.80,50.80,8.00,15.80,0.00,52.80,1286.00,85.50,0.00,0.00,1286.00,17,031,480500,0.00,0.00,0.00,3.00,1100.00,63.90,397.00,2.57,2.10,17.80,15.20,36.10,25.70,0.00,1539.00,943.00,3.10,22.20,0.00,0.00,9.10,2938.00,136,223,high,0.05
7,"Census Tract 2831, Cook County, Illinois",3257.00,1163.00,569.00,28.80,51.10,2.80,3.28,24.40,0.00,0.00,0.00,0.00,7.60,72.80,2.60,68.00,38.10,1.90,9.40,63.40,13.00,9.50,7.40,14.30,0.00,20.10,12.50,7.10,3.50,72590.00,10.20,3.90,15.70,7.20,26828.00,67266.00,40750.00,69.10,69.10,6.00,21.30,53.20,45.50,1328.00,87.60,0.00,10.40,1328.00,17,031,283100,38.80,0.00,6.20,13.90,1163.00,11.30,1031.00,2.72,5.80,12.10,0.00,0.00,10.60,13.60,2895.00,1488.00,8.60,4.90,0.90,0.60,27.80,3257.00,21,116,low,0.01
8,"Census Tract 3007, Cook County, Illinois",4721.00,1293.00,1090.00,29.10,15.70,3.65,3.82,7.40,38.00,0.00,14.40,19.70,3.00,83.70,0.30,51.30,90.90,0.00,8.80,14.50,23.00,7.30,2.30,16.20,0.00,9.20,20.30,5.60,0.90,45402.00,16.50,4.20,30.20,1.00,20792.00,27938.00,22629.00,25.90,25.90,26.90,28.10,40.60,54.90,1541.00,83.90,0.00,5.30,1541.00,17,031,300700,2.10,0.00,0.00,2.90,1293.00,32.30,875.00,2.85,7.40,19.60,5.00,18.40,50.00,4.30,1892.00,841.00,7.60,10.00,0.00,0.00,59.70,4721.00,32,234,high,0.01
9,"Census Tract 3008, Cook County, Illinois",4070.00,1103.00,885.00,33.50,19.80,3.69,3.96,8.60,100.00,0.00,23.70,23.00,0.60,94.60,0.40,59.40,90.30,0.60,10.40,7.90,28.60,15.90,1.20,16.50,0.00,8.60,25.90,2.30,0.00,31630.00,21.10,7.20,50.10,0.00,17049.00,27294.00,30250.00,17.70,17.70,23.20,43.30,100.00,88.10,1361.00,81.00,3.60,4.40,1361.00,17,031,300800,0.00,0.00,3.50,4.80,1103.00,34.30,725.00,3.53,4.40,24.00,15.10,3.40,45.80,0.00,1694.00,806.00,6.50,9.90,0.00,0.00,58.50,4070.00,32,198,low,0.01
