,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,COUNTYFP,TRACTCE,STATEFP,index,GEOID
0,"Census Tract 3109, Cook County, Illinois",24.5,33.4,10.5,60.0,0.0,46.4,17.1,3.4,97.2,0.0,66.0,75.0,3.5,11.1,26.5,23.4,9.9,3.6,9.4,0.0,7.3,14.2,10.3,1.2,14.8,8.2,16.8,1.2,47.0,47.0,16.8,26.0,0.0,43.2,92.7,0.0,5.2,0.0,0.0,1.2,0.7,35.4,3.28,2.9,17.3,8.5,13.1,17.8,0.0,6.3,12.9,0.0,0.4,50.7,low,72.18538487659984,68.44346140080332,78.06710217268146,86.04423157285672,88.70886163502979,154.24124964194078,100.0,120.40520984081043,110.41611504458253,031,310900,17,1211,17031310900
1,"Census Tract 4205, Cook County, Illinois",23.8,53.8,4.0,0.0,0.0,23.5,10.1,14.4,92.9,0.0,93.5,14.4,0.0,25.8,41.1,30.8,9.0,3.3,22.9,1.0,16.8,15.4,15.4,0.0,41.3,6.1,30.4,0.0,45.0,45.0,7.5,11.4,25.8,25.3,70.3,14.7,12.5,37.1,4.5,2.2,2.5,18.9,1.8,1.3,24.0,2.6,21.2,39.1,0.0,5.2,24.2,1.0,0.0,1.0,high,79.20891520648313,91.89661419263113,63.97858234463018,61.82665417131328,85.34592323288216,47.46544855425334,100.0,78.26338639652678,91.52914799748287,031,420500,17,1520,17031420500
2,"Census Tract 4304, Cook County, Illinois",39.6,50.6,1.9,70.0,10.5,0.0,7.7,7.9,80.8,0.0,96.9,2.1,2.0,16.7,29.5,30.8,5.2,7.2,7.9,0.0,27.0,8.4,7.3,0.0,24.0,3.3,39.5,0.0,40.7,40.7,5.2,26.1,18.2,28.3,76.0,20.4,15.9,8.4,0.0,2.4,7.8,27.4,2.55,14.4,15.5,36.9,18.5,17.4,0.0,5.9,13.7,0.0,0.0,4.0,high,81.80902397683928,64.50460656342281,68.6725864874944,77.52703274095795,85.98215482247767,78.85158301116468,100.0,91.43270622286543,110.70668376838408,031,430400,17,2861,17031430400
3,"Census Tract 4306, Cook County, Illinois",37.8,41.7,2.7,62.0,0.0,5.3,3.8,9.7,91.1,0.3,97.1,3.0,1.7,25.0,37.0,21.4,2.1,12.4,8.5,0.0,18.5,23.6,2.0,4.8,42.1,5.8,30.7,8.2,49.3,49.3,4.7,16.6,41.2,28.2,85.3,0.0,15.2,14.6,0.0,0.0,13.3,35.7,3.75,1.5,16.7,8.6,16.4,5.9,11.2,7.1,26.3,0.9,0.0,6.0,high,71.12268481900614,132.2019165005053,96.67609549136542,111.03143537487296,67.9858898596335,54.93288801938904,100.0,95.19536903039076,101.98962205433806,031,430600,17,828,17031430600
4,"Census Tract 4409, Cook County, Illinois",40.9,36.9,5.3,217.0,0.0,19.4,12.7,8.5,90.0,0.0,97.9,0.9,0.0,10.5,32.5,28.1,5.5,2.4,10.1,0.0,15.1,17.0,3.4,1.7,40.0,5.2,50.6,0.0,42.6,42.6,10.5,24.1,0.0,38.2,79.8,0.0,10.0,0.8,0.0,0.0,1.8,44.1,2.64,1.1,23.1,19.0,44.8,23.6,0.0,7.2,20.7,0.0,0.0,0.1,high,97.52295934623251,80.84869817326732,97.91250138851538,61.31356990433142,81.52853369530915,72.87190926322077,100.0,102.7206946454414,101.98962205433806,031,440900,17,3051,17031440900
5,"Census Tract 4601, Cook County, Illinois",31.5,37.0,8.7,42.0,0.0,23.0,9.5,8.5,91.5,0.0,85.1,21.3,0.1,28.5,18.1,36.5,1.8,7.4,14.8,0.0,11.1,12.4,7.7,1.7,27.5,3.8,42.6,1.0,35.3,35.3,13.2,24.6,0.0,37.9,63.0,10.9,3.8,8.0,0.0,0.0,2.6,38.1,2.71,2.1,18.5,42.5,33.3,7.5,0.0,5.4,12.3,0.2,0.4,11.7,high,71.28991173162241,55.897618196733646,80.47050170608885,64.90515977320439,95.98007980183552,97.9636503012438,100.0,115.137481910275,111.8689586635902,031,460100,17,2650,17031460100
6,"Census Tract 4805, Cook County, Illinois",28.6,38.5,8.7,0.0,32.6,47.8,7.9,7.6,87.8,0.0,87.7,13.3,0.5,12.1,21.8,34.6,13.0,6.8,6.1,0.0,10.1,18.3,8.7,1.5,30.7,6.4,28.2,2.5,50.8,50.8,8.0,15.8,0.0,52.8,85.5,0.0,0.0,0.0,0.0,0.0,3.0,63.9,2.57,2.1,17.8,15.2,36.1,25.7,0.0,3.1,22.2,0.0,0.0,9.1,high,65.55834416211322,51.04575893012691,76.94566033263489,78.96366868850716,85.70948414122246,84.05876302133593,100.0,100.46309696092621,97.049953749712,031,480500,17,820,17031480500
7,"Census Tract 2831, Cook County, Illinois",28.8,51.1,24.4,0.0,0.0,0.0,0.0,7.6,72.8,2.6,68.0,38.1,1.9,9.4,63.4,13.0,9.5,7.4,14.3,0.0,20.1,12.5,7.1,3.5,10.2,3.9,15.7,7.2,69.1,69.1,6.0,21.3,53.2,45.5,87.6,0.0,10.4,38.8,0.0,6.2,13.9,11.3,2.72,5.8,12.1,0.0,0.0,10.6,13.6,8.6,4.9,0.9,0.6,27.8,low,72.36070341402014,126.10709637850435,88.39217598046041,148.5378952912464,135.24465790258645,93.185633478724,100.0,105.35455861070913,95.3065414069028,031,283100,17,337,17031283100
8,"Census Tract 3007, Cook County, Illinois",29.1,15.7,7.4,38.0,0.0,14.4,19.7,3.0,83.7,0.3,51.3,90.9,0.0,8.8,14.5,23.0,7.3,2.3,16.2,0.0,9.2,20.3,5.6,0.9,16.5,4.2,30.2,1.0,25.9,25.9,26.9,28.1,40.6,54.9,83.9,0.0,5.3,2.1,0.0,0.0,2.9,32.3,2.85,7.4,19.6,5.0,18.4,50.0,4.3,7.6,10.0,0.0,0.0,59.7,high,56.080354308346,52.37683314932736,49.085314116854924,97.07554331296656,76.43868097854516,135.07196059350815,100.0,137.33719247467442,110.99725249218555,031,300700,17,339,17031300700
9,"Census Tract 3008, Cook County, Illinois",33.5,19.8,8.6,100.0,0.0,23.7,23.0,0.6,94.6,0.4,59.4,90.3,0.6,10.4,7.9,28.6,15.9,1.2,16.5,0.0,8.6,25.9,2.3,0.0,21.1,7.2,50.1,0.0,17.7,17.7,23.2,43.3,100.0,88.1,81.0,3.6,4.4,0.0,0.0,3.5,4.8,34.3,3.53,4.4,24.0,15.1,3.4,45.8,0.0,6.5,9.9,0.0,0.0,58.5,low,45.9847037612058,51.1694925899399,65.61627787506569,86.91647482672589,73.25752303056765,116.44627824943407,100.0,138.84225759768455,115.06521462540705,031,300800,17,2519,17031300800
