,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,crime,ALAND,Popo_Density_Per_Hector
0,"Census Tract 3109, Cook County, Illinois",5391,1685,1123,24.5,33.4,3.2,3.8,10.5,60,0.0,46.4,17.1,3.4,97.2,0.0,66.0,75.0,3.5,11.1,26.5,23.4,9.9,3.6,9.4,0.0,7.3,14.2,10.3,1.2,57481,14.8,8.2,16.8,1.2,26763,36508,35990,47.0,47.0,16.8,26.0,0.0,43.2,1818,92.7,0.0,5.2,1818,17,031,310900,0.0,0.0,1.2,0.7,1685,35.4,1088,3.28,2.9,17.3,8.5,13.1,17.8,0.0,1677,976,6.3,12.9,0.0,0.4,50.7,5391,48,202,low,484908,0.0089
1,"Census Tract 4205, Cook County, Illinois",1659,799,369,23.8,53.8,2.08,3.15,4.0,0,0.0,23.5,10.1,14.4,92.9,0.0,93.5,14.4,0.0,25.8,41.1,30.8,9.0,3.3,22.9,1.0,16.8,15.4,15.4,0.0,45341,41.3,6.1,30.4,0.0,29367,49018,29495,45.0,45.0,7.5,11.4,25.8,25.3,1136,70.3,14.7,12.5,1136,17,031,420500,37.1,4.5,2.2,2.5,799,18.9,648,1.8,1.3,24.0,2.6,21.2,39.1,0.0,1205,939,5.2,24.2,1.0,0.0,1.0,1659,24,245,high,245980,0.0145
2,"Census Tract 4304, Cook County, Illinois",2756,1087,537,39.6,50.6,2.43,3.81,1.9,70,10.5,0.0,7.7,7.9,80.8,0.0,96.9,2.1,2.0,16.7,29.5,30.8,5.2,7.2,7.9,0.0,27.0,8.4,7.3,0.0,42317,24.0,3.3,39.5,0.0,30331,34407,31659,40.7,40.7,5.2,26.1,18.2,28.3,1430,76.0,20.4,15.9,1430,17,031,430400,8.4,0.0,2.4,7.8,1087,27.4,789,2.55,14.4,15.5,36.9,18.5,17.4,0.0,1511,946,5.9,13.7,0.0,0.0,4.0,2756,54,376,high,548003,0.0196
3,"Census Tract 4306, Cook County, Illinois",1920,753,439,37.8,41.7,2.53,3.51,2.7,62,0.0,5.3,3.8,9.7,91.1,0.3,97.1,3.0,1.7,25.0,37.0,21.4,2.1,12.4,8.5,0.0,18.5,23.6,2.0,4.8,60571,42.1,5.8,30.7,8.2,26369,70517,44569,49.3,49.3,4.7,16.6,41.2,28.2,883,85.3,0.0,15.2,883,17,031,430600,14.6,0.0,0.0,13.3,753,35.7,484,3.75,1.5,16.7,8.6,16.4,5.9,11.2,2164,748,7.1,26.3,0.9,0.0,6.0,1920,33,310,high,333359,0.0172
4,"Census Tract 4409, Cook County, Illinois",2547,932,588,40.9,36.9,2.73,3.51,5.3,217,0.0,19.4,12.7,8.5,90.0,0.0,97.9,0.9,0.0,10.5,32.5,28.1,5.5,2.4,10.1,0.0,15.1,17.0,3.4,1.7,55120,40.0,5.2,50.6,0.0,36157,43125,45139,42.6,42.6,10.5,24.1,0.0,38.2,1168,79.8,0.0,10.0,1168,17,031,440900,0.8,0.0,0.0,1.8,932,44.1,521,2.64,1.1,23.1,19.0,44.8,23.6,0.0,1195,897,7.2,20.7,0.0,0.0,0.1,2547,74,297,high,742630,0.0291
5,"Census Tract 4601, Cook County, Illinois",3424,1118,704,31.5,37.0,3.06,3.85,8.7,42,0.0,23.0,9.5,8.5,91.5,0.0,85.1,21.3,0.1,28.5,18.1,36.5,1.8,7.4,14.8,0.0,11.1,12.4,7.7,1.7,41686,27.5,3.8,42.6,1.0,26431,29816,37098,35.3,35.3,13.2,24.6,0.0,37.9,1776,63.0,10.9,3.8,1776,17,031,460100,8.0,0.0,0.0,2.6,1118,38.1,692,2.71,2.1,18.5,42.5,33.3,7.5,0.0,1265,1056,5.4,12.3,0.2,0.4,11.7,3424,296,401,high,2964056,0.0864
6,"Census Tract 4805, Cook County, Illinois",2938,1100,676,28.6,38.5,2.67,3.34,8.7,0,32.6,47.8,7.9,7.6,87.8,0.0,87.7,13.3,0.5,12.1,21.8,34.6,13.0,6.8,6.1,0.0,10.1,18.3,8.7,1.5,58209,30.7,6.4,28.2,2.5,24306,27228,35473,50.8,50.8,8.0,15.8,0.0,52.8,1286,85.5,0.0,0.0,1286,17,031,480500,0.0,0.0,0.0,3.0,1100,63.9,397,2.57,2.1,17.8,15.2,36.1,25.7,0.0,1539,943,3.1,22.2,0.0,0.0,9.1,2938,136,272,high,1363482,0.0463
7,"Census Tract 2831, Cook County, Illinois",3257,1163,569,28.8,51.1,2.8,3.28,24.4,0,0.0,0.0,0.0,7.6,72.8,2.6,68.0,38.1,1.9,9.4,63.4,13.0,9.5,7.4,14.3,0.0,20.1,12.5,7.1,3.5,72590,10.2,3.9,15.7,7.2,26828,67266,40750,69.1,69.1,6.0,21.3,53.2,45.5,1328,87.6,0.0,10.4,1328,17,031,283100,38.8,0.0,6.2,13.9,1163,11.3,1031,2.72,5.8,12.1,0.0,0.0,10.6,13.6,2895,1488,8.6,4.9,0.9,0.6,27.8,3257,21,134,low,212435,0.0064
8,"Census Tract 3007, Cook County, Illinois",4721,1293,1090,29.1,15.7,3.65,3.82,7.4,38,0.0,14.4,19.7,3.0,83.7,0.3,51.3,90.9,0.0,8.8,14.5,23.0,7.3,2.3,16.2,0.0,9.2,20.3,5.6,0.9,45402,16.5,4.2,30.2,1.0,20792,27938,22629,25.9,25.9,26.9,28.1,40.6,54.9,1541,83.9,0.0,5.3,1541,17,031,300700,2.1,0.0,0.0,2.9,1293,32.3,875,2.85,7.4,19.6,5.0,18.4,50.0,4.3,1892,841,7.6,10.0,0.0,0.0,59.7,4721,32,247,high,329127,0.0068
9,"Census Tract 3008, Cook County, Illinois",4070,1103,885,33.5,19.8,3.69,3.96,8.6,100,0.0,23.7,23.0,0.6,94.6,0.4,59.4,90.3,0.6,10.4,7.9,28.6,15.9,1.2,16.5,0.0,8.6,25.9,2.3,0.0,31630,21.1,7.2,50.1,0.0,17049,27294,30250,17.7,17.7,23.2,43.3,100.0,88.1,1361,81.0,3.6,4.4,1361,17,031,300800,0.0,0.0,3.5,4.8,1103,34.3,725,3.53,4.4,24.0,15.1,3.4,45.8,0.0,1694,806,6.5,9.9,0.0,0.0,58.5,4070,32,207,low,325846,0.0079
