,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,crime,Popo_Density_Per_Hector
0,"Census Tract 178.04, Dallas County, Texas",7832.00,2464.00,1803.00,27.40,26.80,3.13,3.56,8.30,11.00,17.10,0.00,18.90,7.70,72.30,0.00,85.10,35.10,3.50,8.80,22.90,22.60,12.60,6.90,8.70,0.00,6.60,9.30,9.80,0.80,54304.00,21.60,0.80,14.70,1.10,22113.00,39597.00,26236.00,44.60,44.60,28.10,19.00,21.90,44.40,2635.00,93.50,0.00,8.80,2635.00,48,113,017804,16.90,10.00,2.20,0.60,2464.00,33.40,1640.00,2.96,5.80,18.10,30.20,51.60,12.70,3.40,1218.00,958.00,8.60,13.00,1.60,0.20,63.90,7832.00,378,28,low,0.05
1,"Census Tract 178.13, Dallas County, Texas",6896.00,2441.00,1733.00,23.90,29.00,2.83,3.25,8.10,160.00,0.00,0.00,12.40,6.80,71.50,1.20,77.80,38.20,3.30,5.40,26.10,12.70,16.70,7.30,13.30,0.00,1.90,7.70,12.00,1.40,59139.00,10.70,1.20,16.80,1.90,31881.00,39051.00,34004.00,53.00,53.00,26.50,7.10,12.80,6.80,2753.00,88.70,12.70,9.00,2753.00,48,113,017813,16.70,0.40,2.70,4.60,2441.00,19.50,1965.00,3.06,11.10,9.60,25.00,53.40,19.30,0.00,1272.00,1056.00,9.10,7.20,1.20,1.40,52.40,6896.00,281,1,low,0.04
2,"Census Tract 184.01, Dallas County, Texas",5025.00,1498.00,1094.00,16.40,27.00,3.35,4.09,2.80,133.00,1.90,16.80,22.30,5.20,85.10,0.30,71.70,55.60,3.30,3.60,22.00,11.90,9.80,6.30,10.20,0.00,2.50,12.50,14.40,5.80,70365.00,25.80,0.70,18.60,5.30,24835.00,40911.00,26406.00,46.40,46.40,30.40,21.90,78.60,64.90,1566.00,95.70,2.90,6.50,1566.00,48,113,018401,3.20,0.00,3.20,0.00,1498.00,61.90,571.00,3.11,3.70,21.90,17.60,37.50,33.70,0.80,1339.00,917.00,8.10,11.90,2.90,0.20,73.50,5025.00,245,3,low,0.05
3,"Census Tract 190.16, Dallas County, Texas",2978.00,1187.00,648.00,16.70,45.40,2.51,3.23,11.60,14.00,0.00,33.30,6.00,12.00,73.90,0.30,54.40,52.00,6.50,6.20,22.30,22.60,20.90,9.80,7.70,0.00,5.10,9.40,8.10,2.80,51405.00,22.90,3.20,14.90,5.10,26224.00,34438.00,29567.00,52.00,52.00,22.30,21.60,71.90,79.00,1331.00,89.20,0.00,7.00,1331.00,48,113,019016,13.60,0.00,9.90,3.80,1187.00,31.30,816.00,2.36,10.30,28.10,11.10,58.00,28.00,0.00,1308.00,823.00,5.70,11.80,1.00,1.30,48.20,2978.00,115,821,low,0.04
4,"Census Tract 190.31, Dallas County, Texas",6048.00,2223.00,1573.00,10.10,29.20,2.72,3.29,3.70,33.00,0.00,0.00,8.10,8.20,83.90,0.20,86.00,19.70,14.40,4.80,44.40,12.70,10.50,12.30,17.10,0.00,0.70,4.60,16.90,8.30,90592.00,28.10,1.80,0.00,7.40,39099.00,55848.00,48111.00,78.30,78.30,11.20,4.80,0.00,17.60,2302.00,96.60,0.00,9.40,2302.00,48,113,019031,1.20,2.10,2.30,1.70,2223.00,81.00,422.00,2.80,0.70,22.30,1.70,27.50,24.20,3.50,1546.00,1421.00,3.30,19.40,2.60,0.40,78.70,6048.00,356,4,low,0.06
5,"Census Tract 190.32, Dallas County, Texas",3869.00,1112.00,883.00,14.30,20.60,3.48,3.88,5.60,14.00,0.00,0.00,14.40,7.00,92.70,0.00,57.10,69.10,1.70,1.50,15.90,24.30,7.40,2.60,14.30,0.00,7.10,10.80,20.70,0.70,63260.00,17.70,0.70,21.50,0.90,28408.00,32377.00,29505.00,46.60,46.60,30.70,14.00,7.40,27.00,1159.00,95.90,4.10,0.00,1159.00,48,113,019032,2.20,0.00,1.60,0.00,1112.00,64.50,395.00,3.40,3.40,17.80,14.60,53.60,17.30,2.90,1281.00,1005.00,7.40,14.00,0.40,3.80,69.50,3869.00,128,3,low,0.03
6,"Census Tract 137.17, Dallas County, Texas",3241.00,904.00,638.00,12.40,29.40,3.59,4.50,3.30,87.00,0.00,0.00,20.20,3.00,91.90,0.80,59.30,80.60,2.00,4.10,9.90,29.30,6.40,3.00,8.80,0.60,6.30,18.40,10.40,0.60,51383.00,13.10,0.40,13.10,0.80,22194.00,31329.00,22368.00,31.80,31.80,36.30,29.50,51.20,86.70,939.00,96.30,0.00,1.80,939.00,48,113,013717,7.70,0.00,3.50,0.00,904.00,32.40,611.00,2.42,0.60,24.80,7.80,38.60,37.90,0.00,1232.00,987.00,10.40,8.70,0.00,1.30,86.90,3241.00,137,12,low,0.04
7,"Census Tract 141.21, Dallas County, Texas",4870.00,2670.00,1160.00,6.90,56.60,1.82,2.71,4.20,0.00,100.00,0.00,1.10,7.10,73.60,0.70,70.20,34.10,6.40,3.00,67.50,11.40,6.90,14.40,24.50,0.00,2.80,6.10,16.00,6.70,91702.00,17.00,1.40,2.70,12.20,55639.00,80404.00,61250.00,86.90,86.90,6.30,3.80,15.50,0.00,2881.00,92.70,0.00,4.10,2881.00,48,113,014121,18.00,2.00,6.80,2.10,2670.00,26.30,1969.00,2.02,7.40,17.50,0.00,0.00,1.70,21.00,2688.00,1180.00,7.00,14.90,0.90,2.10,65.30,4870.00,379,1,low,0.08
8,"Census Tract 122.10, Dallas County, Texas",4209.00,2008.00,833.00,22.00,58.50,2.10,3.27,7.30,130.00,45.50,13.00,17.40,6.30,78.50,0.00,83.80,29.60,1.10,11.40,25.20,22.20,16.50,7.70,14.20,0.00,17.10,20.70,8.80,0.90,44808.00,19.60,3.70,27.20,2.30,25549.00,30975.00,30216.00,41.00,41.00,26.50,20.80,0.00,25.90,2395.00,83.80,0.00,11.70,2395.00,48,113,012210,35.70,0.00,8.30,8.50,2008.00,16.20,1683.00,2.04,9.50,19.10,16.60,15.10,19.70,0.00,1552.00,736.00,11.50,9.10,0.50,0.00,42.00,4209.00,117,2658,high,0.03
9,"Census Tract 130.07, Dallas County, Texas",3835.00,1311.00,1045.00,6.60,20.30,2.93,3.25,4.60,0.00,0.00,0.00,15.00,2.90,89.30,2.00,60.90,49.80,9.20,5.80,38.40,15.40,5.80,16.90,12.80,0.00,0.00,7.30,15.90,9.50,96442.00,28.50,0.00,14.30,11.60,37164.00,52384.00,60521.00,62.60,62.60,23.00,8.80,0.00,72.70,1418.00,92.50,0.00,11.70,1418.00,48,113,013007,2.10,0.00,0.60,0.00,1311.00,73.00,354.00,2.69,1.30,23.80,1.00,16.20,19.70,4.50,1821.00,883.00,9.30,15.10,0.20,1.30,61.00,3835.00,157,878,low,0.04
10,"Census Tract 110.01, Dallas County, Texas",7599.00,2883.00,1729.00,26.10,40.00,2.63,3.48,5.60,36.00,0.00,42.40,8.50,4.50,96.30,0.00,92.30,13.70,1.60,2.00,23.70,19.50,16.80,6.00,7.50,0.00,9.20,15.00,11.40,0.50,51799.00,32.20,0.40,9.60,0.00,30346.00,29032.00,39271.00,43.60,43.60,19.00,14.90,11.10,11.30,2969.00,97.10,2.80,3.00,2969.00,48,113,011001,1.30,0.00,0.00,1.30,2883.00,55.40,1286.00,2.57,8.40,21.70,48.70,34.80,6.70,0.00,1170.00,945.00,6.20,26.20,0.00,0.00,26.10,7599.00,332,2687,high,0.04
11,"Census Tract 122.06, Dallas County, Texas",5270.00,1830.00,1207.00,17.70,34.00,2.84,3.51,6.50,20.00,0.00,0.00,14.20,6.70,93.50,0.00,86.30,28.70,3.20,1.90,40.20,23.70,9.40,6.80,12.90,0.00,11.70,12.80,14.20,5.00,75297.00,30.50,3.50,16.40,7.00,31317.00,42150.00,31051.00,64.70,64.70,14.60,24.40,0.00,74.80,1978.00,92.50,1.80,11.00,1978.00,48,113,012206,4.10,0.00,0.00,0.00,1830.00,65.60,630.00,2.87,4.80,28.30,6.90,26.00,27.80,2.90,1433.00,789.00,5.70,15.80,0.70,0.40,47.20,5270.00,271,2428,high,0.05
12,"Census Tract 125, Dallas County, Texas",8200.00,2486.00,1766.00,18.70,29.00,3.29,4.03,4.30,77.00,23.30,18.30,15.00,6.10,90.60,0.40,69.50,64.80,3.70,7.30,14.30,18.90,14.70,7.10,13.30,0.00,7.20,14.30,8.20,0.60,58739.00,20.90,1.20,7.70,0.90,26771.00,34619.00,27323.00,40.10,40.10,36.80,18.60,12.60,35.20,2635.00,94.30,2.80,6.60,2635.00,48,113,012500,0.00,0.00,0.00,0.60,2486.00,75.60,607.00,3.37,0.60,29.50,46.80,26.80,14.80,0.00,1090.00,1092.00,9.50,13.00,0.30,0.00,78.30,8200.00,312,2772,high,0.04
13,"Census Tract 136.05, Dallas County, Texas",6117.00,2141.00,1710.00,5.40,20.10,2.85,3.19,3.60,0.00,0.00,100.00,3.20,7.80,84.30,2.30,88.30,10.80,13.30,3.40,56.80,10.20,7.90,15.40,15.30,0.00,1.60,4.20,14.70,23.10,159467.00,30.90,0.70,0.70,26.30,60136.00,91250.00,63676.00,86.00,86.00,4.60,5.20,0.00,52.30,2141.00,100.00,0.00,0.00,2141.00,48,113,013605,0.00,0.00,0.00,0.00,2141.00,85.80,303.00,2.87,2.80,20.60,0.00,0.80,2.00,16.10,2435.00,1719.00,8.20,19.90,0.00,4.20,83.00,6117.00,277,886,low,0.05
14,"Census Tract 137.12, Dallas County, Texas",2220.00,689.00,566.00,22.50,17.90,3.22,3.65,1.50,0.00,0.00,6.00,9.30,7.80,89.40,0.00,68.80,58.60,5.50,5.80,23.90,11.10,17.40,4.30,10.10,0.00,2.50,6.20,19.40,0.70,72126.00,24.20,1.20,6.20,0.90,31908.00,40807.00,35938.00,72.70,72.70,11.80,7.60,0.00,23.50,757.00,91.00,0.00,10.30,757.00,48,113,013712,0.00,0.00,0.00,0.00,689.00,82.30,122.00,3.07,0.00,24.50,2.30,49.20,32.80,0.00,1342.00,1720.00,5.20,11.70,1.10,0.00,78.40,2220.00,82,1,low,0.04
15,"Census Tract 144.03, Dallas County, Texas",4437.00,1926.00,989.00,17.50,48.70,2.30,3.01,11.80,71.00,0.00,0.00,9.50,14.90,51.10,2.60,65.80,50.70,2.60,3.90,21.50,15.90,13.20,10.80,17.60,0.00,3.40,12.60,10.30,0.50,52194.00,11.40,2.60,6.90,0.00,28284.00,37015.00,32917.00,58.20,58.20,24.50,15.20,13.80,26.70,2160.00,89.20,0.00,9.70,2160.00,48,113,014403,21.80,3.00,2.10,6.20,1926.00,3.90,1851.00,3.47,13.60,6.10,0.00,0.00,0.00,0.00,-666666666.00,1037.00,12.10,8.00,0.70,0.20,39.00,4437.00,515,1,low,0.12
16,"Census Tract 4.01, Dallas County, Texas",5543.00,1893.00,914.00,11.00,51.70,2.47,3.50,10.50,39.00,-666666666.00,-666666666.00,10.40,5.40,69.70,2.70,66.60,54.90,1.90,2.20,37.80,18.10,9.90,6.90,15.30,1.00,6.80,11.60,11.90,0.60,61595.00,9.50,0.80,11.70,0.00,28125.00,42844.00,36232.00,37.50,37.50,29.00,19.10,50.60,40.70,2117.00,89.40,8.30,4.60,2117.00,48,113,000401,56.40,2.70,32.40,6.90,1893.00,11.10,1682.00,3.05,16.70,10.00,22.70,36.50,12.80,0.00,1162.00,1243.00,6.40,7.30,0.10,1.00,70.00,5543.00,203,3739,high,0.04
17,"Census Tract 5, Dallas County, Texas",5708.00,3891.00,889.00,0.90,77.20,1.45,2.23,11.70,0.00,-666666666.00,-666666666.00,2.30,3.50,60.50,1.50,84.20,18.80,7.30,0.80,64.60,10.80,4.40,19.60,14.60,0.00,3.50,2.30,15.10,10.30,97886.00,7.20,0.70,3.20,27.90,60008.00,66299.00,60261.00,86.00,86.00,8.00,1.50,0.00,-666666666.00,4643.00,83.80,10.60,4.90,4643.00,48,113,000500,73.50,18.80,28.70,2.60,3891.00,20.40,3097.00,1.59,15.20,6.90,15.70,1.80,23.70,21.50,2686.00,1386.00,1.20,10.20,1.80,0.30,78.80,5708.00,149,5627,high,0.03
18,"Census Tract 9, Dallas County, Texas",5057.00,2579.00,738.00,9.00,71.40,1.96,3.20,16.70,0.00,50.80,21.80,10.20,3.70,63.20,3.10,70.40,37.60,7.10,3.70,46.90,20.00,7.20,11.60,22.70,0.00,7.90,10.60,12.50,7.60,82407.00,13.70,1.70,14.40,9.60,40781.00,61513.00,54298.00,60.60,60.60,21.70,21.40,56.00,54.10,2928.00,88.10,0.00,8.30,2928.00,48,113,000900,54.60,5.80,22.30,7.90,2579.00,18.10,2112.00,2.11,12.60,12.10,0.00,6.20,3.40,12.80,2039.00,1199.00,4.40,7.40,0.30,0.00,81.60,5057.00,96,3657,high,0.02
19,"Census Tract 13.02, Dallas County, Texas",2187.00,1144.00,385.00,13.10,66.30,1.91,3.11,10.60,0.00,0.00,18.40,15.00,4.90,71.60,0.00,86.90,23.10,7.70,6.20,46.30,13.30,9.90,9.80,20.60,0.00,9.90,8.80,10.80,4.10,71875.00,16.30,1.30,19.90,6.80,39886.00,46125.00,58281.00,51.80,51.80,22.00,23.60,38.60,36.90,1498.00,76.40,8.30,15.70,1498.00,48,113,001302,25.40,3.50,4.90,6.10,1144.00,14.50,978.00,2.45,17.60,8.90,6.60,0.00,0.00,33.70,2510.00,958.00,7.00,8.60,0.00,0.60,69.30,2187.00,67,1538,high,0.03
20,"Census Tract 14, Dallas County, Texas",3785.00,1749.00,810.00,15.20,53.70,2.16,3.00,11.00,0.00,0.00,0.00,8.70,6.40,64.00,0.00,79.30,40.20,10.00,4.80,38.20,19.40,10.20,6.30,18.90,1.20,6.00,10.40,8.80,6.30,76375.00,10.90,3.30,17.00,9.90,32242.00,44167.00,41939.00,46.60,46.60,23.60,19.30,23.80,47.50,2036.00,85.90,0.00,12.40,2036.00,48,113,001400,44.50,0.00,10.90,6.30,1749.00,19.00,1416.00,2.48,16.70,10.50,4.80,1.80,6.90,40.80,2367.00,918.00,8.80,7.10,1.70,0.00,77.30,3785.00,102,1740,high,0.03
21,"Census Tract 44, Dallas County, Texas",3437.00,1579.00,1022.00,6.30,35.30,2.17,2.54,8.10,0.00,0.00,100.00,2.50,5.30,82.10,1.20,87.20,15.90,6.80,4.50,54.90,9.90,4.60,11.70,20.40,0.00,2.20,2.30,15.10,24.40,155683.00,22.20,0.00,0.80,30.90,56629.00,80573.00,69667.00,86.80,86.80,6.40,3.30,0.00,0.00,1662.00,95.00,0.00,0.00,1662.00,48,113,004400,4.00,0.70,0.00,1.00,1579.00,68.80,492.00,2.07,4.70,21.30,0.80,1.00,5.30,37.80,2823.00,1099.00,3.10,18.90,1.00,0.50,80.70,3437.00,209,1283,high,0.06
22,"Census Tract 46, Dallas County, Texas",1893.00,928.00,327.00,2.60,64.80,2.04,3.46,8.40,0.00,0.00,19.40,6.20,3.70,75.40,2.50,89.50,23.20,9.30,2.60,62.00,10.50,9.30,5.70,21.60,0.00,13.50,10.80,9.20,12.60,101831.00,23.20,0.60,16.70,25.10,49496.00,58487.00,50313.00,70.30,70.30,9.00,2.80,0.00,0.00,1141.00,81.30,8.40,7.30,1141.00,48,113,004600,34.30,1.30,11.80,20.40,928.00,42.20,536.00,2.81,12.80,17.90,5.90,2.00,19.40,12.50,2236.00,902.00,5.00,17.10,0.00,0.40,75.50,1893.00,71,798,low,0.04
23,"Census Tract 88.01, Dallas County, Texas",2940.00,1046.00,630.00,22.40,39.80,2.80,3.80,4.30,0.00,0.00,9.10,26.80,3.70,91.30,0.00,87.00,27.40,0.00,7.30,13.80,26.20,4.10,8.80,6.80,1.30,16.10,16.00,6.40,2.30,66532.00,44.30,0.00,24.40,3.00,25538.00,26993.00,30382.00,36.00,36.00,30.10,12.10,12.80,6.00,1152.00,90.80,0.00,9.70,1152.00,48,113,008801,9.60,0.50,1.10,4.30,1046.00,62.80,389.00,3.03,2.10,18.20,59.50,13.90,4.10,1.70,1092.00,854.00,3.10,25.90,0.60,0.00,22.90,2940.00,234,1954,high,0.08
24,"Census Tract 92.02, Dallas County, Texas",6687.00,1699.00,1392.00,26.60,18.10,3.94,4.39,4.00,31.00,0.00,0.00,22.20,4.60,97.30,0.20,66.60,72.20,0.10,4.30,3.80,22.30,24.10,6.90,8.20,0.00,8.70,10.70,12.10,0.20,44878.00,21.60,0.80,20.50,0.20,24309.00,27372.00,25317.00,33.20,33.20,29.30,26.70,100.00,60.40,1778.00,95.60,0.00,5.40,1778.00,48,113,009202,0.00,0.00,0.80,0.70,1699.00,62.10,644.00,4.29,2.60,27.30,55.90,12.50,0.00,0.00,1084.00,1001.00,9.30,8.50,0.20,0.00,84.10,6687.00,277,2989,high,0.04
25,"Census Tract 96.04, Dallas County, Texas",4490.00,2126.00,1186.00,8.90,44.20,2.05,2.79,2.70,0.00,0.00,0.00,7.20,4.90,79.90,0.00,74.00,35.80,4.80,0.00,37.70,20.40,10.90,7.60,23.90,0.00,3.80,13.60,5.70,16.10,142991.00,31.50,1.50,2.40,26.00,36271.00,44142.00,47721.00,63.70,63.70,21.80,3.80,0.00,33.10,2339.00,90.90,0.00,1.40,2339.00,48,113,009604,21.40,0.00,15.10,6.60,2126.00,51.80,1024.00,2.18,7.20,25.70,4.40,3.20,3.30,38.60,3352.00,1188.00,5.20,22.90,0.80,0.00,83.40,4490.00,237,1472,high,0.05
26,"Census Tract 96.07, Dallas County, Texas",3530.00,1285.00,918.00,12.70,28.60,2.74,3.24,5.20,0.00,21.60,1.50,6.40,6.30,88.70,0.00,82.90,30.70,11.80,2.10,50.70,17.60,5.60,10.10,19.60,0.60,0.50,2.10,15.40,10.30,113643.00,27.40,0.00,2.50,8.20,50750.00,70700.00,58536.00,74.20,74.20,14.20,3.30,0.00,20.50,1505.00,85.40,4.60,17.30,1505.00,48,113,009607,11.10,0.50,1.50,4.30,1285.00,79.20,267.00,2.84,1.90,26.40,2.80,3.90,18.20,3.70,1909.00,2081.00,9.10,17.80,0.00,0.00,89.70,3530.00,235,1505,high,0.07
27,"Census Tract 96.08, Dallas County, Texas",3353.00,1315.00,991.00,11.60,24.60,2.54,3.01,1.00,59.00,0.00,50.00,1.80,3.40,82.30,0.00,80.90,23.20,10.10,6.50,54.80,9.70,3.70,14.80,21.70,0.50,3.30,6.10,8.10,19.20,127109.00,34.40,0.50,1.40,24.80,50317.00,90781.00,57808.00,82.40,82.40,9.90,1.80,0.00,16.70,1353.00,97.20,0.00,8.00,1353.00,48,113,009608,0.70,0.00,0.00,2.00,1315.00,83.30,219.00,2.31,2.70,27.20,0.80,0.70,9.00,9.90,2089.00,1689.00,5.40,22.30,0.00,0.70,93.20,3353.00,226,752,low,0.07
28,"Census Tract 61, Dallas County, Texas",4363.00,1491.00,947.00,22.30,36.50,2.92,3.80,4.90,12.00,0.00,22.60,15.70,5.30,82.30,0.00,80.80,39.00,0.60,3.80,21.10,23.90,11.60,5.60,11.60,0.00,20.00,17.50,9.30,0.50,60300.00,28.70,0.50,25.70,0.40,26458.00,32095.00,33375.00,41.60,41.60,20.30,28.00,31.20,66.10,1658.00,89.90,2.10,2.50,1658.00,48,113,006100,10.00,0.00,1.30,0.00,1491.00,51.00,731.00,3.07,7.20,23.30,20.10,20.90,26.60,0.00,1372.00,755.00,7.10,16.50,0.60,0.20,46.90,4363.00,255,2638,high,0.06
29,"Census Tract 78.19, Dallas County, Texas",2199.00,1188.00,460.00,15.50,61.30,1.85,2.87,7.00,66.00,0.00,0.00,5.30,4.10,65.90,0.00,69.50,53.20,0.90,3.20,21.80,43.00,13.10,3.60,20.20,0.00,8.40,17.60,2.90,0.00,38004.00,6.60,0.70,17.10,0.00,22056.00,30674.00,23313.00,39.50,39.50,34.70,20.20,14.30,56.20,1521.00,78.10,0.00,12.40,1521.00,48,113,007819,59.00,0.00,25.50,12.40,1188.00,3.90,1142.00,1.52,11.30,8.20,15.20,0.00,37.00,0.00,1125.00,812.00,8.70,5.40,0.40,0.00,58.30,2199.00,68,2951,high,0.03
30,"Census Tract 79.03, Dallas County, Texas",2148.00,1010.00,507.00,5.10,49.80,2.13,2.67,13.50,15.00,0.00,0.00,1.70,4.80,84.40,0.00,89.20,17.10,10.30,3.40,70.20,2.60,7.70,16.00,17.50,0.00,6.70,4.00,15.50,21.30,133788.00,28.80,0.50,0.50,31.60,63806.00,90750.00,71648.00,87.00,87.00,4.80,3.20,5.20,22.70,1150.00,87.80,0.00,10.50,1150.00,48,113,007903,33.40,3.10,7.10,1.00,1010.00,58.30,421.00,2.26,9.30,16.60,0.80,2.90,0.00,18.20,2756.00,1467.00,7.10,26.50,1.00,1.40,92.20,2148.00,122,1009,low,0.06
31,"Census Tract 88.02, Dallas County, Texas",4715.00,1948.00,1005.00,18.60,48.40,2.41,3.47,5.70,79.00,0.00,81.90,20.60,4.90,96.90,0.00,85.00,33.70,0.20,8.80,9.80,27.10,9.70,9.40,4.50,0.00,29.00,11.80,2.90,0.50,37710.00,32.70,3.90,33.80,0.00,24758.00,24620.00,30185.00,21.50,21.50,30.40,31.70,100.00,61.30,2167.00,89.90,4.10,5.20,2167.00,48,113,008802,1.50,0.50,0.00,0.00,1948.00,56.90,839.00,2.56,5.30,24.40,49.00,6.90,1.80,0.00,860.00,791.00,5.60,19.00,2.50,0.00,32.30,4715.00,249,4122,high,0.05
32,"Census Tract 89, Dallas County, Texas",3343.00,1293.00,685.00,29.70,47.00,2.59,3.57,8.60,0.00,11.70,29.90,8.80,3.90,89.60,0.00,86.30,27.70,0.00,11.50,12.90,27.60,12.70,7.10,17.80,0.00,15.00,14.10,10.20,0.00,43494.00,31.60,2.70,35.00,0.00,24699.00,32981.00,28882.00,34.90,34.90,23.20,30.20,0.00,67.80,1399.00,92.40,0.00,6.50,1399.00,48,113,008900,1.10,2.80,0.00,2.60,1293.00,29.50,912.00,2.44,10.30,16.90,39.40,29.10,4.70,0.00,1143.00,705.00,5.20,12.60,0.00,0.00,30.60,3343.00,272,2210,high,0.08
33,"Census Tract 91.05, Dallas County, Texas",3733.00,1082.00,783.00,17.80,27.60,3.45,4.26,2.60,72.00,8.40,27.70,12.80,1.60,96.20,1.00,63.80,80.20,0.60,2.50,5.30,18.10,15.40,3.10,12.10,0.00,10.90,15.10,12.70,0.00,50551.00,21.00,0.80,24.80,0.00,25617.00,30412.00,21375.00,30.10,30.10,41.00,25.20,63.00,57.90,1143.00,94.70,0.00,4.00,1143.00,48,113,009105,0.00,0.00,0.00,0.00,1082.00,64.50,384.00,4.13,2.10,27.60,71.80,12.50,0.90,0.00,1027.00,848.00,9.90,9.90,0.00,0.00,82.20,3733.00,139,2135,high,0.04
