,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,ALAND,AreaLand,crimeStats,crime,Popo_Density_Per_Hector
0,"Census Tract 178.04, Dallas County, Texas",7832,2464,1803,27.4,26.8,3.13,3.56,8.3,11,17.1,0,18.9,7.7,72.3,0,85.1,35.1,3.5,8.8,22.9,22.6,12.6,6.9,8.7,0,6.6,9.3,9.8,0.8,54304,21.6,0.8,14.7,1.1,22113,39597,26236,44.6,44.6,28.1,19,21.9,44.4,2635,93.5,0,8.8,2635,48,113,17804,16.9,10,2.2,0.6,2464,33.4,1640,2.96,5.8,18.1,30.2,51.6,12.7,3.4,1218,958,8.6,13,1.6,0.2,63.9,7832,378000,378,28,low,0.05
1,"Census Tract 178.13, Dallas County, Texas",6896,2441,1733,23.9,29,2.83,3.25,8.1,160,0,0,12.4,6.8,71.5,1.2,77.8,38.2,3.3,5.4,26.1,12.7,16.7,7.3,13.3,0,1.9,7.7,12,1.4,59139,10.7,1.2,16.8,1.9,31881,39051,34004,53,53,26.5,7.1,12.8,6.8,2753,88.7,12.7,9,2753,48,113,17813,16.7,0.4,2.7,4.6,2441,19.5,1965,3.06,11.1,9.6,25,53.4,19.3,0,1272,1056,9.1,7.2,1.2,1.4,52.4,6896,281000,281,1,low,0.04
2,"Census Tract 184.01, Dallas County, Texas",5025,1498,1094,16.4,27,3.35,4.09,2.8,133,1.9,16.8,22.3,5.2,85.1,0.3,71.7,55.6,3.3,3.6,22,11.9,9.8,6.3,10.2,0,2.5,12.5,14.4,5.8,70365,25.8,0.7,18.6,5.3,24835,40911,26406,46.4,46.4,30.4,21.9,78.6,64.9,1566,95.7,2.9,6.5,1566,48,113,18401,3.2,0,3.2,0,1498,61.9,571,3.11,3.7,21.9,17.6,37.5,33.7,0.8,1339,917,8.1,11.9,2.9,0.2,73.5,5025,245000,245,3,low,0.05
3,"Census Tract 190.16, Dallas County, Texas",2978,1187,648,16.7,45.4,2.51,3.23,11.6,14,0,33.3,6,12,73.9,0.3,54.4,52,6.5,6.2,22.3,22.6,20.9,9.8,7.7,0,5.1,9.4,8.1,2.8,51405,22.9,3.2,14.9,5.1,26224,34438,29567,52,52,22.3,21.6,71.9,79,1331,89.2,0,7,1331,48,113,19016,13.6,0,9.9,3.8,1187,31.3,816,2.36,10.3,28.1,11.1,58,28,0,1308,823,5.7,11.8,1,1.3,48.2,2978,115000,115,821,low,0.04
4,"Census Tract 190.31, Dallas County, Texas",6048,2223,1573,10.1,29.2,2.72,3.29,3.7,33,0,0,8.1,8.2,83.9,0.2,86,19.7,14.4,4.8,44.4,12.7,10.5,12.3,17.1,0,0.7,4.6,16.9,8.3,90592,28.1,1.8,0,7.4,39099,55848,48111,78.3,78.3,11.2,4.8,0,17.6,2302,96.6,0,9.4,2302,48,113,19031,1.2,2.1,2.3,1.7,2223,81,422,2.8,0.7,22.3,1.7,27.5,24.2,3.5,1546,1421,3.3,19.4,2.6,0.4,78.7,6048,356000,356,4,low,0.06
5,"Census Tract 190.32, Dallas County, Texas",3869,1112,883,14.3,20.6,3.48,3.88,5.6,14,0,0,14.4,7,92.7,0,57.1,69.1,1.7,1.5,15.9,24.3,7.4,2.6,14.3,0,7.1,10.8,20.7,0.7,63260,17.7,0.7,21.5,0.9,28408,32377,29505,46.6,46.6,30.7,14,7.4,27,1159,95.9,4.1,0,1159,48,113,19032,2.2,0,1.6,0,1112,64.5,395,3.4,3.4,17.8,14.6,53.6,17.3,2.9,1281,1005,7.4,14,0.4,3.8,69.5,3869,128000,128,3,low,0.03
6,"Census Tract 137.17, Dallas County, Texas",3241,904,638,12.4,29.4,3.59,4.5,3.3,87,0,0,20.2,3,91.9,0.8,59.3,80.6,2,4.1,9.9,29.3,6.4,3,8.8,0.6,6.3,18.4,10.4,0.6,51383,13.1,0.4,13.1,0.8,22194,31329,22368,31.8,31.8,36.3,29.5,51.2,86.7,939,96.3,0,1.8,939,48,113,13717,7.7,0,3.5,0,904,32.4,611,2.42,0.6,24.8,7.8,38.6,37.9,0,1232,987,10.4,8.7,0,1.3,86.9,3241,137000,137,12,low,0.04
7,"Census Tract 141.21, Dallas County, Texas",4870,2670,1160,6.9,56.6,1.82,2.71,4.2,0,100,0,1.1,7.1,73.6,0.7,70.2,34.1,6.4,3,67.5,11.4,6.9,14.4,24.5,0,2.8,6.1,16,6.7,91702,17,1.4,2.7,12.2,55639,80404,61250,86.9,86.9,6.3,3.8,15.5,0,2881,92.7,0,4.1,2881,48,113,14121,18,2,6.8,2.1,2670,26.3,1969,2.02,7.4,17.5,0,0,1.7,21,2688,1180,7,14.9,0.9,2.1,65.3,4870,379000,379,1,low,0.08
8,"Census Tract 122.10, Dallas County, Texas",4209,2008,833,22,58.5,2.1,3.27,7.3,130,45.5,13,17.4,6.3,78.5,0,83.8,29.6,1.1,11.4,25.2,22.2,16.5,7.7,14.2,0,17.1,20.7,8.8,0.9,44808,19.6,3.7,27.2,2.3,25549,30975,30216,41,41,26.5,20.8,0,25.9,2395,83.8,0,11.7,2395,48,113,12210,35.7,0,8.3,8.5,2008,16.2,1683,2.04,9.5,19.1,16.6,15.1,19.7,0,1552,736,11.5,9.1,0.5,0,42,4209,117000,117,2658,high,0.03
9,"Census Tract 130.07, Dallas County, Texas",3835,1311,1045,6.6,20.3,2.93,3.25,4.6,0,0,0,15,2.9,89.3,2,60.9,49.8,9.2,5.8,38.4,15.4,5.8,16.9,12.8,0,0,7.3,15.9,9.5,96442,28.5,0,14.3,11.6,37164,52384,60521,62.6,62.6,23,8.8,0,72.7,1418,92.5,0,11.7,1418,48,113,13007,2.1,0,0.6,0,1311,73,354,2.69,1.3,23.8,1,16.2,19.7,4.5,1821,883,9.3,15.1,0.2,1.3,61,3835,157000,157,878,low,0.04
