,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,Countyfp,Tractce,Statefp
4768,"Census Tract 178.04, Dallas County, Texas",27.4,26.8,8.3,11.0,17.1,0.0,18.9,7.7,72.3,0.0,85.1,35.1,3.5,8.8,22.9,22.6,12.6,6.9,8.7,0.0,6.6,9.3,9.8,0.8,21.6,0.8,14.7,1.1,44.6,44.6,28.1,19.0,21.9,44.4,93.5,0.0,8.8,16.9,10.0,2.2,0.6,33.4,2.96,5.8,18.1,30.2,51.6,12.7,3.4,8.6,13.0,1.6,0.2,63.9,low,57.1380516911351,71.78354335118709,61.15365714640594,70.63602772988,82.98442005282158,160.93362082069007,100.0,111.52019002375297,103.16246328102264,113,017804,48
4769,"Census Tract 178.13, Dallas County, Texas",23.9,29.0,8.1,160.0,0.0,0.0,12.4,6.8,71.5,1.2,77.8,38.2,3.3,5.4,26.1,12.7,16.7,7.3,13.3,0.0,1.9,7.7,12.0,1.4,10.7,1.2,16.8,1.9,53.0,53.0,26.5,7.1,12.8,6.8,88.7,12.7,9.0,16.7,0.4,2.7,4.6,19.5,3.06,11.1,9.6,25.0,53.4,19.3,0.0,9.1,7.2,1.2,1.4,52.4,low,82.37770659634957,70.79372557030096,79.26013712480514,73.76767427948059,91.47343170749436,141.7004914682685,100.0,100.83135391923992,94.1792150739673,113,017813,48
4770,"Census Tract 184.01, Dallas County, Texas",16.4,27.0,2.8,133.0,1.9,16.8,22.3,5.2,85.1,0.3,71.7,55.6,3.3,3.6,22.0,11.9,9.8,6.3,10.2,0.0,2.5,12.5,14.4,5.8,25.8,0.7,18.6,5.3,46.4,46.4,30.4,21.9,78.6,64.9,95.7,2.9,6.5,3.2,0.0,3.2,0.0,61.9,3.11,3.7,21.9,17.6,37.5,33.7,0.8,8.1,11.9,2.9,0.2,73.5,low,64.17146084879212,74.16563229639658,61.54991121390437,77.65323573917021,79.4328947687238,103.25478097854541,100.0,119.35866983372922,118.520919893085,113,018401,48
4771,"Census Tract 190.16, Dallas County, Texas",16.7,45.4,11.6,14.0,0.0,33.3,6.0,12.0,73.9,0.3,54.4,52.0,6.5,6.2,22.3,22.6,20.9,9.8,7.7,0.0,5.1,9.4,8.1,2.8,22.9,3.2,14.9,5.1,52.0,52.0,22.3,21.6,71.9,79.0,89.2,0.0,7.0,13.6,0.0,9.9,3.8,31.3,2.36,10.3,28.1,11.1,58.0,28.0,0.0,5.7,11.8,1.0,1.3,48.2,low,67.76051497075596,62.43103431896814,68.91790596309592,75.85543864588098,71.29037338567032,61.192584627683225,100.0,89.42992874109264,93.59965067351212,113,019016,48
4772,"Census Tract 190.31, Dallas County, Texas",10.1,29.2,3.7,33.0,0.0,0.0,8.1,8.2,83.9,0.2,86.0,19.7,14.4,4.8,44.4,12.7,10.5,12.3,17.1,0.0,0.7,4.6,16.9,8.3,28.1,1.8,0.0,7.4,78.3,78.3,11.2,4.8,0.0,17.6,96.6,0.0,9.4,1.2,2.1,2.3,1.7,81.0,2.8,0.7,22.3,1.7,27.5,24.2,3.5,3.3,19.4,2.6,0.4,78.7,low,101.02838525173838,101.24421873063862,112.14223200833726,89.65788084597249,123.0906689927552,124.27560504641644,100.0,96.9121140142518,95.33834387487767,113,019031,48
4773,"Census Tract 190.32, Dallas County, Texas",14.3,20.6,5.6,14.0,0.0,0.0,14.4,7.0,92.7,0.0,57.1,69.1,1.7,1.5,15.9,24.3,7.4,2.6,14.3,0.0,7.1,10.8,20.7,0.7,17.7,0.7,21.5,0.9,46.6,46.6,30.7,14.0,7.4,27.0,95.9,4.1,0.0,2.2,0.0,1.6,0.0,64.5,3.4,3.4,17.8,14.6,53.6,17.3,2.9,7.4,14.0,0.4,3.8,69.5,low,73.4037793353125,58.69474412408478,68.77338977377295,74.28961537108069,87.05568074434834,79.50104429969993,100.0,123.99049881235153,112.43549368830557,113,019032,48
4774,"Census Tract 137.17, Dallas County, Texas",12.4,29.4,3.3,87.0,0.0,0.0,20.2,3.0,91.9,0.8,59.3,80.6,2.0,4.1,9.9,29.3,6.4,3.0,8.8,0.6,6.3,18.4,10.4,0.6,13.1,0.4,13.1,0.8,31.8,31.8,36.3,29.5,51.2,86.7,96.3,0.0,1.8,7.7,0.0,3.5,0.0,32.4,2.42,0.6,24.8,7.8,38.6,37.9,0.0,10.4,8.7,0.0,1.3,86.9,low,57.347348583776615,56.794874097768535,52.137711657676775,71.44793609459127,85.49647452206149,66.59676520427176,100.0,127.90973871733966,130.40199010241628,113,013717,48
4775,"Census Tract 141.21, Dallas County, Texas",6.9,56.6,4.2,0.0,100.0,0.0,1.1,7.1,73.6,0.7,70.2,34.1,6.4,3.0,67.5,11.4,6.9,14.4,24.5,0.0,2.8,6.1,16.0,6.7,17.0,1.4,2.7,12.2,86.9,86.9,6.3,3.8,15.5,0.0,92.7,0.0,4.1,18.0,2.0,6.8,2.1,26.3,2.02,7.4,17.5,0.0,0.0,1.7,21.0,7.0,14.9,0.9,2.1,65.3,low,143.7662939466859,145.76063892741487,142.76800961340768,155.88640602456277,102.21463012769256,100.0698076349286,100.0,64.8456057007126,78.53097626167734,113,014121,48
4776,"Census Tract 122.10, Dallas County, Texas",22.0,58.5,7.3,130.0,45.5,13.0,17.4,6.3,78.5,0.0,83.8,29.6,1.1,11.4,25.2,22.2,16.5,7.7,14.2,0.0,17.1,20.7,8.8,0.9,19.6,3.7,27.2,2.3,41.0,41.0,26.5,20.8,0.0,25.9,83.8,0.0,11.7,35.7,0.0,8.3,8.5,16.2,2.04,9.5,19.1,16.6,15.1,19.7,0.0,11.5,9.1,0.5,0.0,42.0,high,66.01637419874329,56.15312410796324,70.43066413842818,90.00584157370588,63.754209977950616,86.48743744053684,100.0,74.82185273159145,94.75877947442248,113,012210,48
4777,"Census Tract 130.07, Dallas County, Texas",6.6,20.3,4.6,0.0,0.0,0.0,15.0,2.9,89.3,2.0,60.9,49.8,9.2,5.8,38.4,15.4,5.8,16.9,12.8,0.0,0.0,7.3,15.9,9.5,28.5,0.0,14.3,11.6,62.6,62.6,23.0,8.8,0.0,72.7,92.5,0.0,11.7,2.1,0.0,0.6,0.0,73.0,2.69,1.3,23.8,1.0,16.2,19.7,4.5,9.3,15.1,0.2,1.3,61.0,low,96.0285150386354,94.96449566655517,141.0687789357232,105.6060808670866,76.48772745995977,78.80240498561625,100.0,104.39429928741093,94.1792150739673,113,013007,48
