,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crimeStats,crime,%DP03_0065E-HH-MeanEarnings,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0016E-Avg Fam Size,Countyfp,Tractce,Statefp
4773,"Census Tract 178.04, Dallas County, Texas",27.4,26.8,8.3,11.0,17.1,0.0,18.9,7.7,72.3,0.0,85.1,35.1,3.5,8.8,22.9,22.6,12.6,6.9,8.7,0.0,6.6,9.3,9.8,0.8,21.6,0.8,14.7,1.1,44.6,44.6,28.1,19.0,21.9,44.4,93.5,0.0,8.8,16.9,10.0,2.2,0.6,33.4,2.96,5.8,18.1,30.2,51.6,12.7,3.4,8.6,13.0,1.6,0.2,63.9,27,low,61.79922301852694,57.1339969109277,71.75978712406913,61.06243971806704,70.62505215722274,83.06846587078506,160.79668854207284,100.0,103.05618830675785,113,017804,48
4774,"Census Tract 178.13, Dallas County, Texas",23.9,29.0,8.1,160.0,0.0,0.0,12.4,6.8,71.5,1.2,77.8,38.2,3.3,5.4,26.1,12.7,16.7,7.3,13.3,0.0,1.9,7.7,12.0,1.4,10.7,1.2,16.8,1.9,53.0,53.0,26.5,7.1,12.8,6.8,88.7,12.7,9.0,16.7,0.4,2.7,4.6,19.5,3.06,11.1,9.6,25.0,53.4,19.3,0.0,9.1,7.2,1.2,1.4,52.4,1,low,67.30156618467635,82.37186069358685,70.77029691597909,79.14191188341026,73.7562121050799,91.5660751143518,141.57992392570665,100.0,94.08219438116937,113,017813,48
4775,"Census Tract 184.01, Dallas County, Texas",16.4,27.0,2.8,133.0,1.9,16.8,22.3,5.2,85.1,0.3,71.7,55.6,3.3,3.6,22.0,11.9,9.8,6.3,10.2,0.0,2.5,12.5,14.4,5.8,25.8,0.7,18.6,5.3,46.4,46.4,30.4,21.9,78.6,64.9,95.7,2.9,6.5,3.2,0.0,3.2,0.0,61.9,3.11,3.7,21.9,17.6,37.5,33.7,0.8,8.1,11.9,2.9,0.2,73.5,2,low,80.07701693611241,64.16690694536649,74.1410877347474,61.458102728894595,77.64116981816194,79.51334363623162,103.16692542440195,100.0,118.39882308276393,113,018401,48
4776,"Census Tract 190.16, Dallas County, Texas",16.7,45.4,11.6,14.0,0.0,33.3,6.0,12.0,73.9,0.3,54.4,52.0,6.5,6.2,22.3,22.6,20.9,9.8,7.7,0.0,5.1,9.4,8.1,2.8,22.9,3.2,14.9,5.1,52.0,52.0,22.3,21.6,71.9,79.0,89.2,0.0,7.0,13.6,0.0,9.9,3.8,31.3,2.36,10.3,28.1,11.1,58.0,28.0,0.0,5.7,11.8,1.0,1.3,48.2,656,low,58.50009316564852,67.7557063714633,62.41037323480803,68.81510730081142,75.843652070318,71.36257558627986,61.14051819181473,100.0,93.5032270311314,113,019016,48
4777,"Census Tract 190.31, Dallas County, Texas",10.1,29.2,3.7,33.0,0.0,0.0,8.1,8.2,83.9,0.2,86.0,19.7,14.4,4.8,44.4,12.7,10.5,12.3,17.1,0.0,0.7,4.6,16.9,8.3,28.1,1.8,0.0,7.4,78.3,78.3,11.2,4.8,0.0,17.6,96.6,0.0,9.4,1.2,2.1,2.3,1.7,81.0,2.8,0.7,22.3,1.7,27.5,24.2,3.5,3.3,19.4,2.6,0.4,78.7,4,low,103.09581636149075,101.02121581062553,101.21071271321094,111.97495949366991,89.64394961828107,123.21533403171772,124.16986367498168,100.0,95.2401290812453,113,019031,48
4778,"Census Tract 190.32, Dallas County, Texas",14.3,20.6,5.6,14.0,0.0,0.0,14.4,7.0,92.7,0.0,57.1,69.1,1.7,1.5,15.9,24.3,7.4,2.6,14.3,0.0,7.1,10.8,20.7,0.7,17.7,0.7,21.5,0.9,46.6,46.6,30.7,14.0,7.4,27.0,95.9,4.1,0.0,2.2,0.0,1.6,0.0,64.5,3.4,3.4,17.8,14.6,53.6,17.3,2.9,7.4,14.0,0.4,3.8,69.5,2,low,71.99136063921652,73.39857026390061,58.675319537237336,68.67080667333315,74.27807209638942,87.14384989576094,79.43339989393256,100.0,112.31966590736529,113,019032,48
4779,"Census Tract 137.17, Dallas County, Texas",12.4,29.4,3.3,87.0,0.0,0.0,20.2,3.0,91.9,0.8,59.3,80.6,2.0,4.1,9.9,29.3,6.4,3.0,8.8,0.6,6.3,18.4,10.4,0.6,13.1,0.4,13.1,0.8,31.8,31.8,36.3,29.5,51.2,86.7,96.3,0.0,1.8,7.7,0.0,3.5,0.0,32.4,2.42,0.6,24.8,7.8,38.6,37.9,0.0,10.4,8.7,0.0,1.3,86.9,12,low,58.47505665072499,57.34327895089447,56.77607825870551,52.05994250700273,71.43683436592644,85.58306452449358,66.5401005573108,100.0,130.26765375854222,113,013717,48
4780,"Census Tract 141.21, Dallas County, Texas",6.9,56.6,4.2,0.0,100.0,0.0,1.1,7.1,73.6,0.7,70.2,34.1,6.4,3.0,67.5,11.4,6.9,14.4,24.5,0.0,2.8,6.1,16.0,6.7,17.0,1.4,2.7,12.2,86.9,86.9,6.3,3.8,15.5,0.0,92.7,0.0,4.1,18.0,2.0,6.8,2.1,26.3,2.02,7.4,17.5,0.0,0.0,1.7,21.0,7.0,14.9,0.9,2.1,65.3,1,low,104.35902234172359,143.7560916260619,145.71240053346605,142.555055371688,155.86218407111224,102.31815211641585,99.98466205310199,100.0,78.45007593014431,113,014121,48
4781,"Census Tract 122.10, Dallas County, Texas",22.0,58.5,7.3,130.0,45.5,13.0,17.4,6.3,78.5,0.0,83.8,29.6,1.1,11.4,25.2,22.2,16.5,7.7,14.2,0.0,17.1,20.7,8.8,0.9,19.6,3.7,27.2,2.3,41.0,41.0,26.5,20.8,0.0,25.9,83.8,0.0,11.7,35.7,0.0,8.3,8.5,16.2,2.04,9.5,19.1,16.6,15.1,19.7,0.0,11.5,9.1,0.5,0.0,42.0,2488,high,50.992552758805154,66.01168937174023,56.13454065126251,70.32560903038245,89.99185627915408,63.818779625154285,86.41384857936474,100.0,94.66116173120734,113,012210,48
4782,"Census Tract 130.07, Dallas County, Texas",6.6,20.3,4.6,0.0,0.0,0.0,15.0,2.9,89.3,2.0,60.9,49.8,9.2,5.8,38.4,15.4,5.8,16.9,12.8,0.0,0.0,7.3,15.9,9.5,28.5,0.0,14.3,11.6,62.6,62.6,23.0,8.8,0.0,72.7,92.5,0.0,11.7,2.1,0.0,0.6,0.0,73.0,2.69,1.3,23.8,1.0,16.2,19.7,4.5,9.3,15.1,0.2,1.3,61.0,538,low,109.75325328433956,96.0217004114194,94.93306787653705,140.85835928408048,105.58967157496109,76.56519349050438,78.73535502538935,100.0,94.08219438116937,113,013007,48
