,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,crime,Popo_Density_Per_Hector
0,"Census Tract 5435.02, Los Angeles County, California",4424.00,1390.00,995.00,11.20,28.40,3.17,3.66,8.60,49.00,0.00,25.00,8.50,9.40,96.50,0.50,51.70,70.50,2.90,7.10,34.90,16.70,11.80,1.20,11.40,0.00,4.00,13.70,15.70,9.40,83583.00,28.60,5.80,5.70,7.40,36278.00,52561.00,36729.00,49.70,49.70,11.80,14.80,25.70,50.90,1525.00,91.10,0.00,0.00,1525.00,06,037,543502,2.00,0.00,3.70,4.90,1390.00,55.90,613.00,2.87,4.70,24.30,0.00,1.30,4.10,31.70,2309.00,1354.00,7.40,21.40,0.20,0.50,35.80,4424.00,110,14,low,0.02
1,"Census Tract 5501, Los Angeles County, California",7441.00,1886.00,1587.00,12.60,15.90,3.95,4.27,4.90,46.00,2.00,3.30,10.10,7.30,97.50,0.20,64.10,74.00,0.80,4.60,28.70,20.00,12.40,5.80,4.20,0.00,3.80,5.40,17.00,5.60,84915.00,23.80,2.70,5.50,4.20,31603.00,42163.00,33976.00,73.60,73.60,3.00,7.50,5.40,6.30,1954.00,96.50,3.70,0.00,1954.00,06,037,550100,3.50,0.00,0.40,2.10,1886.00,81.80,344.00,3.89,0.50,29.50,0.00,0.00,0.00,9.40,1914.00,1253.00,6.60,14.90,0.00,0.90,49.00,7441.00,164,1,low,0.02
2,"Census Tract 6031.02, Los Angeles County, California",3742.00,1334.00,828.00,11.10,37.90,2.79,3.59,6.60,54.00,0.00,22.20,9.10,9.30,94.60,0.00,59.70,62.90,0.80,6.20,33.70,11.50,10.60,4.20,21.40,0.00,6.30,10.60,13.80,2.70,71045.00,39.30,4.20,9.20,4.30,36120.00,46522.00,36771.00,54.20,54.20,6.40,15.60,0.00,26.50,1452.00,91.90,0.00,6.00,1452.00,06,037,603102,14.20,1.20,2.10,6.10,1334.00,33.60,886.00,3.07,2.70,40.60,0.00,0.00,3.80,37.10,2337.00,1262.00,5.40,22.50,0.00,1.80,30.70,3742.00,74,46,low,0.02
3,"Census Tract 8001.01, Los Angeles County, California",5647.00,1949.00,1569.00,9.40,19.50,2.90,3.21,3.90,72.00,0.00,0.00,2.50,6.90,89.10,0.50,75.80,22.50,8.30,6.20,67.20,6.70,7.00,14.50,26.20,0.00,0.90,3.70,8.90,31.60,184888.00,35.70,0.90,1.50,35.60,63025.00,101875.00,78571.00,81.60,81.60,4.30,1.10,0.00,0.00,1999.00,97.50,1.20,0.00,1999.00,06,037,800101,0.00,0.00,0.00,0.40,1949.00,89.50,204.00,2.81,3.40,20.00,1.10,2.50,6.50,40.30,3502.00,2750.00,2.50,26.00,2.50,3.50,92.00,5647.00,809,6,low,0.14
4,"Census Tract 5300.04, Los Angeles County, California",3703.00,1160.00,839.00,15.40,27.70,3.19,3.69,7.80,26.00,7.60,28.30,12.30,8.20,90.80,0.20,65.70,62.50,1.30,8.20,41.00,17.80,13.70,4.30,9.00,1.40,3.80,11.80,16.90,3.40,74569.00,30.70,2.30,9.60,4.80,34679.00,45500.00,36326.00,63.70,63.70,9.20,8.80,0.00,0.00,1308.00,88.70,0.00,10.90,1308.00,06,037,530004,24.80,0.00,2.50,3.60,1160.00,54.90,523.00,3.44,6.30,15.70,0.00,1.40,0.00,38.80,2312.00,1400.00,9.90,18.60,0.00,2.50,63.60,3703.00,129,1,low,0.03
5,"Census Tract 5303.01, Los Angeles County, California",2105.00,635.00,446.00,18.30,29.80,3.31,4.08,4.60,43.00,26.10,6.70,16.10,2.70,97.70,0.00,59.70,90.30,0.20,6.30,12.90,14.40,10.60,1.40,12.10,0.00,4.10,14.00,6.10,0.00,58363.00,24.40,4.10,15.30,0.00,28514.00,36815.00,27813.00,43.40,43.40,15.10,15.50,37.10,16.70,646.00,98.30,0.00,0.00,646.00,06,037,530301,0.00,0.00,4.60,0.60,635.00,30.60,441.00,3.69,3.50,14.80,0.00,0.00,0.00,16.00,2234.00,1134.00,9.10,14.30,0.00,0.00,46.70,2105.00,58,1,low,0.03
6,"Census Tract 5309.01, Los Angeles County, California",3519.00,911.00,792.00,27.00,13.10,3.86,3.96,7.60,6.00,0.00,0.00,15.00,4.50,96.90,0.70,57.30,88.80,0.80,10.70,13.60,26.40,11.10,1.80,11.90,0.00,4.20,7.70,10.30,3.00,75656.00,27.10,5.90,8.70,1.30,25792.00,35069.00,23098.00,37.80,37.80,15.70,14.90,0.00,41.00,962.00,94.70,3.30,4.60,962.00,06,037,530901,0.00,0.40,1.90,5.30,911.00,31.70,622.00,4.12,1.10,29.10,0.00,0.00,1.40,17.00,1848.00,1123.00,6.00,13.50,0.00,0.00,27.80,3519.00,44,12,low,0.01
7,"Census Tract 5320.01, Los Angeles County, California",2822.00,1033.00,639.00,14.60,38.10,2.73,3.59,4.70,76.00,0.00,14.80,16.70,4.00,90.40,0.40,59.80,73.70,0.90,3.20,10.20,19.10,18.90,3.40,11.50,0.00,7.40,23.00,9.30,0.00,42077.00,30.30,7.70,16.00,0.00,23935.00,33620.00,30938.00,31.30,31.30,14.50,23.80,56.80,50.90,1106.00,93.40,0.00,2.10,1106.00,06,037,532001,20.60,0.00,7.10,4.00,1033.00,27.90,745.00,2.70,2.90,19.90,2.40,0.00,0.00,6.30,1448.00,926.00,8.30,20.70,0.00,0.00,68.70,2822.00,135,1,low,0.05
8,"Census Tract 5334.03, Los Angeles County, California",2939.00,740.00,584.00,16.50,21.10,3.80,4.31,5.00,69.00,13.80,2.80,13.20,1.50,95.10,0.40,53.00,89.90,0.40,7.90,16.40,19.60,7.20,6.00,2.80,0.00,2.20,13.80,13.90,0.00,59871.00,31.60,3.50,13.10,0.00,27500.00,35302.00,27727.00,31.90,31.90,19.30,21.60,48.60,55.40,750.00,98.70,0.00,0.00,750.00,06,037,533403,13.20,0.00,4.70,2.80,740.00,34.90,482.00,4.68,0.70,36.80,0.00,3.90,0.00,34.10,1918.00,986.00,6.70,16.80,0.00,0.00,65.80,2939.00,47,1,low,0.02
9,"Census Tract 5408, Los Angeles County, California",5313.00,1481.00,1197.00,34.80,19.20,3.59,4.05,3.30,0.00,0.00,0.00,15.50,6.10,92.90,0.00,74.40,47.50,0.00,5.40,21.90,18.40,13.10,3.00,12.90,0.00,2.40,5.40,13.20,1.80,72266.00,29.80,5.30,9.30,2.20,25839.00,34781.00,30917.00,54.00,54.00,10.10,7.10,9.60,20.40,1536.00,96.40,0.00,0.00,1536.00,06,037,540800,11.00,0.60,0.00,1.80,1481.00,66.90,490.00,4.02,1.10,29.40,0.00,0.60,3.60,3.50,1834.00,1144.00,4.10,11.60,0.00,0.00,24.80,5313.00,198,1,low,0.04
10,"Census Tract 5401.02, Los Angeles County, California",6818.00,1551.00,1312.00,21.60,15.40,4.40,4.84,3.40,88.00,2.80,0.00,14.30,4.80,94.00,0.20,64.90,80.40,0.20,9.80,14.40,25.40,12.50,4.70,10.30,0.00,12.40,7.00,12.80,5.20,87074.00,22.00,1.90,12.30,6.10,25723.00,33718.00,28659.00,50.20,50.20,17.50,17.50,53.50,52.10,1568.00,98.90,0.00,2.40,1568.00,06,037,540102,0.90,0.00,1.30,7.70,1551.00,54.90,699.00,4.69,1.70,24.60,0.80,0.20,5.20,9.00,1753.00,1281.00,7.10,12.20,0.00,0.00,48.80,6818.00,125,1,low,0.02
11,"Census Tract 1232.05, Los Angeles County, California",2615.00,759.00,571.00,16.30,24.80,3.45,3.78,10.40,18.00,0.00,0.00,15.00,6.60,96.80,0.00,53.40,78.60,1.30,2.70,24.10,24.10,8.70,2.40,15.10,0.00,6.20,16.90,16.30,0.50,63370.00,15.20,8.80,14.80,0.00,22549.00,31712.00,23750.00,37.60,37.60,16.80,13.80,0.00,18.90,784.00,96.80,0.00,3.90,784.00,06,037,123205,0.00,0.00,11.60,5.40,759.00,18.70,617.00,4.65,1.70,34.80,7.70,0.00,0.00,43.70,2406.00,1232.00,4.90,9.90,0.00,0.00,72.60,2615.00,75,1062,low,0.03
12,"Census Tract 2383.10, Los Angeles County, California",5018.00,1454.00,1049.00,35.00,27.90,3.39,3.99,6.90,69.00,0.00,0.00,20.90,4.00,88.10,0.00,65.50,72.00,0.00,6.90,9.70,30.60,13.70,4.60,10.50,0.00,14.90,13.30,7.90,0.00,41657.00,18.30,11.20,25.20,0.00,20495.00,32206.00,24063.00,19.40,19.40,21.00,42.30,42.70,67.90,1483.00,98.00,0.00,0.00,1483.00,06,037,238310,12.20,0.00,6.10,7.10,1454.00,9.10,1322.00,3.16,4.40,21.00,0.00,9.10,0.00,0.00,2147.00,1055.00,9.50,7.70,0.00,0.00,22.50,5018.00,39,4217,high,0.01
