,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,crime,ALAND,Popo_Density_Per_Hector
0,"Census Tract 5435.02, Los Angeles County, California",4424,1390,995,11.2,28.4,3.17,3.66,8.6,49,0.0,25.0,8.5,9.4,96.5,0.5,51.7,70.5,2.9,7.1,34.9,16.7,11.8,1.2,11.4,0.0,4.0,13.7,15.7,9.4,83583,28.6,5.8,5.7,7.4,36278,52561,36729,49.7,49.7,11.8,14.8,25.7,50.9,1525,91.1,0.0,0.0,1525,06,037,543502,2.0,0.0,3.7,4.9,1390,55.9,613,2.87,4.7,24.3,0.0,1.3,4.1,31.7,2309,1354,7.4,21.4,0.2,0.5,35.8,4424,110,14,low,1100784,0.0249
1,"Census Tract 5501, Los Angeles County, California",7441,1886,1587,12.6,15.9,3.95,4.27,4.9,46,2.0,3.3,10.1,7.3,97.5,0.2,64.1,74.0,0.8,4.6,28.7,20.0,12.4,5.8,4.2,0.0,3.8,5.4,17.0,5.6,84915,23.8,2.7,5.5,4.2,31603,42163,33976,73.6,73.6,3.0,7.5,5.4,6.3,1954,96.5,3.7,0.0,1954,06,037,550100,3.5,0.0,0.4,2.1,1886,81.8,344,3.89,0.5,29.5,0.0,0.0,0.0,9.4,1914,1253,6.6,14.9,0.0,0.9,49.0,7441,164,1,low,1648945,0.022
2,"Census Tract 6031.02, Los Angeles County, California",3742,1334,828,11.1,37.9,2.79,3.59,6.6,54,0.0,22.2,9.1,9.3,94.6,0.0,59.7,62.9,0.8,6.2,33.7,11.5,10.6,4.2,21.4,0.0,6.3,10.6,13.8,2.7,71045,39.3,4.2,9.2,4.3,36120,46522,36771,54.2,54.2,6.4,15.6,0.0,26.5,1452,91.9,0.0,6.0,1452,06,037,603102,14.2,1.2,2.1,6.1,1334,33.6,886,3.07,2.7,40.6,0.0,0.0,3.8,37.1,2337,1262,5.4,22.5,0.0,1.8,30.7,3742,74,46,low,745751,0.0198
3,"Census Tract 8001.01, Los Angeles County, California",5647,1949,1569,9.4,19.5,2.9,3.21,3.9,72,0.0,0.0,2.5,6.9,89.1,0.5,75.8,22.5,8.3,6.2,67.2,6.7,7.0,14.5,26.2,0.0,0.9,3.7,8.9,31.6,184888,35.7,0.9,1.5,35.6,63025,101875,78571,81.6,81.6,4.3,1.1,0.0,0.0,1999,97.5,1.2,0.0,1999,06,037,800101,0.0,0.0,0.0,0.4,1949,89.5,204,2.81,3.4,20.0,1.1,2.5,6.5,40.3,3502,2750,2.5,26.0,2.5,3.5,92.0,5647,809,6,low,8096231,0.1433
4,"Census Tract 5300.04, Los Angeles County, California",3703,1160,839,15.4,27.7,3.19,3.69,7.8,26,7.6,28.3,12.3,8.2,90.8,0.2,65.7,62.5,1.3,8.2,41.0,17.8,13.7,4.3,9.0,1.4,3.8,11.8,16.9,3.4,74569,30.7,2.3,9.6,4.8,34679,45500,36326,63.7,63.7,9.2,8.8,0.0,0.0,1308,88.7,0.0,10.9,1308,06,037,530004,24.8,0.0,2.5,3.6,1160,54.9,523,3.44,6.3,15.7,0.0,1.4,0.0,38.8,2312,1400,9.9,18.6,0.0,2.5,63.6,3703,129,1,low,1299059,0.0348
5,"Census Tract 5303.01, Los Angeles County, California",2105,635,446,18.3,29.8,3.31,4.08,4.6,43,26.1,6.7,16.1,2.7,97.7,0.0,59.7,90.3,0.2,6.3,12.9,14.4,10.6,1.4,12.1,0.0,4.1,14.0,6.1,0.0,58363,24.4,4.1,15.3,0.0,28514,36815,27813,43.4,43.4,15.1,15.5,37.1,16.7,646,98.3,0.0,0.0,646,06,037,530301,0.0,0.0,4.6,0.6,635,30.6,441,3.69,3.5,14.8,0.0,0.0,0.0,16.0,2234,1134,9.1,14.3,0.0,0.0,46.7,2105,58,1,low,584252,0.0276
6,"Census Tract 5309.01, Los Angeles County, California",3519,911,792,27.0,13.1,3.86,3.96,7.6,6,0.0,0.0,15.0,4.5,96.9,0.7,57.3,88.8,0.8,10.7,13.6,26.4,11.1,1.8,11.9,0.0,4.2,7.7,10.3,3.0,75656,27.1,5.9,8.7,1.3,25792,35069,23098,37.8,37.8,15.7,14.9,0.0,41.0,962,94.7,3.3,4.6,962,06,037,530901,0.0,0.4,1.9,5.3,911,31.7,622,4.12,1.1,29.1,0.0,0.0,1.4,17.0,1848,1123,6.0,13.5,0.0,0.0,27.8,3519,44,12,low,444140,0.0125
7,"Census Tract 5320.01, Los Angeles County, California",2822,1033,639,14.6,38.1,2.73,3.59,4.7,76,0.0,14.8,16.7,4.0,90.4,0.4,59.8,73.7,0.9,3.2,10.2,19.1,18.9,3.4,11.5,0.0,7.4,23.0,9.3,0.0,42077,30.3,7.7,16.0,0.0,23935,33620,30938,31.3,31.3,14.5,23.8,56.8,50.9,1106,93.4,0.0,2.1,1106,06,037,532001,20.6,0.0,7.1,4.0,1033,27.9,745,2.7,2.9,19.9,2.4,0.0,0.0,6.3,1448,926,8.3,20.7,0.0,0.0,68.7,2822,135,1,low,1353392,0.0478
8,"Census Tract 5334.03, Los Angeles County, California",2939,740,584,16.5,21.1,3.8,4.31,5.0,69,13.8,2.8,13.2,1.5,95.1,0.4,53.0,89.9,0.4,7.9,16.4,19.6,7.2,6.0,2.8,0.0,2.2,13.8,13.9,0.0,59871,31.6,3.5,13.1,0.0,27500,35302,27727,31.9,31.9,19.3,21.6,48.6,55.4,750,98.7,0.0,0.0,750,06,037,533403,13.2,0.0,4.7,2.8,740,34.9,482,4.68,0.7,36.8,0.0,3.9,0.0,34.1,1918,986,6.7,16.8,0.0,0.0,65.8,2939,47,1,low,473271,0.016
9,"Census Tract 5408, Los Angeles County, California",5313,1481,1197,34.8,19.2,3.59,4.05,3.3,0,0.0,0.0,15.5,6.1,92.9,0.0,74.4,47.5,0.0,5.4,21.9,18.4,13.1,3.0,12.9,0.0,2.4,5.4,13.2,1.8,72266,29.8,5.3,9.3,2.2,25839,34781,30917,54.0,54.0,10.1,7.1,9.6,20.4,1536,96.4,0.0,0.0,1536,06,037,540800,11.0,0.6,0.0,1.8,1481,66.9,490,4.02,1.1,29.4,0.0,0.6,3.6,3.5,1834,1144,4.1,11.6,0.0,0.0,24.8,5313,198,1,low,1980043,0.0373
