,NAME,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0046PE-%Owner Occup HU,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,crime,%DP03_0092E-Median Earning Workers,%DP03_0093E-Median Earnings Male FT Workers,%DP03_0094E-Median Earnings Female FT Workers,%DP04_0101E-Med Onwer Monthly Mortgage,%DP04_0134E-Median Gross Rent,%DP05_0070PE-%H&L race,%DP04_0045PE-%Occup HU,%DP02_0015E-Avg HH Size,%DP02_0016E-Avg Fam Size,Countyfp,Tractce,Statefp
3235,"Census Tract 5435.02, Los Angeles County, California",11.2,28.4,8.6,49.0,0.0,25.0,8.5,9.4,96.5,0.5,51.7,70.5,2.9,7.1,34.9,16.7,11.8,1.2,11.4,0.0,4.0,13.7,15.7,9.4,28.6,5.8,5.7,7.4,49.7,49.7,11.8,14.8,25.7,50.9,91.1,0.0,0.0,2.0,0.0,3.7,4.9,55.9,2.87,4.7,24.3,0.0,1.3,4.1,31.7,7.4,21.4,0.2,0.5,35.8,low,97.77562018886023,95.53723787157726,78.62059410883309,89.41029925051872,88.16179540813341,105.62141925236826,100.0,106.40113114389193,102.08979694791273,037,543502,06
3236,"Census Tract 5501, Los Angeles County, California",12.6,15.9,4.9,46.0,2.0,3.3,10.1,7.3,97.5,0.2,64.1,74.0,0.8,4.6,28.7,20.0,12.4,5.8,4.2,0.0,3.8,5.4,17.0,5.6,23.8,2.7,5.5,4.2,73.6,73.6,3.0,7.5,5.4,6.3,96.5,3.7,0.0,3.5,0.0,0.4,2.1,81.8,3.89,0.5,29.5,0.0,0.0,0.0,9.4,6.6,14.9,0.0,0.9,49.0,low,85.17566913359474,76.63736535414684,72.72763498711407,74.11490375292024,81.58547241240116,177.6512162425118,100.0,132.58185110989692,119.10476310589817,037,550100,06
3237,"Census Tract 6031.02, Los Angeles County, California",11.1,37.9,6.6,54.0,0.0,22.2,9.1,9.3,94.6,0.0,59.7,62.9,0.8,6.2,33.7,11.5,10.6,4.2,21.4,0.0,6.3,10.6,13.8,2.7,39.3,4.2,9.2,4.3,54.2,54.2,6.4,15.6,0.0,26.5,91.9,0.0,6.0,14.2,1.2,2.1,6.1,33.6,3.07,2.7,40.6,0.0,0.0,3.8,37.1,5.4,22.5,0.0,1.8,30.7,low,97.3497822708427,84.56047982841875,78.71049758980374,90.4945298174371,82.17148139221888,89.33891293905108,100.0,93.64642141686389,100.13725984781605,037,603102,06
3238,"Census Tract 8001.01, Los Angeles County, California",9.4,19.5,3.9,72.0,0.0,0.0,2.5,6.9,89.1,0.5,75.8,22.5,8.3,6.2,67.2,6.7,7.0,14.5,26.2,0.0,0.9,3.7,8.9,31.6,35.7,0.9,1.5,35.6,81.6,81.6,4.3,1.1,0.0,0.0,97.5,1.2,0.0,0.0,0.0,0.0,0.4,89.5,2.81,3.4,20.0,1.1,2.5,6.5,40.3,2.5,26.0,2.5,3.5,92.0,low,169.86351128515673,185.17258248828853,168.1858667463074,135.60626590529085,179.05829938874956,134.82010725997367,100.0,97.33857423258253,89.53777273300543,037,800101,06
3239,"Census Tract 5300.04, Los Angeles County, California",15.4,27.7,7.8,26.0,7.6,28.3,12.3,8.2,90.8,0.2,65.7,62.5,1.3,8.2,41.0,17.8,13.7,4.3,9.0,1.4,3.8,11.8,16.9,3.4,30.7,2.3,9.6,4.8,63.7,63.7,9.2,8.8,0.0,0.0,88.7,0.0,10.9,24.8,0.0,2.5,3.6,54.9,3.44,6.3,15.7,0.0,1.4,0.0,38.8,9.9,18.6,0.0,2.5,63.6,low,93.46603265145498,82.70284665734604,77.757948803329,89.52646681125998,91.15695241609068,88.4078018742133,100.0,107.07243165584079,102.92659856223989,037,530004,06
3240,"Census Tract 5303.01, Los Angeles County, California",18.3,29.8,4.6,43.0,26.1,6.7,16.1,2.7,97.7,0.0,59.7,90.3,0.2,6.3,12.9,14.4,10.6,1.4,12.1,0.0,4.1,14.0,6.1,0.0,24.4,4.1,15.3,0.0,43.4,43.4,15.1,15.5,37.1,16.7,98.3,0.0,0.0,0.0,0.0,4.6,0.6,30.6,3.69,3.5,14.8,0.0,0.0,0.0,16.0,9.1,14.3,0.0,0.0,46.7,low,76.85026831868241,66.9165999931911,59.53536943420662,86.50611023198736,73.83713145703345,50.25612285855225,100.0,111.10023472753386,113.8050195484929,037,530301,06
3241,"Census Tract 5309.01, Los Angeles County, California",27.0,13.1,7.6,6.0,0.0,0.0,15.0,4.5,96.9,0.7,57.3,88.8,0.8,10.7,13.6,26.4,11.1,1.8,11.9,0.0,4.2,7.7,10.3,3.0,27.1,5.9,8.7,1.3,37.8,37.8,15.7,14.9,0.0,41.0,94.7,3.3,4.6,0.0,0.4,1.9,5.3,31.7,4.12,1.1,29.1,0.0,0.0,1.4,17.0,6.0,13.5,0.0,0.0,27.8,low,69.51399735131713,63.742991855526775,49.44263341571583,71.55921741661265,73.12089825947845,84.014867619594,100.0,129.56099880612712,110.45781309118428,037,530901,06
3242,"Census Tract 5320.01, Los Angeles County, California",14.6,38.1,4.7,76.0,0.0,14.8,16.7,4.0,90.4,0.4,59.8,73.7,0.9,3.2,10.2,19.1,18.9,3.4,11.5,0.0,7.4,23.0,9.3,0.0,30.3,7.7,16.0,0.0,31.3,31.3,14.5,23.8,56.8,50.9,93.4,0.0,2.1,20.6,0.0,7.1,4.0,27.9,2.7,2.9,19.9,2.4,0.0,0.0,6.3,8.3,20.7,0.0,0.0,68.7,low,64.509054226263,61.10922427736206,66.22461653023709,56.07020931777874,60.29381281235712,67.37424166595461,100.0,91.63251988101734,100.13725984781605,037,532001,06
3243,"Census Tract 5334.03, Los Angeles County, California",16.5,21.1,5.0,69.0,13.8,2.8,13.2,1.5,95.1,0.4,53.0,89.9,0.4,7.9,16.4,19.6,7.2,6.0,2.8,0.0,2.2,13.8,13.9,0.0,31.6,3.5,13.1,0.0,31.9,31.9,19.3,21.6,48.6,55.4,98.7,0.0,0.0,13.2,0.0,4.7,2.8,34.9,4.68,0.7,36.8,0.0,3.9,0.0,34.1,6.7,16.8,0.0,0.0,65.8,low,74.11735914862055,64.16650313621165,59.351281354123856,74.26979383390858,64.20053934447529,70.16757486046797,100.0,127.54709727028055,120.22049859166772,037,533403,06
3244,"Census Tract 5408, Los Angeles County, California",34.8,19.2,3.3,0.0,0.0,0.0,15.5,6.1,92.9,0.0,74.4,47.5,0.0,5.4,21.9,18.4,13.1,3.0,12.9,0.0,2.4,5.4,13.2,1.8,29.8,5.3,9.3,2.2,54.0,54.0,10.1,7.1,9.6,20.4,96.4,0.0,0.0,11.0,0.6,0.0,1.8,66.9,4.02,1.1,29.4,0.0,0.6,3.6,3.5,4.1,11.6,0.0,0.0,24.8,low,69.64067065604387,63.2195101008605,66.17966478975177,71.01710213315346,74.48825254571982,126.84597660213213,100.0,120.49844189481769,112.96821793416574,037,540800,06
