,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,crime,Popo_Density_Per_Hector
0,"Census Tract 156, San Francisco County, California",3432.00,1450.00,715.00,9.50,50.70,2.36,2.89,18.10,0.00,0.00,0.00,3.70,1.80,80.10,2.50,67.20,42.90,12.80,1.80,62.80,10.80,5.70,11.90,25.40,0.00,3.70,9.40,11.70,20.10,179775.00,25.70,0.00,0.60,22.50,67768.00,108295.00,70644.00,81.30,81.30,1.30,8.00,0.00,100.00,1570.00,92.40,0.00,0.00,1570.00,06,075,015600,16.80,0.00,12.40,5.00,1450.00,27.00,1058.00,2.49,4.30,15.50,0.00,0.00,0.00,21.40,3895.00,1798.00,5.70,22.30,0.00,5.10,63.20,3432.00,29,4091,low,0.01
1,"Census Tract 102, San Francisco County, California",4299.00,2541.00,813.00,2.80,68.00,1.69,2.38,14.70,0.00,-666666666.00,-666666666.00,1.50,2.40,80.70,3.00,76.50,8.80,10.30,0.70,71.10,5.50,10.90,17.10,36.30,0.00,2.30,3.00,4.70,29.90,202319.00,24.70,1.10,1.10,39.00,93125.00,126733.00,84512.00,87.20,87.20,3.50,3.70,0.00,0.00,3015.00,84.30,0.00,0.80,3015.00,06,075,010200,35.90,0.00,13.10,10.80,2541.00,35.80,1632.00,1.71,5.50,28.00,1.40,0.00,0.00,38.30,4001.00,2449.00,2.00,27.10,1.10,2.00,83.70,4299.00,51,15427,high,0.01
2,"Census Tract 108, San Francisco County, California",4860.00,2466.00,910.00,1.40,63.10,1.97,2.79,15.70,0.00,0.00,12.20,3.10,4.20,85.50,2.30,66.00,40.40,10.80,4.50,57.80,10.30,8.40,10.70,31.20,0.70,4.00,5.20,10.90,19.50,159806.00,29.00,0.50,4.70,27.80,76771.00,101324.00,100667.00,73.50,73.50,1.90,10.70,0.00,100.00,2754.00,89.50,0.00,0.80,2754.00,06,075,010800,12.80,0.00,10.60,12.60,2466.00,24.90,1852.00,2.05,9.60,16.00,0.00,0.00,0.00,31.40,3847.00,1779.00,4.80,25.60,0.00,1.80,54.90,4860.00,22,3953,low,0.0
3,"Census Tract 331, San Francisco County, California",3861.00,1416.00,993.00,9.80,29.90,2.71,3.03,10.50,0.00,0.00,0.00,0.50,11.60,92.00,0.60,55.10,47.90,12.10,5.20,62.80,10.20,6.70,9.20,23.90,0.00,2.80,3.70,8.70,25.60,146850.00,40.20,0.50,1.10,26.50,55139.00,95250.00,81339.00,85.70,85.70,0.80,3.40,9.10,0.00,1571.00,90.10,0.00,0.00,1571.00,06,075,033100,0.00,0.00,2.70,0.40,1416.00,83.10,239.00,2.69,3.00,25.70,0.00,0.00,0.00,25.80,4001.00,3313.00,4.10,29.90,1.00,4.90,47.10,3861.00,89,4085,low,0.02
4,"Census Tract 402, San Francisco County, California",5541.00,2319.00,1111.00,4.50,52.10,2.38,3.16,14.40,0.00,0.00,0.00,6.60,4.70,92.70,0.90,65.20,34.80,10.80,3.90,63.20,12.50,10.90,10.70,22.50,0.00,3.60,6.00,12.60,27.10,188381.00,23.20,0.90,1.70,46.30,66489.00,101944.00,76406.00,83.20,83.20,1.30,0.00,0.00,0.00,2587.00,89.60,5.00,0.00,2587.00,06,075,040200,1.40,0.00,5.30,5.90,2319.00,41.80,1349.00,2.45,5.00,14.30,0.00,0.00,0.00,26.40,4001.00,1891.00,5.50,22.80,0.40,2.90,65.30,5541.00,53,6655,low,0.01
5,"Census Tract 428, San Francisco County, California",2490.00,923.00,703.00,9.20,23.80,2.70,3.13,2.70,0.00,0.00,0.00,0.30,2.90,92.80,1.40,80.30,23.30,9.60,4.70,75.30,4.90,5.30,20.70,21.90,0.60,2.80,3.00,10.00,43.80,283920.00,33.90,1.70,0.00,53.60,85966.00,197083.00,95179.00,89.50,89.50,2.50,1.80,0.00,0.00,1025.00,90.00,4.90,0.00,1025.00,06,075,042800,0.00,0.00,1.80,1.20,923.00,76.30,219.00,2.80,3.30,30.20,0.90,0.00,0.00,8.00,4001.00,2152.00,6.50,23.00,0.00,4.70,80.70,2490.00,55,1698,low,0.02
6,"Census Tract 234, San Francisco County, California",3663.00,968.00,752.00,28.20,22.30,3.78,3.99,12.30,38.00,0.00,25.40,12.50,5.00,96.60,0.50,57.10,62.00,0.80,7.10,23.60,35.10,10.70,2.40,12.10,0.00,6.30,11.60,9.90,10.80,81940.00,28.80,5.40,15.50,7.20,31165.00,41422.00,35521.00,48.40,48.40,10.80,24.10,0.00,44.20,1049.00,92.30,0.00,0.00,1049.00,06,075,023400,10.40,3.40,0.50,1.70,968.00,51.40,470.00,4.12,1.90,43.80,0.00,0.00,0.00,73.10,2616.00,668.00,5.70,15.00,5.10,0.00,14.90,3663.00,85,16162,high,0.02
7,"Census Tract 165, San Francisco County, California",5487.00,2252.00,838.00,3.60,62.80,2.25,2.68,27.70,0.00,-666666666.00,-666666666.00,2.60,3.50,78.60,0.00,79.80,19.80,10.60,5.10,63.70,13.00,12.20,8.40,25.20,0.60,1.60,3.90,7.50,34.10,181305.00,17.90,4.20,5.00,49.90,79692.00,100714.00,88302.00,77.90,77.90,4.90,0.00,0.00,0.00,2487.00,90.60,0.00,0.00,2487.00,06,075,016500,10.50,0.00,6.50,11.80,2252.00,27.60,1631.00,2.46,8.10,22.60,0.00,0.00,0.00,26.60,4001.00,1865.00,4.50,14.90,0.70,3.40,76.90,5487.00,37,10692,low,0.01
8,"Census Tract 307, San Francisco County, California",7022.00,2684.00,2110.00,9.60,21.40,2.62,2.89,5.00,0.00,0.00,0.00,3.30,3.50,87.70,1.20,76.00,29.70,8.10,2.60,67.60,13.00,3.90,9.20,23.50,0.00,1.00,3.00,9.00,39.90,194879.00,34.20,0.90,0.50,47.20,79063.00,133583.00,93393.00,83.80,83.80,1.50,0.00,0.00,0.00,2828.00,94.90,0.00,0.00,2828.00,06,075,030700,0.00,0.00,0.00,0.50,2684.00,81.20,504.00,2.55,2.60,21.80,0.00,0.00,0.60,25.90,3909.00,3219.00,7.30,27.20,0.70,5.10,66.40,7022.00,143,4305,low,0.02
9,"Census Tract 351, San Francisco County, California",9053.00,2855.00,2040.00,16.60,28.50,3.17,3.49,12.30,0.00,0.00,16.20,2.50,3.70,91.00,2.20,55.30,52.40,10.80,3.60,56.60,18.80,6.60,4.90,19.40,0.70,4.90,3.60,9.80,21.60,146990.00,28.60,1.60,3.30,22.20,55881.00,73068.00,72153.00,75.10,75.10,3.70,4.20,0.00,0.00,2959.00,96.50,0.00,0.00,2959.00,06,075,035100,0.50,0.00,2.90,2.80,2855.00,56.00,1257.00,3.44,0.90,19.10,0.00,0.00,0.80,50.50,3222.00,1985.00,5.90,16.30,2.20,6.30,45.90,9053.00,92,4848,low,0.01
