,NAME,DP05_0001E-T Popo,DP02_0001E-T HHs,DP02_0002E-T Fam HHs,DP02_0008PE-%F-led HHs No H,DP02_0010PE-% Non-Fam HHs,DP02_0015E-Avg HH Size,DP02_0016E-Avg Fam Size,DP02_0022PE-%Non Rel in Hs,DP02_0038E-per1000-F-U-RecentPreg,DP02_0046PE-%GPwParent&Gc1-2yrs,DP02_0048PE--%GPwParent&Gc>5yrs,DP02_0060PE-%NoSchDiploma,DP02_0063PE-%AssDeg,DP02_0079PE-% SameHouse_1YrAgo,DP02_0085PE-%LivAbroad1YrAgo,DP02_0088PE-%BornUS,DP02_0112PE-HomeLangNotEng,DP02_0134PE-%IrishAnc,DP03_0009PE-%Unemploy,"DP03_0027PE-%WorkingMgt,Bus,Sc,Arts",DP03_0028PE%WorkingService,DP03_0037PE-Retail,DP03_0040PE-%Fin&Ins,"DP03_0041PE-%ProfSc,Mgt,Admin",DP03_0050PE-%UnpaidFamilyWk,DP03_0052PE-Inc<10k,DP03_0054PE-Inc15-24k,DP03_0058PE-Inc75-99k,DP03_0061PE-Inc200k>,DP03_0065E-HH-MeanEarnings,DP03_0066PE-%HHsWithSocSec,DP03_0072PE-%HH Inc with Cash public Ass,DP03_0074PE-%HH Inc with Food Stamps SNAP,DP03_0085PE-%Families Inc>200k,DP03_0092E-Median Earning Workers,DP03_0093E-Median Earnings Male FT Workers,DP03_0094E-Median Earnings Female FT Workers,DP03_0097PE-%PHI-Priv,DP03_0098PE-%PHI-Pub,DP03_0099PE-No PHI,DP03_0119PE-% Fam <Pov,DP03_0121PE-%Fam with child U18&U5 <pov,DP03_0126PE-%F-Led Families with u18 <pov,DP04_0001E-T H U,DP04_0002PE-%Occ H U,DP04_0004E-%Ow Vac Rate,DP04_0005E-%Rn Vac Rate,DP04_0006E-T HU,State,County,Tract,DP04_0013PE-%20+HU,DP04_0017PE-%Built2014+,DP04_0029PE-%2rooms_only_HU,DP04_0039PE-Zero bedrooms,DP04_0045PE-%Occup HU,DP04_0046PE-%Owner Occup HU,DP04_0048E-Owner Ave Household size,DP04_0049E-Renter Ave Household size,DP04_0051PE-%moved since 2017+,DP04_0054PE-%moved 2000 to 2009,DP04_0082PE-%Value 50-99k,DP04_0083PE-%Value 100-149k,DP04_0084PE-%Value 150-199k,DP04_0087PE-%Value 500k-1m,DP04_0101E-Med Onwer Monthly Mortgage,DP04_0134E-Median Gross Rent,DP05_0005PE-%under 5 yrs,DP05_0023PE-%62 yrs+,DP05_0058PE-% w & B or AM,DP05_0061PE-%White & Asian,DP05_0064PE-%White with others,DP05_0070PE-%H&L race,AreaLand,crimeStats,crime,ALAND,Popo_Density_Per_Hector
0,"Census Tract 156, San Francisco County, California",3432,1450,715,9.5,50.7,2.36,2.89,18.1,0,0.0,0.0,3.7,1.8,80.1,2.5,67.2,42.9,12.8,1.8,62.8,10.8,5.7,11.9,25.4,0.0,3.7,9.4,11.7,20.1,179775,25.7,0.0,0.6,22.5,67768,108295,70644,81.3,81.3,1.3,8.0,0.0,100.0,1570,92.4,0.0,0.0,1570,06,075,015600,16.8,0.0,12.4,5.0,1450,27.0,1058,2.49,4.3,15.5,0.0,0.0,0.0,21.4,3895,1798,5.7,22.3,0.0,5.1,63.2,3432,29,4091,low,293930,0.0084
1,"Census Tract 102, San Francisco County, California",4299,2541,813,2.8,68.0,1.69,2.38,14.7,0,-666666666.0,-666666666.0,1.5,2.4,80.7,3.0,76.5,8.8,10.3,0.7,71.1,5.5,10.9,17.1,36.3,0.0,2.3,3.0,4.7,29.9,202319,24.7,1.1,1.1,39.0,93125,126733,84512,87.2,87.2,3.5,3.7,0.0,0.0,3015,84.3,0.0,0.8,3015,06,075,010200,35.9,0.0,13.1,10.8,2541,35.8,1632,1.71,5.5,28.0,1.4,0.0,0.0,38.3,4001,2449,2.0,27.1,1.1,2.0,83.7,4299,51,15427,high,515958,0.0119
2,"Census Tract 108, San Francisco County, California",4860,2466,910,1.4,63.1,1.97,2.79,15.7,0,0.0,12.2,3.1,4.2,85.5,2.3,66.0,40.4,10.8,4.5,57.8,10.3,8.4,10.7,31.2,0.7,4.0,5.2,10.9,19.5,159806,29.0,0.5,4.7,27.8,76771,101324,100667,73.5,73.5,1.9,10.7,0.0,100.0,2754,89.5,0.0,0.8,2754,06,075,010800,12.8,0.0,10.6,12.6,2466,24.9,1852,2.05,9.6,16.0,0.0,0.0,0.0,31.4,3847,1779,4.8,25.6,0.0,1.8,54.9,4860,22,3953,low,226078,0.0045
3,"Census Tract 331, San Francisco County, California",3861,1416,993,9.8,29.9,2.71,3.03,10.5,0,0.0,0.0,0.5,11.6,92.0,0.6,55.1,47.9,12.1,5.2,62.8,10.2,6.7,9.2,23.9,0.0,2.8,3.7,8.7,25.6,146850,40.2,0.5,1.1,26.5,55139,95250,81339,85.7,85.7,0.8,3.4,9.1,0.0,1571,90.1,0.0,0.0,1571,06,075,033100,0.0,0.0,2.7,0.4,1416,83.1,239,2.69,3.0,25.7,0.0,0.0,0.0,25.8,4001,3313,4.1,29.9,1.0,4.9,47.1,3861,89,4085,low,895560,0.0231
4,"Census Tract 402, San Francisco County, California",5541,2319,1111,4.5,52.1,2.38,3.16,14.4,0,0.0,0.0,6.6,4.7,92.7,0.9,65.2,34.8,10.8,3.9,63.2,12.5,10.9,10.7,22.5,0.0,3.6,6.0,12.6,27.1,188381,23.2,0.9,1.7,46.3,66489,101944,76406,83.2,83.2,1.3,0.0,0.0,0.0,2587,89.6,5.0,0.0,2587,06,075,040200,1.4,0.0,5.3,5.9,2319,41.8,1349,2.45,5.0,14.3,0.0,0.0,0.0,26.4,4001,1891,5.5,22.8,0.4,2.9,65.3,5541,53,6655,low,531470,0.0096
5,"Census Tract 428, San Francisco County, California",2490,923,703,9.2,23.8,2.7,3.13,2.7,0,0.0,0.0,0.3,2.9,92.8,1.4,80.3,23.3,9.6,4.7,75.3,4.9,5.3,20.7,21.9,0.6,2.8,3.0,10.0,43.8,283920,33.9,1.7,0.0,53.6,85966,197083,95179,89.5,89.5,2.5,1.8,0.0,0.0,1025,90.0,4.9,0.0,1025,06,075,042800,0.0,0.0,1.8,1.2,923,76.3,219,2.8,3.3,30.2,0.9,0.0,0.0,8.0,4001,2152,6.5,23.0,0.0,4.7,80.7,2490,55,1698,low,551507,0.0221
6,"Census Tract 234, San Francisco County, California",3663,968,752,28.2,22.3,3.78,3.99,12.3,38,0.0,25.4,12.5,5.0,96.6,0.5,57.1,62.0,0.8,7.1,23.6,35.1,10.7,2.4,12.1,0.0,6.3,11.6,9.9,10.8,81940,28.8,5.4,15.5,7.2,31165,41422,35521,48.4,48.4,10.8,24.1,0.0,44.2,1049,92.3,0.0,0.0,1049,06,075,023400,10.4,3.4,0.5,1.7,968,51.4,470,4.12,1.9,43.8,0.0,0.0,0.0,73.1,2616,668,5.7,15.0,5.1,0.0,14.9,3663,85,16162,high,854096,0.0232
7,"Census Tract 165, San Francisco County, California",5487,2252,838,3.6,62.8,2.25,2.68,27.7,0,-666666666.0,-666666666.0,2.6,3.5,78.6,0.0,79.8,19.8,10.6,5.1,63.7,13.0,12.2,8.4,25.2,0.6,1.6,3.9,7.5,34.1,181305,17.9,4.2,5.0,49.9,79692,100714,88302,77.9,77.9,4.9,0.0,0.0,0.0,2487,90.6,0.0,0.0,2487,06,075,016500,10.5,0.0,6.5,11.8,2252,27.6,1631,2.46,8.1,22.6,0.0,0.0,0.0,26.6,4001,1865,4.5,14.9,0.7,3.4,76.9,5487,37,10692,low,370453,0.0067
8,"Census Tract 307, San Francisco County, California",7022,2684,2110,9.6,21.4,2.62,2.89,5.0,0,0.0,0.0,3.3,3.5,87.7,1.2,76.0,29.7,8.1,2.6,67.6,13.0,3.9,9.2,23.5,0.0,1.0,3.0,9.0,39.9,194879,34.2,0.9,0.5,47.2,79063,133583,93393,83.8,83.8,1.5,0.0,0.0,0.0,2828,94.9,0.0,0.0,2828,06,075,030700,0.0,0.0,0.0,0.5,2684,81.2,504,2.55,2.6,21.8,0.0,0.0,0.6,25.9,3909,3219,7.3,27.2,0.7,5.1,66.4,7022,143,4305,low,1431899,0.0204
9,"Census Tract 351, San Francisco County, California",9053,2855,2040,16.6,28.5,3.17,3.49,12.3,0,0.0,16.2,2.5,3.7,91.0,2.2,55.3,52.4,10.8,3.6,56.6,18.8,6.6,4.9,19.4,0.7,4.9,3.6,9.8,21.6,146990,28.6,1.6,3.3,22.2,55881,73068,72153,75.1,75.1,3.7,4.2,0.0,0.0,2959,96.5,0.0,0.0,2959,06,075,035100,0.5,0.0,2.9,2.8,2855,56.0,1257,3.44,0.9,19.1,0.0,0.0,0.8,50.5,3222,1985,5.9,16.3,2.2,6.3,45.9,9053,92,4848,low,925693,0.0102
