,State,County,Tract,DP05_0001E-T Popo,DP02_0002E-T Fam HHs,crimeStats
0,36,5,42902,4205,967,517
1,36,5,33000,5885,1433,1671
2,36,5,35800,8054,1885,945
3,36,5,37100,4322,888,1305
4,36,5,38500,4757,1028,1960
5,36,5,42100,5763,1283,2320
6,36,5,45101,1544,364,569
7,36,5,11800,5400,1002,496
8,36,5,20400,3091,688,292
9,36,5,24800,3053,714,130
10,36,5,40800,4595,1098,3055
11,36,5,48400,4126,856,1927
12,36,5,24700,2037,461,302
13,36,5,26602,5207,1325,553
14,36,5,36400,2688,609,1004
15,36,5,44902,1876,437,259
16,36,5,22300,5078,1293,3671
17,36,5,25400,2097,492,211
18,36,5,29600,1592,384,4292
19,36,5,37600,2319,511,340
20,36,5,2701,2868,658,3342
21,36,5,6500,5312,1097,8863
22,36,5,15700,4427,918,1618
23,36,5,6700,7256,1524,7827
24,36,5,40702,6891,1561,1839
25,36,5,38000,5378,1102,4503
26,36,5,2500,5887,1298,4335
27,36,5,6100,3697,825,407
28,36,5,22701,5194,1072,723
29,36,5,7900,7054,1611,6962
30,36,5,16700,3625,701,1392
31,36,5,22401,2637,548,1650
32,36,5,2800,5269,1431,606
33,36,5,15800,1082,246,95
34,36,5,21800,7017,1802,840
35,36,5,33800,4176,1054,1088
36,36,5,36502,2328,515,646
37,36,5,7200,5891,1208,312
38,36,5,12101,2906,656,1092
39,36,5,12102,1509,413,1490
40,36,5,12300,4095,901,2082
41,36,5,13300,5995,1483,3228
42,36,5,14300,1399,209,411
43,36,5,14400,5513,1304,1767
44,36,5,21301,1361,366,549
45,36,5,14500,8004,1569,3006
46,36,5,16600,2364,605,11930
47,36,5,19400,2334,543,502
48,36,5,22901,5866,1386,1704
49,36,5,13200,7191,1755,591
50,36,5,20100,4254,922,1972
51,36,5,8900,3200,701,6836
52,36,5,9800,4824,1198,342
53,36,5,12500,4195,1113,1228
54,36,5,14900,4769,993,2820
55,36,5,19700,7165,1540,3706
56,36,5,22000,2243,408,881
57,36,5,22702,1617,407,1160
58,36,5,23100,1602,311,1339
59,36,5,23501,3182,734,1697
60,36,5,1600,5917,1524,590
61,36,5,2400,172,43,231
62,36,5,3100,1703,413,1008
63,36,5,3800,1434,325,151
64,36,5,4100,5517,1268,8471
65,36,5,11900,5557,1174,6384
66,36,5,11502,4437,896,4516
67,36,5,14100,5865,1262,4670
68,36,5,15100,5029,1240,3802
69,36,5,15300,4885,1028,2581
70,36,5,15500,2884,704,1994
71,36,5,23600,1904,377,571
72,36,5,24300,5630,1335,1648
73,36,5,4400,4607,1136,2355
74,36,5,4800,4680,1070,2349
75,36,5,5902,2532,607,123
76,36,5,8300,6519,1392,3039
77,36,5,8400,2780,619,21
78,36,5,16900,1513,265,657
79,36,5,17300,5689,1285,3382
80,36,5,24600,2082,524,86
81,36,5,25000,2582,686,192
82,36,5,25200,2711,598,83
83,36,5,25700,1969,462,936
84,36,5,27700,4883,1149,1569
85,36,5,28500,3527,818,871
86,36,5,28600,1116,256,130
87,36,5,19900,8462,1945,2444
88,36,5,28900,4773,1035,687
89,36,5,31200,1598,417,156
90,36,5,18900,8259,1883,2352
91,36,5,20200,2252,502,1110
92,36,5,20601,2336,447,345
93,36,5,21100,5138,1299,1461
94,36,5,21200,4960,1442,220
95,36,5,21601,4356,999,679
96,36,5,25600,1688,388,471
97,36,5,22703,1736,415,415
98,36,5,23702,1143,243,1668
99,36,5,24000,4234,996,729
100,36,5,26300,6015,1387,5972
101,36,5,26500,7615,1547,7143
102,36,5,28100,4236,934,124
103,36,5,28300,2618,686,1423
104,36,5,31400,2209,472,56
105,36,5,32800,3982,1024,928
106,36,5,37400,3838,790,2064
107,36,5,38200,2943,659,343
108,36,5,38600,8737,2127,1639
109,36,5,400,5634,1419,293
110,36,5,200,4542,958,379
111,36,5,3500,3900,920,3042
112,36,5,4001,1485,355,499
113,36,5,4300,6088,1307,6125
114,36,5,5200,2091,474,1542
115,36,5,39000,2766,552,1485
116,36,5,39300,8721,2117,1460
117,36,5,40302,4300,977,815
118,36,5,40400,3370,818,1728
119,36,5,40701,3259,803,1001
120,36,5,41500,6058,1426,357
121,36,5,43600,2042,538,172
122,36,5,38900,5453,997,3543
123,36,5,44800,1917,432,51
124,36,5,51600,4036,970,1881
125,36,5,39200,1655,334,2215
126,36,5,39100,7438,1702,2342
127,36,5,39400,5308,1213,2690
128,36,5,39800,3587,816,244
129,36,5,41400,5163,1190,3861
130,36,5,41800,3957,890,1563
131,36,5,42200,3292,781,557
132,36,5,43000,3551,774,249
133,36,5,43100,10627,2601,2607
134,36,5,44901,1631,366,14
135,36,5,46201,28272,6960,2983
136,36,5,46202,9915,2131,2550
137,36,5,22500,8271,1578,3611
138,36,5,22800,6096,1622,419
139,36,5,23200,2711,676,878
140,36,5,4600,1817,395,5941
141,36,5,6000,1451,307,564
142,36,5,7000,4584,929,1053
143,36,5,7300,4314,931,5594
144,36,5,7400,3314,693,433
145,36,5,7500,6112,1499,2708
146,36,5,7700,2022,460,1583
147,36,5,9200,6091,1426,597
148,36,5,12701,1832,463,1452
149,36,5,13500,3541,960,2585
150,36,5,13800,2597,687,247
151,36,5,16100,4361,1089,3680
152,36,5,19500,7418,1557,3774
153,36,5,22902,3578,780,1542
154,36,5,23302,3627,784,1085
155,36,5,24400,2277,571,206
156,36,5,26900,3364,894,1383
157,36,5,27300,7895,2028,838
158,36,5,29500,4649,1070,308
159,36,5,29700,3727,886,77
160,36,5,31000,4776,1002,162
161,36,5,31600,1910,484,44
162,36,5,31800,1987,481,59
163,36,5,32300,4400,1113,90
164,36,5,32400,3696,788,1036
165,36,5,33400,72,19,3134
166,36,5,36300,7735,1890,2492
167,36,5,37900,5268,1112,1343
168,36,5,36902,2156,526,947
169,36,5,37300,5908,1346,2044
170,36,5,37800,3033,733,1495
171,36,5,38700,3622,777,2200
172,36,5,39600,4741,947,1023
173,36,5,40100,4610,1110,6745
174,36,5,40600,3845,854,1426
175,36,5,42300,4500,960,815
176,36,5,42500,6264,1538,8054
177,36,5,42901,4046,891,304
178,36,5,44200,3760,815,1202
179,36,5,50400,222,54,4076
180,36,5,45102,1765,365,151
181,36,5,34500,3357,835,198
182,36,5,35600,2143,553,948
183,36,5,35900,1975,541,1209
184,36,5,36800,1988,428,1112
185,36,5,6400,3612,910,513
186,36,5,7800,7025,1502,519
187,36,5,8500,5972,1237,2544
188,36,5,13100,5076,1125,3583
189,36,5,16400,993,225,108
190,36,5,18400,4018,1030,1271
191,36,5,19300,5942,1365,2296
192,36,5,21302,6040,1161,1032
193,36,5,21602,5635,1222,1223
194,36,5,21900,1045,250,2710
195,36,5,37200,2279,508,611
196,36,5,39902,5346,1291,2172
197,36,5,42600,6477,1452,1193
198,36,5,45800,5605,1368,4538
199,36,5,46000,3190,655,813
200,36,5,23900,7684,1824,5782
201,36,5,24100,6635,1480,3399
202,36,5,26601,3352,818,245
203,36,5,28400,598,13,2739
204,36,5,28700,3000,767,3057
205,36,5,28800,3288,862,494
206,36,5,35100,3766,609,365
207,36,5,36700,2440,447,608
208,36,5,39901,5615,1246,6281
209,36,5,38100,6909,1631,5784
210,36,5,38800,2780,632,184
211,36,5,39700,3881,263,2397
212,36,5,40900,3164,761,1662
213,36,5,42000,3799,724,2377
214,36,5,42400,2562,594,4464
215,36,5,43500,361,86,5572
216,36,5,42800,2114,569,156
217,36,5,41100,3766,827,567
218,36,5,41300,8261,1962,759
219,36,5,41900,6822,1481,1398
220,36,5,23301,3804,915,1309
221,36,5,23502,4180,908,1735
222,36,5,33500,2011,337,246
223,36,5,33700,2381,600,129
224,36,5,34800,6318,1622,1517
225,36,5,36000,3149,711,131
226,36,5,37504,3409,717,2317
227,36,5,38301,4882,1017,1234
228,36,5,38302,6127,1330,1741
229,36,5,39500,4228,908,2182
230,36,5,40303,5102,1190,996
231,36,5,40304,3903,751,2685
232,36,5,40501,4435,989,1651
233,36,5,45600,3344,890,542
234,36,5,40502,7260,1734,2323
235,36,5,43400,3884,945,945
236,36,5,44400,4177,1003,417
237,36,5,30100,1392,248,20
238,36,5,27600,4,0,971
239,36,5,30200,9213,2157,285
240,36,5,34200,1982,413,652
241,36,5,37000,2528,612,105
242,36,5,2702,4702,1007,2532
243,36,5,3300,3534,752,2796
244,36,5,1900,2765,490,3284
245,36,5,4200,7207,1763,3258
246,36,5,5001,4979,1037,1045
247,36,5,5002,5519,1227,1930
248,36,5,5100,5588,1589,10353
249,36,5,5300,4483,1107,802
250,36,5,6300,4497,1118,9572
251,36,5,7600,5458,1106,727
252,36,5,9000,3620,956,2546
253,36,5,9300,6104,1150,14529
254,36,5,9600,2683,604,494
255,36,5,11700,1586,355,3984
256,36,5,14701,7120,1570,3173
257,36,5,14702,5348,1332,1602
258,36,5,15200,2586,671,416
259,36,5,15900,1971,485,3443
260,36,5,17902,3701,869,1258
261,36,5,17701,4812,1012,3237
262,36,5,17702,5786,1144,5788
263,36,5,17901,5006,1206,2150
264,36,5,18101,3107,773,1165
265,36,5,18102,5791,1186,1501
266,36,5,18301,4022,952,701
267,36,5,18302,3814,874,1360
268,36,5,18500,8625,1910,5020
269,36,5,20000,4548,1062,2318
270,36,5,20501,7041,1693,780
271,36,5,25100,6636,1435,3304
272,36,5,25500,6905,1612,1567
273,36,5,26400,5398,1356,1197
274,36,5,33600,6697,1731,3733
275,36,5,34300,1680,380,204
276,36,5,2000,9409,2170,3730
277,36,5,3700,269,61,505
278,36,5,6900,8090,1805,2786
279,36,5,16000,3870,1002,341
280,36,5,21501,4716,1047,1306
281,36,5,16200,1966,406,199
282,36,5,16500,965,248,3209
283,36,5,17500,7223,1695,2714
284,36,5,21502,6349,1462,1614
285,36,5,23000,2832,616,627
286,36,5,25300,6314,1472,3438
287,36,5,26100,1950,505,423
288,36,5,27900,7035,1520,952
289,36,5,30000,6003,1423,520
290,36,5,31900,636,0,24
291,36,5,34000,5464,1194,714
292,36,5,34400,2127,433,196
293,36,5,35000,2078,478,392
294,36,5,36100,5547,1394,2317
295,36,5,36501,3705,847,1444
296,36,5,2300,4600,1151,5395
297,36,5,3900,6742,1205,16129
298,36,5,5400,6003,1202,3532
299,36,5,6200,7184,1877,4301
300,36,5,6800,3294,690,3252
301,36,5,7100,2722,615,4462
302,36,5,8600,3982,896,1967
303,36,5,8700,6150,1417,6562
304,36,5,12901,4147,917,2826
305,36,5,13000,1498,383,88
306,36,5,36901,2289,529,777
307,36,5,5600,2384,525,768
308,36,5,20502,2163,504,353
309,36,5,20900,4499,1061,1545
310,36,5,21001,8825,2156,360
311,36,5,21002,7710,1975,356
312,36,5,21700,5147,1104,1885
313,36,5,22101,3896,1013,6024
314,36,5,22102,5528,1225,2246
315,36,5,22200,3242,748,1216
316,36,5,22403,3374,859,1740
317,36,5,22404,4209,1024,525
318,36,5,23703,5527,1235,5138
319,36,5,23704,3944,850,2359
320,36,5,23800,2288,547,616
321,36,5,24501,5009,1159,1553
322,36,5,24502,3752,807,1354
323,36,5,26701,4237,888,1504
324,36,5,26702,7221,1826,974
325,36,5,27401,4829,1287,232
326,36,5,27402,3450,987,264
327,36,5,29301,1842,463,67
328,36,5,29302,5767,1419,78
329,36,5,33201,5305,1144,327
330,36,5,30701,5617,1424,136
331,36,5,30900,3703,755,370
332,36,5,32600,3859,831,642
333,36,5,33202,4218,892,630
334,36,47,29500,4266,785,944
335,36,47,30700,5544,1310,6673
336,36,47,30900,2126,472,1500
337,36,47,31702,3589,663,2073
338,36,47,32700,2465,522,1539
339,36,47,33600,4479,1105,101
