,State,County,Tract,DP05_0001E-T Popo,DP02_0002E-T Fam HHs,crimeStats
0,36,5,42902,4205,967,901
1,36,5,33000,5885,1433,2490
2,36,5,35800,8054,1885,1667
3,36,5,37100,4322,888,2504
4,36,5,38500,4757,1028,3443
5,36,5,42100,5763,1283,3649
6,36,5,45101,1544,364,1036
7,36,5,11800,5400,1002,868
8,36,5,20400,3091,688,446
9,36,5,24800,3053,714,174
10,36,5,40800,4595,1098,4390
11,36,5,48400,4126,856,2932
12,36,5,24700,2037,461,474
13,36,5,26602,5207,1325,849
14,36,5,36400,2688,609,1877
15,36,5,44902,1876,437,520
16,36,5,22300,5078,1293,6650
17,36,5,25400,2097,492,297
18,36,5,29600,1592,384,9629
19,36,5,37600,2319,511,535
20,36,5,2701,2868,658,4787
21,36,5,6500,5312,1097,15212
22,36,5,15700,4427,918,2480
23,36,5,6700,7256,1524,12396
24,36,5,40702,6891,1561,3286
25,36,5,38000,5378,1102,6361
26,36,5,2500,5887,1298,6741
27,36,5,6100,3697,825,645
28,36,5,22701,5194,1072,1447
29,36,5,7900,7054,1611,9793
30,36,5,16700,3625,701,2741
31,36,5,22401,2637,548,2230
32,36,5,2800,5269,1431,871
33,36,5,15800,1082,246,318
34,36,5,21800,7017,1802,1548
35,36,5,33800,4176,1054,1557
36,36,5,36502,2328,515,1407
37,36,5,7200,5891,1208,640
38,36,5,12101,2906,656,1453
39,36,5,12102,1509,413,2099
40,36,5,12300,4095,901,3444
41,36,5,13300,5995,1483,4818
42,36,5,14300,1399,209,710
43,36,5,14400,5513,1304,2758
44,36,5,21301,1361,366,980
45,36,5,14500,8004,1569,4917
46,36,5,16600,2364,605,24407
47,36,5,19400,2334,543,799
48,36,5,22901,5866,1386,3437
49,36,5,13200,7191,1755,1006
50,36,5,20100,4254,922,3127
51,36,5,8900,3200,701,15814
52,36,5,9800,4824,1198,734
53,36,5,12500,4195,1113,1946
54,36,5,14900,4769,993,4286
55,36,5,19700,7165,1540,6811
56,36,5,22000,2243,408,1499
57,36,5,22702,1617,407,1699
58,36,5,23100,1602,311,2559
59,36,5,23501,3182,734,2943
60,36,5,1600,5917,1524,972
61,36,5,2400,172,43,315
62,36,5,3100,1703,413,1619
63,36,5,3800,1434,325,211
64,36,5,4100,5517,1268,13031
65,36,5,11900,5557,1174,11550
66,36,5,11502,4437,896,7376
67,36,5,14100,5865,1262,10747
68,36,5,15100,5029,1240,5965
69,36,5,15300,4885,1028,3781
70,36,5,15500,2884,704,3180
71,36,5,23600,1904,377,776
72,36,5,24300,5630,1335,2968
73,36,5,4400,4607,1136,3780
74,36,5,4800,4680,1070,3833
75,36,5,5902,2532,607,186
76,36,5,8300,6519,1392,5044
77,36,5,8400,2780,619,48
78,36,5,16900,1513,265,1082
79,36,5,17300,5689,1285,5100
80,36,5,24600,2082,524,117
81,36,5,25000,2582,686,243
82,36,5,25200,2711,598,119
83,36,5,25700,1969,462,1302
84,36,5,27700,4883,1149,2438
85,36,5,28500,3527,818,1197
86,36,5,28600,1116,256,184
87,36,5,19900,8462,1945,3661
88,36,5,28900,4773,1035,1106
89,36,5,31200,1598,417,211
90,36,5,18900,8259,1883,3643
91,36,5,20200,2252,502,1437
92,36,5,20601,2336,447,731
93,36,5,21100,5138,1299,2241
94,36,5,21200,4960,1442,275
95,36,5,21601,4356,999,1404
96,36,5,25600,1688,388,720
97,36,5,22703,1736,415,538
98,36,5,23702,1143,243,2846
99,36,5,24000,4234,996,1135
100,36,5,26300,6015,1387,9347
101,36,5,26500,7615,1547,11774
102,36,5,28100,4236,934,154
103,36,5,28300,2618,686,2060
104,36,5,31400,2209,472,84
105,36,5,32800,3982,1024,1419
106,36,5,37400,3838,790,3130
107,36,5,38200,2943,659,577
108,36,5,38600,8737,2127,2825
109,36,5,400,5634,1419,577
110,36,5,200,4542,958,537
111,36,5,3500,3900,920,4436
112,36,5,4001,1485,355,716
113,36,5,4300,6088,1307,11652
114,36,5,5200,2091,474,2445
115,36,5,39000,2766,552,2388
116,36,5,39300,8721,2117,2998
117,36,5,40302,4300,977,1376
118,36,5,40400,3370,818,2509
119,36,5,40701,3259,803,1744
120,36,5,41500,6058,1426,628
121,36,5,43600,2042,538,366
122,36,5,38900,5453,997,6602
123,36,5,44800,1917,432,84
124,36,5,51600,4036,970,2812
125,36,5,39200,1655,334,3560
126,36,5,39100,7438,1702,4000
127,36,5,39400,5308,1213,4319
128,36,5,39800,3587,816,445
129,36,5,41400,5163,1190,6638
130,36,5,41800,3957,890,2569
131,36,5,42200,3292,781,791
132,36,5,43000,3551,774,467
133,36,5,43100,10627,2601,4329
134,36,5,44901,1631,366,36
135,36,5,46201,28272,6960,4816
136,36,5,46202,9915,2131,3836
137,36,5,22500,8271,1578,6562
138,36,5,22800,6096,1622,534
139,36,5,23200,2711,676,1224
140,36,5,4600,1817,395,13516
141,36,5,6000,1451,307,1025
142,36,5,7000,4584,929,1659
143,36,5,7300,4314,931,11089
144,36,5,7400,3314,693,773
145,36,5,7500,6112,1499,3988
146,36,5,7700,2022,460,2256
147,36,5,9200,6091,1426,1016
148,36,5,12701,1832,463,2207
149,36,5,13500,3541,960,3924
150,36,5,13800,2597,687,367
151,36,5,16100,4361,1089,5532
152,36,5,19500,7418,1557,5700
153,36,5,22902,3578,780,2587
154,36,5,23302,3627,784,2329
155,36,5,24400,2277,571,275
156,36,5,26900,3364,894,1906
157,36,5,27300,7895,2028,1111
158,36,5,29500,4649,1070,428
159,36,5,29700,3727,886,101
160,36,5,31000,4776,1002,259
161,36,5,31600,1910,484,69
162,36,5,31800,1987,481,88
163,36,5,32300,4400,1113,115
164,36,5,32400,3696,788,1451
165,36,5,33400,72,19,5292
166,36,5,36300,7735,1890,6022
167,36,5,37900,5268,1112,2775
168,36,5,36902,2156,526,1822
169,36,5,37300,5908,1346,4447
170,36,5,37800,3033,733,2346
171,36,5,38700,3622,777,4619
172,36,5,39600,4741,947,1582
173,36,5,40100,4610,1110,11378
174,36,5,40600,3845,854,2021
175,36,5,42300,4500,960,1367
176,36,5,42500,6264,1538,23895
177,36,5,42901,4046,891,540
178,36,5,44200,3760,815,1936
179,36,5,50400,222,54,6018
180,36,5,45102,1765,365,259
181,36,5,34500,3357,835,327
