,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
6,24,510,10400,1400000US24510010400,24510010400,104.0,CT,373744,558487
7,24,510,160100,1400000US24510160100,24510160100,1601.0,CT,382639,0
8,24,510,180100,1400000US24510180100,24510180100,1801.0,CT,341616,0
9,24,510,230100,1400000US24510230100,24510230100,2301.0,CT,336352,0
10,24,510,240300,1400000US24510240300,24510240300,2403.0,CT,200576,0
11,24,510,260203,1400000US24510260203,24510260203,2602.03,CT,890682,0
12,24,510,260800,1400000US24510260800,24510260800,2608.0,CT,311708,0
13,24,510,260900,1400000US24510260900,24510260900,2609.0,CT,550656,0
14,24,510,271503,1400000US24510271503,24510271503,2715.03,CT,742762,1671
15,24,510,272007,1400000US24510272007,24510272007,2720.07,CT,802300,0
16,24,005,411303,1400000US24005411303,24005411303,4113.03,CT,3173077,0
17,24,005,411410,1400000US24005411410,24005411410,4114.1,CT,2161295,2658
18,24,005,430104,1400000US24005430104,24005430104,4301.04,CT,1491597,0
19,24,005,440702,1400000US24005440702,24005440702,4407.02,CT,2835782,24664
20,24,005,450800,1400000US24005450800,24005450800,4508.0,CT,2074609,351332
21,24,005,452100,1400000US24005452100,24005452100,4521.0,CT,2894632,1232621
22,24,005,490200,1400000US24005490200,24005490200,4902.0,CT,2240824,0
23,24,005,490701,1400000US24005490701,24005490701,4907.01,CT,1306997,3036
24,24,005,492300,1400000US24005492300,24005492300,4923.0,CT,1213470,16046
26,24,003,702209,1400000US24003702209,24003702209,7022.09,CT,2176676,0
27,24,003,702500,1400000US24003702500,24003702500,7025.0,CT,7347542,2848979
28,24,003,706401,1400000US24003706401,24003706401,7064.01,CT,2216281,19353
29,24,003,731003,1400000US24003731003,24003731003,7310.03,CT,3188431,1225329
37,24,031,701312,1400000US24031701312,24031701312,7013.12,CT,4053943,0
38,24,031,701423,1400000US24031701423,24031701423,7014.23,CT,1048075,21240
39,24,031,701702,1400000US24031701702,24031701702,7017.02,CT,566912,0
40,24,031,702900,1400000US24031702900,24031702900,7029.0,CT,2565058,0
41,24,031,703702,1400000US24031703702,24031703702,7037.02,CT,1242321,0
42,24,031,705501,1400000US24031705501,24031705501,7055.01,CT,204001,0
43,24,031,705903,1400000US24031705903,24031705903,7059.03,CT,2832632,0
44,24,031,706012,1400000US24031706012,24031706012,7060.12,CT,2086441,40250
56,24,510,40100,1400000US24510040100,24510040100,401.0,CT,1191002,1430
57,24,510,80301,1400000US24510080301,24510080301,803.01,CT,268608,0
58,24,510,100100,1400000US24510100100,24510100100,1001.0,CT,453809,0
59,24,510,120201,1400000US24510120201,24510120201,1202.01,CT,348020,0
60,24,510,120500,1400000US24510120500,24510120500,1205.0,CT,534553,0
61,24,510,130200,1400000US24510130200,24510130200,1302.0,CT,346792,0
62,24,510,140300,1400000US24510140300,24510140300,1403.0,CT,389282,0
63,24,510,20100,1400000US24510020100,24510020100,201.0,CT,174536,0
67,24,003,750101,1400000US24003750101,24003750101,7501.01,CT,1345542,0
68,24,003,750801,1400000US24003750801,24003750801,7508.01,CT,5075471,0
69,24,005,400600,1400000US24005400600,24005400600,4006.0,CT,968869,0
70,24,005,400800,1400000US24005400800,24005400800,4008.0,CT,1472876,0
71,24,005,402303,1400000US24005402303,24005402303,4023.03,CT,2862489,3368
72,24,005,402506,1400000US24005402506,24005402506,4025.06,CT,2290488,2042
73,24,005,404102,1400000US24005404102,24005404102,4041.02,CT,4713530,0
74,24,005,408503,1400000US24005408503,24005408503,4085.03,CT,2087842,12985
82,24,031,700104,1400000US24031700104,24031700104,7001.04,CT,2409650,16378
83,24,031,700607,1400000US24031700607,24031700607,7006.07,CT,3917402,16056
84,24,031,700706,1400000US24031700706,24031700706,7007.06,CT,3647963,23243
85,24,031,700721,1400000US24031700721,24031700721,7007.21,CT,410197,7882
86,24,031,700828,1400000US24031700828,24031700828,7008.28,CT,1266759,27320
87,24,031,701007,1400000US24031701007,24031701007,7010.07,CT,2445038,675
88,24,003,740105,1400000US24003740105,24003740105,7401.05,CT,1733279,0
110,24,510,151200,1400000US24510151200,24510151200,1512.0,CT,777390,0
111,24,510,160400,1400000US24510160400,24510160400,1604.0,CT,401142,0
112,24,510,170300,1400000US24510170300,24510170300,1703.0,CT,305829,0
113,24,510,180200,1400000US24510180200,24510180200,1802.0,CT,234701,0
114,24,510,200100,1400000US24510200100,24510200100,2001.0,CT,264900,0
115,24,510,220100,1400000US24510220100,24510220100,2201.0,CT,1156857,285681
116,24,510,250101,1400000US24510250101,24510250101,2501.01,CT,962784,0
117,24,510,250207,1400000US24510250207,24510250207,2502.07,CT,917475,380163
118,24,510,260401,1400000US24510260401,24510260401,2604.01,CT,1341148,0
124,24,031,705400,1400000US24031705400,24031705400,7054.0,CT,1965939,0
125,24,001,300,1400000US24001000300,24001000300,3.0,CT,22375901,5874
126,24,001,1800,1400000US24001001800,24001001800,18.0,CT,9089057,2338
130,24,510,10200,1400000US24510010200,24510010200,102.0,CT,355165,0
131,24,510,10300,1400000US24510010300,24510010300,103.0,CT,673883,10498
132,24,510,20200,1400000US24510020200,24510020200,202.0,CT,197559,0
133,24,510,60100,1400000US24510060100,24510060100,601.0,CT,238719,0
139,24,510,80102,1400000US24510080102,24510080102,801.02,CT,365633,0
140,24,510,80600,1400000US24510080600,24510080600,806.0,CT,336416,0
141,24,510,130803,1400000US24510130803,24510130803,1308.03,CT,693566,0
142,24,510,150400,1400000US24510150400,24510150400,1504.0,CT,815572,0
143,24,510,260604,1400000US24510260604,24510260604,2606.04,CT,503666,0
144,24,510,270101,1400000US24510270101,24510270101,2701.01,CT,954112,2251
145,24,510,270702,1400000US24510270702,24510270702,2707.02,CT,848720,0
146,24,510,271001,1400000US24510271001,24510271001,2710.01,CT,505077,0
147,24,031,701601,1400000US24031701601,24031701601,7016.01,CT,299513,0
148,24,031,702101,1400000US24031702101,24031702101,7021.01,CT,1638397,22613
149,24,031,702402,1400000US24031702402,24031702402,7024.02,CT,964624,0
150,24,031,703000,1400000US24031703000,24031703000,7030.0,CT,1083280,0
151,24,031,703213,1400000US24031703213,24031703213,7032.13,CT,588534,889
152,24,031,703301,1400000US24031703301,24031703301,7033.01,CT,1502456,0
153,24,031,703403,1400000US24031703403,24031703403,7034.03,CT,1214584,0
