,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
0,17,031,843800,1400000US17031843800,17031843800,8438.0,CT,1309516,0
2,17,031,243000,1400000US17031243000,17031243000,2430.0,CT,324548,0
3,17,031,250600,1400000US17031250600,17031250600,2506.0,CT,647765,0
4,17,031,251700,1400000US17031251700,17031251700,2517.0,CT,486655,0
5,17,031,260400,1400000US17031260400,17031260400,2604.0,CT,328225,0
6,17,031,260500,1400000US17031260500,17031260500,2605.0,CT,337553,0
7,17,031,271500,1400000US17031271500,17031271500,2715.0,CT,162821,0
8,17,031,291200,1400000US17031291200,17031291200,2912.0,CT,329138,0
9,17,031,301100,1400000US17031301100,17031301100,3011.0,CT,211425,0
10,17,031,351100,1400000US17031351100,17031351100,3511.0,CT,347265,0
11,17,031,380200,1400000US17031380200,17031380200,3802.0,CT,215130,0
12,17,031,390400,1400000US17031390400,17031390400,3904.0,CT,326306,0
13,17,031,410800,1400000US17031410800,17031410800,4108.0,CT,249520,0
14,17,031,421200,1400000US17031421200,17031421200,4212.0,CT,325749,0
15,17,031,800100,1400000US17031800100,17031800100,8001.0,CT,3167132,3084998
16,17,031,801400,1400000US17031801400,17031801400,8014.0,CT,1434291,0
17,17,031,801902,1400000US17031801902,17031801902,8019.02,CT,3175295,0
18,17,031,802100,1400000US17031802100,17031802100,8021.0,CT,1845008,0
19,17,031,830008,1400000US17031830008,17031830008,8300.08,CT,11832592,31490
20,17,031,831400,1400000US17031831400,17031831400,8314.0,CT,2104289,0
21,17,031,833900,1400000US17031833900,17031833900,8339.0,CT,677853,24124
22,17,031,834700,1400000US17031834700,17031834700,8347.0,CT,657991,0
23,17,031,835200,1400000US17031835200,17031835200,8352.0,CT,988538,0
24,17,031,835600,1400000US17031835600,17031835600,8356.0,CT,917505,0
25,17,031,836300,1400000US17031836300,17031836300,8363.0,CT,137523,0
26,17,031,837300,1400000US17031837300,17031837300,8373.0,CT,368498,0
27,17,031,839500,1400000US17031839500,17031839500,8395.0,CT,262139,0
28,17,031,841300,1400000US17031841300,17031841300,8413.0,CT,1345364,68765
29,17,031,842500,1400000US17031842500,17031842500,8425.0,CT,1075294,0
34,17,043,840104,1400000US17043840104,17043840104,8401.04,CT,3583946,117067
35,17,043,840910,1400000US17043840910,17043840910,8409.1,CT,2586502,6066
36,17,043,841207,1400000US17043841207,17043841207,8412.07,CT,814799,0
37,17,031,802607,1400000US17031802607,17031802607,8026.07,CT,1855278,78992
38,17,031,803012,1400000US17031803012,17031803012,8030.12,CT,1470718,0
39,17,031,803604,1400000US17031803604,17031803604,8036.04,CT,2518649,0
40,17,031,804306,1400000US17031804306,17031804306,8043.06,CT,2536348,0
41,17,031,804511,1400000US17031804511,17031804511,8045.11,CT,915695,0
42,17,031,804713,1400000US17031804713,17031804713,8047.13,CT,1636054,0
43,17,031,805501,1400000US17031805501,17031805501,8055.01,CT,2023150,0
44,17,031,806300,1400000US17031806300,17031806300,8063.0,CT,2011842,0
45,17,031,806801,1400000US17031806801,17031806801,8068.01,CT,2239500,0
46,17,031,807500,1400000US17031807500,17031807500,8075.0,CT,988887,0
47,17,031,807900,1400000US17031807900,17031807900,8079.0,CT,2013730,0
48,17,031,808600,1400000US17031808600,17031808600,8086.0,CT,3812730,0
49,17,031,810100,1400000US17031810100,17031810100,8101.0,CT,723779,0
50,17,031,810800,1400000US17031810800,17031810800,8108.0,CT,989819,0
