,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
0,48,113,14001,1400000US48113014001,48113014001,140.01,CT,3675046,0
1,48,113,14129,1400000US48113014129,48113014129,141.29,CT,2478837,4984
2,48,113,14311,1400000US48113014311,48113014311,143.11,CT,903480,0
3,48,113,14601,1400000US48113014601,48113014601,146.01,CT,1159772,0
4,48,113,14902,1400000US48113014902,48113014902,149.02,CT,1786032,0
5,48,453,2319,1400000US48453002319,48453002319,23.19,CT,555246,0
6,48,453,2410,1400000US48453002410,48453002410,24.1,CT,1211486,0
19,48,201,323300,1400000US48201323300,48201323300,3233.0,CT,1310396,0
20,48,201,310200,1400000US48201310200,48201310200,3102.0,CT,1866744,0
21,48,201,312300,1400000US48201312300,48201312300,3123.0,CT,1411068,400
22,48,201,312800,1400000US48201312800,48201312800,3128.0,CT,934883,0
23,48,201,313500,1400000US48201313500,48201313500,3135.0,CT,1627578,0
24,48,201,320800,1400000US48201320800,48201320800,3208.0,CT,2921629,0
25,48,201,321500,1400000US48201321500,48201321500,3215.0,CT,941393,0
26,48,113,1900,1400000US48113001900,48113001900,19.0,CT,1183163,0
27,48,113,3901,1400000US48113003901,48113003901,39.01,CT,1214731,0
28,48,113,5200,1400000US48113005200,48113005200,52.0,CT,1468699,0
29,48,113,6302,1400000US48113006302,48113006302,63.02,CT,1638632,0
30,48,113,7801,1400000US48113007801,48113007801,78.01,CT,2421492,33668
33,48,453,204,1400000US48453000204,48453000204,2.04,CT,1822932,0
34,48,453,307,1400000US48453000307,48453000307,3.07,CT,1214352,0
35,48,453,1307,1400000US48453001307,48453001307,13.07,CT,1793883,0
36,48,453,1504,1400000US48453001504,48453001504,15.04,CT,2633763,0
37,48,453,1748,1400000US48453001748,48453001748,17.48,CT,5355764,0
38,48,453,1753,1400000US48453001753,48453001753,17.53,CT,2360141,0
39,48,453,1776,1400000US48453001776,48453001776,17.76,CT,2006658,0
40,48,453,1805,1400000US48453001805,48453001805,18.05,CT,1520763,0
42,48,201,220100,1400000US48201220100,48201220100,2201.0,CT,1774379,0
43,48,201,221100,1400000US48201221100,48201221100,2211.0,CT,3061196,2733
44,48,201,222503,1400000US48201222503,48201222503,2225.03,CT,1703241,699
45,48,201,230300,1400000US48201230300,48201230300,2303.0,CT,1744437,0
46,48,201,231600,1400000US48201231600,48201231600,2316.0,CT,1664813,0
47,48,201,233003,1400000US48201233003,48201233003,2330.03,CT,1009627,0
48,48,201,240701,1400000US48201240701,48201240701,2407.01,CT,7409434,3498
49,48,201,250500,1400000US48201250500,48201250500,2505.0,CT,4560473,2207
50,48,201,251401,1400000US48201251401,48201251401,2514.01,CT,1204615,0
60,48,029,110100,1400000US48029110100,48029110100,1101.0,CT,3533513,13720
61,48,029,121110,1400000US48029121110,48029121110,1211.1,CT,4523691,19688
62,48,201,253400,1400000US48201253400,48201253400,2534.0,CT,12807999,363589
63,48,439,121608,1400000US48439121608,48439121608,1216.08,CT,2948423,0
64,48,439,121906,1400000US48439121906,48439121906,1219.06,CT,1400810,0
65,48,439,122700,1400000US48439122700,48439122700,1227.0,CT,2592314,0
76,48,251,130212,1400000US48251130212,48251130212,1302.12,CT,54430452,134504
78,48,201,551703,1400000US48201551703,48201551703,5517.03,CT,3091372,21738
79,48,201,553802,1400000US48201553802,48201553802,5538.02,CT,5338223,106486
80,48,201,554502,1400000US48201554502,48201554502,5545.02,CT,4622434,21389
81,48,201,554901,1400000US48201554901,48201554901,5549.01,CT,8692536,88735
82,48,201,980000,1400000US48201980000,48201980000,9800.0,CT,5614639,26735
91,48,231,961000,1400000US48231961000,48231961000,9610.0,CT,8820525,57725
92,48,029,190604,1400000US48029190604,48029190604,1906.04,CT,1628394,0
