,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
9,6,037,128702,1400000US06037128702,6037128702,1287.02,CT,1642311,18542
10,6,037,131600,1400000US06037131600,6037131600,1316.0,CT,2184453,6443
11,6,037,134104,1400000US06037134104,6037134104,1341.04,CT,647979,0
12,6,037,134304,1400000US06037134304,6037134304,1343.04,CT,1020444,0
46,6,037,242000,1400000US06037242000,6037242000,2420.0,CT,646734,0
47,6,037,264102,1400000US06037264102,6037264102,2641.02,CT,396477,0
48,6,037,265201,1400000US06037265201,6037265201,2652.01,CT,438820,0
49,6,037,265305,1400000US06037265305,6037265305,2653.05,CT,310816,0
50,6,037,267403,1400000US06037267403,6037267403,2674.03,CT,245515,0
51,6,037,269904,1400000US06037269904,6037269904,2699.04,CT,337354,0
52,6,037,270300,1400000US06037270300,6037270300,2703.0,CT,963536,13000
53,6,037,271902,1400000US06037271902,6037271902,2719.02,CT,924201,0
54,6,037,273502,1400000US06037273502,6037273502,2735.02,CT,593096,193545
55,6,037,275400,1400000US06037275400,6037275400,2754.0,CT,750989,0
56,6,037,277400,1400000US06037277400,6037277400,2774.0,CT,638938,0
57,6,037,293201,1400000US06037293201,6037293201,2932.01,CT,1066349,4455
58,6,037,294410,1400000US06037294410,6037294410,2944.1,CT,833787,0
59,6,037,294820,1400000US06037294820,6037294820,2948.2,CT,383486,0
60,6,037,296210,1400000US06037296210,6037296210,2962.1,CT,559516,0
61,6,037,300200,1400000US06037300200,6037300200,3002.0,CT,1897424,5580
62,6,037,301204,1400000US06037301204,6037301204,3012.04,CT,408912,0
63,6,037,301702,1400000US06037301702,6037301702,3017.02,CT,824880,0
64,6,037,302301,1400000US06037302301,6037302301,3023.01,CT,700563,0
65,6,037,310703,1400000US06037310703,6037310703,3107.03,CT,1000189,0
66,6,037,400302,1400000US06037400302,6037400302,4003.02,CT,1305080,0
67,6,037,400602,1400000US06037400602,6037400602,4006.02,CT,1541334,1766
72,6,037,113301,1400000US06037113301,6037113301,1133.01,CT,2255625,0
73,6,037,115301,1400000US06037115301,6037115301,1153.01,CT,1621785,19448
74,6,037,117405,1400000US06037117405,6037117405,1174.05,CT,201834,0
75,6,037,119202,1400000US06037119202,6037119202,1192.02,CT,959137,10578
76,6,037,119800,1400000US06037119800,6037119800,1198.0,CT,1236126,5942
77,6,037,120030,1400000US06037120030,6037120030,1200.3,CT,358619,0
91,6,037,134901,1400000US06037134901,6037134901,1349.01,CT,1053137,8888
92,6,037,137103,1400000US06037137103,6037137103,1371.03,CT,759715,0
93,6,037,139200,1400000US06037139200,6037139200,1392.0,CT,1152031,0
94,6,037,139503,1400000US06037139503,6037139503,1395.03,CT,351716,0
95,6,037,141101,1400000US06037141101,6037141101,1411.01,CT,736762,22366
96,6,037,141400,1400000US06037141400,6037141400,1414.0,CT,1997410,0
97,6,037,143603,1400000US06037143603,6037143603,1436.03,CT,491490,33975
98,6,037,183101,1400000US06037183101,6037183101,1831.01,CT,948156,19799
99,6,037,183401,1400000US06037183401,6037183401,1834.01,CT,485332,0
100,6,037,185320,1400000US06037185320,6037185320,1853.2,CT,587863,2709
101,6,037,188300,1400000US06037188300,6037188300,1883.0,CT,905660,17207
102,6,037,189904,1400000US06037189904,6037189904,1899.04,CT,159602,0
103,6,037,190510,1400000US06037190510,6037190510,1905.1,CT,318393,0
104,6,037,191204,1400000US06037191204,6037191204,1912.04,CT,201087,0
105,6,037,191810,1400000US06037191810,6037191810,1918.1,CT,404246,0
106,6,037,195803,1400000US06037195803,6037195803,1958.03,CT,377392,0
