,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
3,36,081,46200,1400000US36081046200,36081046200,462.0,CT,249611,0
4,36,081,48100,1400000US36081048100,36081048100,481.0,CT,139052,0
5,36,081,49600,1400000US36081049600,36081049600,496.0,CT,273116,0
11,36,081,50202,1400000US36081050202,36081050202,502.02,CT,152854,0
20,36,005,40400,1400000US36005040400,36005040400,404.0,CT,215289,0
21,36,005,40800,1400000US36005040800,36005040800,408.0,CT,124014,0
22,36,005,41800,1400000US36005041800,36005041800,418.0,CT,268871,0
23,36,005,42901,1400000US36005042901,36005042901,429.01,CT,102256,0
24,36,005,45800,1400000US36005045800,36005045800,458.0,CT,239682,0
29,36,047,20600,1400000US36047020600,36047020600,206.0,CT,170942,0
30,36,047,21900,1400000US36047021900,36047021900,219.0,CT,147047,0
31,36,047,22900,1400000US36047022900,36047022900,229.0,CT,171832,0
32,36,047,25100,1400000US36047025100,36047025100,251.0,CT,138489,0
33,36,047,26200,1400000US36047026200,36047026200,262.0,CT,157859,0
34,36,047,27600,1400000US36047027600,36047027600,276.0,CT,149396,0
38,36,119,13301,1400000US36119013301,36119013301,133.01,CT,785598,1769014
39,36,119,14810,1400000US36119014810,36119014810,148.1,CT,1705147,15469
40,36,119,982000,1400000US36119982000,36119982000,9820.0,CT,264916,0
42,36,081,37700,1400000US36081037700,36081037700,377.0,CT,146818,0
43,36,081,40700,1400000US36081040700,36081040700,407.0,CT,199521,0
44,36,081,42600,1400000US36081042600,36081042600,426.0,CT,521709,0
45,36,081,43702,1400000US36081043702,36081043702,437.02,CT,175706,0
46,36,081,44601,1400000US36081044601,36081044601,446.01,CT,224773,0
47,36,047,84000,1400000US36047084000,36047084000,840.0,CT,170057,0
48,36,047,86800,1400000US36047086800,36047086800,868.0,CT,174581,0
49,36,047,89800,1400000US36047089800,36047089800,898.0,CT,154357,0
50,36,047,93000,1400000US36047093000,36047093000,930.0,CT,194229,0
51,36,047,94600,1400000US36047094600,36047094600,946.0,CT,281769,0
52,36,047,98400,1400000US36047098400,36047098400,984.0,CT,112821,0
53,36,047,100400,1400000US36047100400,36047100400,1004.0,CT,132054,0
54,36,047,100600,1400000US36047100600,36047100600,1006.0,CT,152116,0
55,36,047,101600,1400000US36047101600,36047101600,1016.0,CT,112418,0
60,36,061,20101,1400000US36061020101,36061020101,201.01,CT,55127,0
61,36,061,20701,1400000US36061020701,36061020701,207.01,CT,47273,0
62,36,061,22200,1400000US36061022200,36061022200,222.0,CT,181422,0
63,36,061,22600,1400000US36061022600,36061022600,226.0,CT,152979,0
64,36,081,70300,1400000US36081070300,36081070300,703.0,CT,241047,0
65,36,081,71305,1400000US36081071305,36081071305,713.05,CT,135001,0
68,36,005,1600,1400000US36005001600,36005001600,16.0,CT,485079,0
69,36,005,2500,1400000US36005002500,36005002500,25.0,CT,127492,0
70,36,005,3800,1400000US36005003800,36005003800,38.0,CT,63397,0
71,36,005,4600,1400000US36005004600,36005004600,46.0,CT,135340,0
72,36,005,7100,1400000US36005007100,36005007100,71.0,CT,264262,0
73,36,005,11502,1400000US36005011502,36005011502,115.02,CT,336295,10037
74,36,081,16300,1400000US36081016300,36081016300,163.0,CT,218253,0
75,36,081,17400,1400000US36081017400,36081017400,174.0,CT,190574,0
76,36,081,18502,1400000US36081018502,36081018502,185.02,CT,98391,0
77,36,081,22001,1400000US36081022001,36081022001,220.01,CT,395707,0
78,36,081,23500,1400000US36081023500,36081023500,235.0,CT,255537,0
79,36,081,26300,1400000US36081026300,36081026300,263.0,CT,196984,0
80,36,081,27600,1400000US36081027600,36081027600,276.0,CT,158733,0
91,36,081,71900,1400000US36081071900,36081071900,719.0,CT,165953,0
92,36,081,72900,1400000US36081072900,36081072900,729.0,CT,193731,0
93,36,081,78800,1400000US36081078800,36081078800,788.0,CT,192534,0
94,36,081,80301,1400000US36081080301,36081080301,803.01,CT,315274,0
95,36,081,85500,1400000US36081085500,36081085500,855.0,CT,130506,0
96,36,081,92200,1400000US36081092200,36081092200,922.0,CT,633290,700664
97,36,047,36501,1400000US36047036501,36047036501,365.01,CT,126351,0
98,36,047,37900,1400000US36047037900,36047037900,379.0,CT,183760,0
99,36,047,39400,1400000US36047039400,36047039400,394.0,CT,192099,0
100,36,047,40700,1400000US36047040700,36047040700,407.0,CT,504834,0
101,36,047,42100,1400000US36047042100,36047042100,421.0,CT,153377,0
102,36,047,43600,1400000US36047043600,36047043600,436.0,CT,137521,0
103,36,081,28900,1400000US36081028900,36081028900,289.0,CT,172620,0
104,36,081,32900,1400000US36081032900,36081032900,329.0,CT,436914,0
105,36,047,107800,1400000US36047107800,36047107800,1078.0,CT,506529,0
106,36,047,112600,1400000US36047112600,36047112600,1126.0,CT,168500,0
107,36,047,116400,1400000US36047116400,36047116400,1164.0,CT,181565,0
108,36,047,117602,1400000US36047117602,36047117602,1176.02,CT,143799,0
109,36,047,990100,1400000US36047990100,36047990100,9901.0,CT,0,17793788
110,36,059,407900,1400000US36059407900,36059407900,4079.0,CT,1938189,0
111,36,059,409400,1400000US36059409400,36059409400,4094.0,CT,1390977,0
120,36,081,155102,1400000US36081155102,36081155102,1551.02,CT,1441405,0
121,36,081,157902,1400000US36081157902,36081157902,1579.02,CT,722590,0
122,36,005,25000,1400000US36005025000,36005025000,250.0,CT,181709,0
123,36,005,26602,1400000US36005026602,36005026602,266.02,CT,303397,0
124,36,005,29301,1400000US36005029301,36005029301,293.01,CT,286791,733019
125,36,005,31900,1400000US36005031900,36005031900,319.0,CT,213170,201583
127,36,081,162100,1400000US36081162100,36081162100,1621.0,CT,710238,0
129,36,085,3300,1400000US36085003300,36085003300,33.0,CT,851963,0
130,36,085,7700,1400000US36085007700,36085007700,77.0,CT,248536,0
131,36,059,522700,1400000US36059522700,36059522700,5227.0,CT,1926933,0
132,36,061,600,1400000US36061000600,36061000600,6.0,CT,240406,176018
133,36,061,1600,1400000US36061001600,36061001600,16.0,CT,207381,0
134,36,061,3100,1400000US36061003100,36061003100,31.0,CT,204969,0
135,36,061,4700,1400000US36061004700,36061004700,47.0,CT,165421,0
136,36,081,95400,1400000US36081095400,36081095400,954.0,CT,808825,559625
137,36,081,99704,1400000US36081099704,36081099704,997.04,CT,675915,0
144,36,061,12500,1400000US36061012500,36061012500,125.0,CT,174253,0
145,36,061,14000,1400000US36061014000,36061014000,140.0,CT,179108,0
146,36,061,14601,1400000US36061014601,36061014601,146.01,CT,74328,0
147,36,061,15400,1400000US36061015400,36061015400,154.0,CT,177371,0
148,36,061,16400,1400000US36061016400,36061016400,164.0,CT,177390,0
149,36,061,16900,1400000US36061016900,36061016900,169.0,CT,180002,0
150,36,061,18900,1400000US36061018900,36061018900,189.0,CT,265399,0
151,36,119,8902,1400000US36119008902,36119008902,89.02,CT,3361419,260621
152,36,119,10803,1400000US36119010803,36119010803,108.03,CT,2806692,0
153,36,119,12900,1400000US36119012900,36119012900,129.0,CT,1449662,8215
160,36,061,6600,1400000US36061006600,36061006600,66.0,CT,174705,0
161,36,061,7700,1400000US36061007700,36061007700,77.0,CT,178798,0
162,36,061,8300,1400000US36061008300,36061008300,83.0,CT,174158,0
163,36,061,8700,1400000US36061008700,36061008700,87.0,CT,165443,0
164,36,061,9000,1400000US36061009000,36061009000,90.0,CT,174693,0
165,36,061,10900,1400000US36061010900,36061010900,109.0,CT,175741,0
166,36,061,11900,1400000US36061011900,36061011900,119.0,CT,177591,0
169,36,061,23900,1400000US36061023900,36061023900,239.0,CT,63850,0
170,36,061,26500,1400000US36061026500,36061026500,265.0,CT,195037,0
171,36,061,27700,1400000US36061027700,36061027700,277.0,CT,163262,0
172,36,061,29100,1400000US36061029100,36061029100,291.0,CT,187479,0
173,36,061,30300,1400000US36061030300,36061030300,303.0,CT,156650,0
177,36,085,12806,1400000US36085012806,36085012806,128.06,CT,1319470,580167
178,36,085,17008,1400000US36085017008,36085017008,170.08,CT,1036915,0
179,36,005,36901,1400000US36005036901,36005036901,369.01,CT,98732,0
180,36,005,38800,1400000US36005038800,36005038800,388.0,CT,148659,0
