,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
415,6,081,603802,1400000US06081603802,6081603802,6038.02,CT,2601740,0
416,6,081,605800,1400000US06081605800,6081605800,6058.0,CT,1218794,0
417,6,081,607100,1400000US06081607100,6081607100,6071.0,CT,1241938,0
418,6,081,607702,1400000US06081607702,6081607702,6077.02,CT,612305,0
419,6,081,609201,1400000US06081609201,6081609201,6092.01,CT,1062819,0
420,6,081,610203,1400000US06081610203,6081610203,6102.03,CT,599393,0
421,6,081,611200,1400000US06081611200,6081611200,6112.0,CT,1126605,0
422,6,081,614000,1400000US06081614000,6081614000,6140.0,CT,3154357,0
526,6,075,10200,1400000US06075010200,6075010200,102.0,CT,515958,295388
527,6,075,11200,1400000US06075011200,6075011200,112.0,CT,177414,0
528,6,075,12401,1400000US06075012401,6075012401,124.01,CT,91972,0
529,6,075,13300,1400000US06075013300,6075013300,133.0,CT,581310,0
530,6,075,15400,1400000US06075015400,6075015400,154.0,CT,719491,0
531,6,075,16300,1400000US06075016300,6075016300,163.0,CT,245866,0
532,6,075,17801,1400000US06075017801,6075017801,178.01,CT,214052,0
533,6,075,20800,1400000US06075020800,6075020800,208.0,CT,346098,0
534,6,075,22704,1400000US06075022704,6075022704,227.04,CT,544609,0
535,6,075,23300,1400000US06075023300,6075023300,233.0,CT,635979,0
536,6,075,25800,1400000US06075025800,6075025800,258.0,CT,241710,0
537,6,075,30202,1400000US06075030202,6075030202,302.02,CT,355664,0
538,6,075,31400,1400000US06075031400,6075031400,314.0,CT,770543,0
539,6,075,40200,1400000US06075040200,6075040200,402.0,CT,531470,0
540,6,075,45100,1400000US06075045100,6075045100,451.0,CT,384459,0
555,6,081,600800,1400000US06081600800,6081600800,6008.0,CT,576183,0
556,6,081,601300,1400000US06081601300,6081601300,6013.0,CT,1114386,0
557,6,081,602400,1400000US06081602400,6081602400,6024.0,CT,2724571,0
558,6,081,603801,1400000US06081603801,6081603801,6038.01,CT,227422,0
627,6,075,31201,1400000US06075031201,6075031201,312.01,CT,512112,0
672,6,075,23400,1400000US06075023400,6075023400,234.0,CT,854096,0
673,6,075,25900,1400000US06075025900,6075025900,259.0,CT,658503,81108
674,6,075,26003,1400000US06075026003,6075026003,260.03,CT,402979,0
